累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026年06週(02月02日～02月08日),2026年02月12日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
神奈川県,32153,142.27,272,2.06,77,0.58,1782,13.5,7608,57.64,286,2.17,14,0.11,71,0.54,125,0.95,2,0.02,33,0.25,3,0.07,155,3.37,4,0.33,15,1.25,28,2.33,-,-,5,0.42,2164,9.58
新潟県,4169,75.8,64,2.13,19,0.63,735,24.5,442,14.73,77,2.57,1,0.03,113,3.77,28,0.93,2,0.07,8,0.27,1,0.1,8,0.8,2,0.15,-,-,59,4.54,1,0.08,-,-,1166,21.2
富山県,3208,71.29,50,1.79,64,2.29,633,22.61,1325,47.32,58,2.07,2,0.07,24,0.86,40,1.43,9,0.32,3,0.11,-,-,1,0.17,1,0.2,-,-,9,1.8,1,0.2,2,0.4,447,9.93
石川県,3029,64.45,116,4.14,57,2.04,360,12.86,1600,57.14,84,3,7,0.25,14,0.5,26,0.93,5,0.18,1,0.04,-,-,44,6.29,-,-,-,-,4,0.8,-,-,-,-,389,8.28
福井県,2749,70.49,107,4.28,57,2.28,387,15.48,962,38.48,96,3.84,112,4.48,33,1.32,20,0.8,14,0.56,2,0.08,-,-,2,0.67,1,0.17,2,0.33,15,2.5,-,-,5,0.83,241,6.18
山梨県,5349,152.83,59,2.81,7,0.33,65,3.1,594,28.29,6,0.29,1,0.05,33,1.57,15,0.71,-,-,1,0.05,-,-,8,0.89,-,-,-,-,9,0.9,3,0.3,2,0.2,558,15.94
長野県,5062,105.46,144,5.33,16,0.59,342,12.67,1420,52.59,55,2.04,1,0.04,21,0.78,22,0.81,1,0.04,4,0.15,-,-,65,7.22,1,0.08,3,0.25,27,2.25,-,-,1,0.08,1188,24.75
岐阜県,5480,124.55,83,3.19,21,0.81,169,6.5,1618,62.23,15,0.58,1,0.04,32,1.23,27,1.04,1,0.04,3,0.12,-,-,3,0.27,1,0.2,1,0.2,22,4.4,-,-,1,0.2,639,14.52
静岡県,21202,152.53,139,1.56,72,0.81,657,7.38,2470,27.75,97,1.09,13,0.15,118,1.33,103,1.16,2,0.02,9,0.1,-,-,12,0.55,1,0.1,1,0.1,17,1.7,-,-,-,-,1494,10.75
愛知県,25248,154.9,338,3.35,69,0.68,700,6.93,3434,34,93,0.92,6,0.06,150,1.49,109,1.08,3,0.03,8,0.08,1,0.03,57,1.63,-,-,5,0.33,77,5.13,1,0.07,1,0.07,1679,10.3
三重県,10345,161.64,214,5.35,56,1.4,330,8.25,1475,36.88,49,1.23,4,0.1,40,1,41,1.03,-,-,1,0.03,1,0.09,10,0.91,-,-,-,-,25,3.13,-,-,1,0.13,553,8.64
滋賀県,5207,94.67,151,4.58,24,0.73,354,10.73,1125,34.09,112,3.39,5,0.15,17,0.52,17,0.52,1,0.03,4,0.12,-,-,1,0.11,-,-,-,-,3,0.43,-,-,-,-,359,6.53
京都府,7510,115.54,157,4.13,174,4.58,786,20.68,1584,41.68,140,3.68,6,0.16,29,0.76,42,1.11,-,-,9,0.24,1,0.06,8,0.47,1,0.14,-,-,42,6,4,0.57,3,0.43,569,8.75
大阪府,24812,85.56,1172,6.34,325,1.76,1625,8.78,5802,31.36,401,2.17,47,0.25,120,0.65,210,1.14,20,0.11,29,0.16,2,0.04,93,1.82,3,0.17,2,0.11,23,1.28,8,0.44,6,0.33,1237,4.27
兵庫県,22993,144.61,542,5.37,207,2.05,1244,12.32,3452,34.18,215,2.13,15,0.15,124,1.23,126,1.25,8,0.08,19,0.19,3,0.09,38,1.15,2,0.14,4,0.29,24,1.71,1,0.07,3,0.21,1151,7.24
奈良県,4741,128.14,164,7.81,47,2.24,205,9.76,830,39.52,35,1.67,2,0.1,19,0.9,45,2.14,-,-,1,0.05,-,-,13,1.63,-,-,2,0.33,7,1.17,-,-,2,0.33,247,6.68
和歌山県,5691,129.34,183,7.04,40,1.54,150,5.77,734,28.23,21,0.81,1,0.04,32,1.23,36,1.38,-,-,5,0.19,-,-,6,2,1,0.09,-,-,17,1.55,-,-,-,-,328,7.45
鳥取県,1899,65.48,82,4.32,29,1.53,410,21.58,492,25.89,21,1.11,4,0.21,22,1.16,19,1,1,0.05,1,0.05,-,-,2,0.4,1,0.2,2,0.4,30,6,-,-,-,-,295,10.17
島根県,2530,126.5,96,8.73,71,6.45,177,16.09,466,42.36,56,5.09,-,-,10,0.91,40,3.64,1,0.09,2,0.18,-,-,11,3.67,-,-,2,0.25,27,3.38,-,-,-,-,273,13.65
岡山県,4516,90.32,158,5.64,17,0.61,215,7.68,1074,38.36,35,1.25,52,1.86,101,3.61,44,1.57,8,0.29,8,0.29,-,-,11,0.92,1,0.2,-,-,19,3.8,-,-,3,0.6,392,7.84
広島県,7203,80.93,173,3.26,109,2.06,630,11.89,1914,36.11,82,1.55,7,0.13,59,1.11,30,0.57,2,0.04,8,0.15,-,-,68,4,-,-,1,0.05,88,4.4,-,-,7,0.35,570,6.4
山口県,7362,116.86,268,6.7,45,1.13,788,19.7,1284,32.1,38,0.95,6,0.15,206,5.15,62,1.55,2,0.05,8,0.2,-,-,17,1.89,1,0.11,-,-,25,2.78,-,-,-,-,416,6.6
徳島県,3040,92.12,79,3.76,19,0.9,106,5.05,495,23.57,18,0.86,6,0.29,64,3.05,34,1.62,2,0.1,-,-,-,-,3,0.75,-,-,-,-,20,2.86,-,-,2,0.29,346,10.48
香川県,1437,62.48,78,6,14,1.08,94,7.23,448,34.46,14,1.08,1,0.08,42,3.23,11,0.85,-,-,-,-,1,0.25,14,3.5,-,-,1,0.2,13,2.6,-,-,7,1.4,246,10.7
愛媛県,6228,177.94,98,5.44,44,2.44,660,36.67,832,46.22,43,2.39,-,-,97,5.39,43,2.39,-,-,1,0.06,-,-,76,10.86,-,-,-,-,12,2,-,-,-,-,533,15.23
高知県,5194,136.68,47,2.35,10,0.5,187,9.35,346,17.3,16,0.8,1,0.05,63,3.15,16,0.8,1,0.05,3,0.15,-,-,3,1,2,0.25,1,0.13,12,1.5,-,-,5,0.63,516,13.58
福岡県,18513,151.75,275,3.93,249,3.56,1921,27.44,3600,51.43,219,3.13,53,0.76,65,0.93,121,1.73,21,0.3,9,0.13,7,0.27,104,4,3,0.2,3,0.2,20,1.33,-,-,3,0.2,425,3.48
佐賀県,3246,141.13,39,3.55,34,3.09,203,18.45,443,40.27,15,1.36,7,0.64,40,3.64,33,3,3,0.27,1,0.09,-,-,5,1.67,2,0.33,2,0.33,4,0.67,-,-,1,0.17,109,4.74
長崎県,8350,167,66,2.2,150,5,402,13.4,1003,33.43,59,1.97,43,1.43,97,3.23,34,1.13,6,0.2,2,0.07,2,0.29,61,8.71,-,-,2,0.17,19,1.58,-,-,-,-,203,4.06
熊本県,10582,149.04,257,5.35,76,1.58,468,9.75,1719,35.81,126,2.63,76,1.58,278,5.79,118,2.46,16,0.33,11,0.23,-,-,45,5.63,1,0.07,-,-,25,1.67,-,-,2,0.13,361,5.08
大分県,11879,204.81,95,2.64,116,3.22,536,14.89,2383,66.19,126,3.5,10,0.28,73,2.03,80,2.22,2,0.06,13,0.36,1,0.2,17,3.4,-,-,1,0.09,9,0.82,-,-,-,-,269,4.64
宮崎県,6205,229.81,32,2.29,147,10.5,223,15.93,867,61.93,40,2.86,8,0.57,89,6.36,36,2.57,-,-,-,-,-,-,47,9.4,-,-,-,-,9,1.29,-,-,3,0.43,178,6.59
鹿児島県,13355,234.3,170,5.48,157,5.06,465,15,1178,38,94,3.03,5,0.16,229,7.39,50,1.61,2,0.06,5,0.16,-,-,35,5,-,-,-,-,20,1.67,-,-,-,-,157,2.75
沖縄県,5173,114.96,23,0.92,48,1.92,226,9.04,617,24.68,125,5,14,0.56,26,1.04,28,1.12,7,0.28,5,0.2,-,-,146,16.22,-,-,6,0.86,1,0.14,-,-,3,0.43,189,4.2
