報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2026年06週(02月02日～02月08日),2026年02月12日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
愛媛県,44,2.44,3,0.23,9,0.45,10,0.5,7,0.35,5,0.25,10,0.5
高知県,10,0.5,0,0,3,0.15,2,0.1,0,0,2,0.1,3,0.15
福岡県,249,3.56,7,0.1,51,0.72,39,0.56,52,0.74,48,0.69,52,0.74
佐賀県,34,3.09,1,0.1,8,0.67,2,0.17,12,1,3,0.25,8,0.67
長崎県,150,5,8,0.27,18,0.58,19,0.61,48,1.55,32,1.03,25,0.81
熊本県,76,1.58,9,0.19,15,0.31,13,0.27,11,0.23,8,0.17,20,0.42
大分県,116,3.22,14,0.39,17,0.47,13,0.36,24,0.67,28,0.78,20,0.56
宮崎県,147,10.5,17,1.42,19,1.27,23,1.53,27,1.8,26,1.73,35,2.33
鹿児島県,157,5.06,9,0.29,26,0.84,16,0.52,28,0.9,36,1.16,42,1.35
沖縄県,48,1.92,2,0.08,17,0.68,4,0.16,8,0.32,7,0.28,10,0.4
,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,31243,13.9,1604,0.82,4685,2.03,5116,2.22,6623,2.87,6507,2.82,6708,2.91
北海道,2607,26.6,151,1.84,358,3.54,352,3.45,525,5.15,577,5.66,644,6.31
青森県,264,8,25,0.78,38,1.12,32,0.94,59,1.74,55,1.62,55,1.62
岩手県,453,16.78,24,0.89,57,2.11,62,2.3,103,3.81,115,4.26,92,3.41
宮城県,488,15.74,18,0.58,64,2.06,69,2.23,112,3.61,114,3.68,111,3.58
秋田県,112,9.33,9,0.75,18,1.38,20,1.54,31,2.38,13,1,21,1.62
山形県,638,25.52,25,1.25,91,3.5,105,4.04,135,5.19,125,4.81,157,6.04
福島県,314,11.21,34,1.21,54,1.93,46,1.64,60,2.14,60,2.14,60,2.14
茨城県,914,26.11,57,1.97,217,5.86,147,3.97,173,4.68,169,4.57,151,4.08
栃木県,421,16.84,17,0.94,67,2.48,64,2.37,107,3.96,108,4,58,2.15
群馬県,277,12.04,13,0.87,38,1.52,48,1.92,58,2.32,53,2.12,67,2.68
埼玉県,1806,17.53,113,1.66,238,2.14,306,2.76,405,3.65,360,3.24,384,3.46
千葉県,2095,19.4,69,0.73,306,2.78,360,3.24,404,3.64,453,4.08,503,4.53
東京都,2619,10.48,140,0.76,423,1.6,440,1.67,567,2.16,530,2.02,519,1.98
神奈川県,1782,13.5,59,0.67,262,1.86,296,2.11,404,2.87,400,2.82,361,2.56
新潟県,735,24.5,32,1.07,88,2.93,120,4,159,5.3,160,5.33,176,5.87
富山県,633,22.61,23,0.96,83,2.86,80,2.76,125,4.31,147,5.07,175,6.03
石川県,360,12.86,23,0.82,46,1.64,63,2.25,76,2.71,71,2.54,81,2.89
福井県,387,15.48,27,1.08,57,2.28,61,2.44,82,3.28,78,3.12,82,3.28
山梨県,65,3.1,0,0,10,0.48,14,0.67,18,0.86,14,0.67,9,0.43
長野県,342,12.67,25,1.09,48,1.71,62,2.21,80,2.86,55,1.96,72,2.57
岐阜県,169,6.5,14,0.54,16,0.59,35,1.3,43,1.59,36,1.33,25,0.93
静岡県,657,7.38,32,0.36,117,1.31,124,1.39,140,1.57,147,1.65,97,1.09
愛知県,700,6.93,25,0.25,119,1.18,123,1.22,153,1.51,147,1.46,133,1.32
三重県,330,8.25,19,0.68,52,1.21,53,1.23,86,2,64,1.49,56,1.33
滋賀県,354,10.73,15,0.63,61,1.74,54,1.54,83,2.37,74,2.11,67,1.91
京都府,786,20.68,18,0.5,104,2.67,119,2.98,171,4.38,140,3.59,234,6
大阪府,1625,8.78,69,0.37,258,1.39,263,1.42,347,1.88,327,1.77,361,1.95
兵庫県,1244,12.32,44,0.52,200,1.9,228,2.17,250,2.38,274,2.61,248,2.36
奈良県,205,9.76,3,0.33,29,1.26,41,1.78,48,2,42,1.75,42,1.75
和歌山県,150,5.77,2,0.08,31,1.15,34,1.26,31,1.15,24,0.89,28,1.04
鳥取県,410,21.58,15,0.79,53,2.79,56,2.95,77,4.05,84,4.42,125,6.58
島根県,177,16.09,10,0.91,44,4,35,3.18,28,2.55,30,2.73,30,2.73
岡山県,215,7.68,13,0.46,37,1.32,42,1.5,33,1.18,52,1.86,38,1.36
広島県,630,11.89,25,0.64,93,1.66,120,2.14,139,2.48,117,2.09,136,2.43
山口県,788,19.7,54,1.35,155,3.88,122,3.05,156,3.9,152,3.8,149,3.73
徳島県,106,5.05,5,0.24,11,0.52,18,0.86,16,0.76,27,1.29,29,1.38
香川県,94,7.23,14,1.08,8,0.62,36,2.77,10,0.77,15,1.15,11,0.85
愛媛県,660,36.67,10,0.77,82,4.1,112,5.6,143,7.15,140,7,173,8.65
高知県,187,9.35,12,0.6,20,1,28,1.4,36,1.8,36,1.8,55,2.75
福岡県,1921,27.44,129,1.84,266,3.75,285,4.07,414,5.91,408,5.83,419,5.99
佐賀県,203,18.45,11,1.1,31,2.58,38,3.17,41,3.42,44,3.67,38,3.17
長崎県,402,13.4,17,0.57,61,1.97,46,1.48,67,2.16,107,3.45,104,3.35
熊本県,468,9.75,34,0.71,79,1.65,86,1.79,98,2.04,99,2.06,72,1.5
大分県,536,14.89,44,1.22,68,1.89,100,2.78,139,3.86,92,2.56,93,2.58
宮崎県,223,15.93,14,1.17,29,1.93,39,2.6,38,2.53,50,3.33,53,3.53
鹿児島県,465,15,39,1.26,66,2.13,93,3,118,3.81,74,2.39,75,2.42
沖縄県,226,9.04,33,1.32,32,1.28,39,1.56,35,1.4,48,1.92,39,1.56
,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,95809,42.62,3718,1.9,13302,5.77,15413,6.68,19753,8.56,21757,9.42,21866,9.48
北海道,2628,26.82,123,1.5,367,3.63,395,3.87,548,5.37,569,5.58,626,6.14
青森県,724,21.94,33,1.03,109,3.21,128,3.76,172,5.06,175,5.15,107,3.15
岩手県,1121,41.52,56,2.07,177,6.56,186,6.89,248,9.19,223,8.26,231,8.56
宮城県,946,30.52,42,1.35,171,5.52,142,4.58,165,5.32,217,7,209,6.74
秋田県,381,31.75,13,1.08,51,3.92,47,3.62,86,6.62,110,8.46,74,5.69
山形県,947,37.88,14,0.7,98,3.77,117,4.5,216,8.31,272,10.46,230,8.85
福島県,943,33.68,68,2.43,148,5.29,147,5.25,183,6.54,187,6.68,210,7.5
茨城県,2019,57.69,147,5.07,267,7.22,339,9.16,395,10.68,447,12.08,424,11.46
栃木県,1012,40.48,35,1.94,156,5.78,171,6.33,230,8.52,217,8.04,203,7.52
群馬県,2011,87.43,69,4.6,306,12.24,349,13.96,424,16.96,428,17.12,435,17.4
埼玉県,6144,59.65,183,2.69,804,7.24,1009,9.09,1279,11.52,1460,13.15,1409,12.69
千葉県,4945,45.79,128,1.36,815,7.41,848,7.64,1035,9.32,1123,10.12,996,8.97
東京都,16352,65.41,556,3.01,2108,7.98,2578,9.8,3432,13.05,3922,14.91,3756,14.34
神奈川県,7608,57.64,138,1.57,1089,7.72,1249,8.92,1617,11.47,1770,12.46,1745,12.38
新潟県,442,14.73,19,0.63,73,2.43,74,2.47,81,2.7,93,3.1,102,3.4
富山県,1325,47.32,54,2.25,145,5,167,5.76,276,9.52,311,10.72,372,12.83
石川県,1600,57.14,60,2.14,223,7.96,283,10.11,320,11.43,346,12.36,368,13.14
福井県,962,38.48,71,2.84,156,6.24,171,6.84,185,7.4,162,6.48,217,8.68
山梨県,594,28.29,9,0.43,89,4.24,120,5.71,130,6.19,130,6.19,116,5.52
長野県,1420,52.59,95,4.13,187,6.68,202,7.21,282,10.07,326,11.64,328,11.71
岐阜県,1618,62.23,61,2.35,231,8.56,249,9.22,384,14.22,348,12.89,345,12.78
静岡県,2470,27.75,134,1.51,399,4.48,414,4.65,477,5.36,536,6.02,510,5.73
愛知県,3434,34,67,0.66,521,5.16,580,5.74,657,6.5,788,7.8,821,8.13
三重県,1475,36.88,78,2.79,277,6.44,253,5.88,304,7.07,307,7.14,256,6.1
滋賀県,1125,34.09,33,1.38,155,4.43,188,5.37,211,6.03,253,7.23,285,8.14
京都府,1584,41.68,42,1.17,196,5.03,296,7.4,339,8.69,352,9.03,359,9.21
大阪府,5802,31.36,202,1.09,832,4.5,943,5.1,1161,6.28,1258,6.8,1406,7.6
兵庫県,3452,34.18,75,0.89,434,4.13,550,5.24,716,6.82,790,7.52,887,8.45
奈良県,830,39.52,7,0.78,93,4.04,130,5.65,185,7.71,202,8.42,213,8.88
和歌山県,734,28.23,33,1.27,88,3.26,116,4.3,150,5.56,157,5.81,190,7.04
鳥取県,492,25.89,30,1.58,65,3.42,78,4.11,89,4.68,101,5.32,129,6.79
島根県,466,42.36,17,1.55,34,3.09,54,4.91,104,9.45,105,9.55,152,13.82
岡山県,1074,38.36,46,1.64,154,5.5,161,5.75,197,7.04,257,9.18,259,9.25
広島県,1914,36.11,44,1.13,265,4.73,280,5,369,6.59,461,8.23,495,8.84
山口県,1284,32.1,48,1.2,171,4.28,190,4.75,252,6.3,317,7.93,306,7.65
徳島県,495,23.57,27,1.29,53,2.52,89,4.24,100,4.76,120,5.71,106,5.05
香川県,448,34.46,35,2.69,47,3.62,65,5,100,7.69,94,7.23,107,8.23
愛媛県,832,46.22,42,3.23,125,6.25,149,7.45,190,9.5,162,8.1,164,8.2
高知県,346,17.3,24,1.2,49,2.45,66,3.3,54,2.7,63,3.15,90,4.5
福岡県,3600,51.43,302,4.31,510,7.18,528,7.54,692,9.89,784,11.2,784,11.2
佐賀県,443,40.27,17,1.7,55,4.58,64,5.33,116,9.67,109,9.08,82,6.83
長崎県,1003,33.43,32,1.07,105,3.39,147,4.74,236,7.61,251,8.1,232,7.48
熊本県,1719,35.81,75,1.56,195,4.06,301,6.27,357,7.44,398,8.29,393,8.19
大分県,2383,66.19,133,3.69,281,7.81,384,10.67,467,12.97,521,14.47,597,16.58
宮崎県,867,61.93,38,3.17,160,10.67,141,9.4,164,10.93,179,11.93,185,12.33
鹿児島県,1178,38,63,2.03,178,5.74,178,5.74,251,8.1,257,8.29,251,8.1
沖縄県,617,24.68,100,4,90,3.6,97,3.88,127,5.08,99,3.96,104,4.16
,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4962,2.21,494,0.25,1311,0.57,715,0.31,960,0.42,712,0.31,770,0.33
北海道,351,3.58,38,0.46,89,0.88,52,0.51,63,0.62,49,0.48,60,0.59
青森県,72,2.18,3,0.09,25,0.74,6,0.18,10,0.29,8,0.24,20,0.59
岩手県,123,4.56,12,0.44,62,2.3,12,0.44,18,0.67,11,0.41,8,0.3
宮城県,52,1.68,5,0.16,22,0.71,6,0.19,12,0.39,3,0.1,4,0.13
秋田県,55,4.58,8,0.67,21,1.62,5,0.38,10,0.77,5,0.38,6,0.46
山形県,89,3.56,8,0.4,14,0.54,12,0.46,13,0.5,21,0.81,21,0.81
福島県,94,3.36,11,0.39,22,0.79,14,0.5,18,0.64,17,0.61,12,0.43
茨城県,89,2.54,21,0.72,24,0.65,9,0.24,15,0.41,10,0.27,10,0.27
栃木県,57,2.28,4,0.22,19,0.7,10,0.37,8,0.3,11,0.41,5,0.19
群馬県,65,2.83,4,0.27,12,0.48,10,0.4,18,0.72,8,0.32,13,0.52
埼玉県,273,2.65,41,0.6,65,0.59,46,0.41,48,0.43,41,0.37,32,0.29
千葉県,205,1.9,9,0.1,41,0.37,30,0.27,37,0.33,42,0.38,46,0.41
東京都,470,1.88,31,0.17,125,0.47,72,0.27,96,0.37,69,0.26,77,0.29
神奈川県,286,2.17,19,0.22,77,0.55,48,0.34,57,0.4,39,0.27,46,0.33
新潟県,77,2.57,4,0.13,17,0.57,12,0.4,14,0.47,14,0.47,16,0.53
富山県,58,2.07,2,0.08,27,0.93,4,0.14,8,0.28,11,0.38,6,0.21
石川県,84,3,4,0.14,15,0.54,7,0.25,20,0.71,18,0.64,20,0.71
福井県,96,3.84,3,0.12,18,0.72,12,0.48,38,1.52,10,0.4,15,0.6
山梨県,6,0.29,0,0,0,0,0,0,1,0.05,2,0.1,3,0.14
長野県,55,2.04,8,0.35,13,0.46,9,0.32,13,0.46,4,0.14,8,0.29
岐阜県,15,0.58,3,0.12,1,0.04,1,0.04,3,0.11,5,0.19,2,0.07
静岡県,97,1.09,14,0.16,24,0.27,16,0.18,19,0.21,11,0.12,13,0.15
愛知県,93,0.92,15,0.15,21,0.21,22,0.22,17,0.17,9,0.09,9,0.09
三重県,49,1.23,6,0.21,11,0.26,10,0.23,6,0.14,6,0.14,10,0.24
滋賀県,112,3.39,8,0.33,30,0.86,15,0.43,22,0.63,14,0.4,23,0.66
京都府,140,3.68,11,0.31,35,0.9,23,0.58,30,0.77,13,0.33,28,0.72
大阪府,401,2.17,27,0.15,110,0.59,46,0.25,87,0.47,57,0.31,74,0.4
兵庫県,215,2.13,9,0.11,67,0.64,30,0.29,53,0.5,30,0.29,26,0.25
奈良県,35,1.67,0,0,11,0.48,6,0.26,6,0.25,4,0.17,8,0.33
和歌山県,21,0.81,1,0.04,3,0.11,4,0.15,2,0.07,8,0.3,3,0.11
鳥取県,21,1.11,3,0.16,7,0.37,6,0.32,1,0.05,2,0.11,2,0.11
島根県,56,5.09,5,0.45,15,1.36,9,0.82,13,1.18,5,0.45,9,0.82
