累積報告数・定点当り累積報告数、疾病・都道府県・性別(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026年09週(02月23日～03月01日),2026年03月04日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,インフルエンザ,,ＲＳウイルス感染症,,咽頭結膜熱,,Ａ群溶血性レンサ球菌咽頭炎,,感染性胃腸炎,,水痘,,手足口病,,伝染性紅斑,,突発性発しん,,ヘルパンギーナ,,流行性耳下腺炎,,急性出血性結膜炎,,流行性角結膜炎,,細菌性髄膜炎,,無菌性髄膜炎,,マイコプラズマ肺炎,,クラミジア肺炎,,感染性胃腸炎（ロタウイルス）,,COVID-19,
静岡県,33635,241.98,233,2.62,109,1.22,1000,11.24,4011,45.07,145,1.63,36,0.4,176,1.98,144,1.62,3,0.03,13,0.15,-,-,22,1,1,0.1,2,0.2,24,2.4,-,-,-,-,2161,15.55
愛知県,43127,264.58,528,5.23,100,0.99,1040,10.3,5633,55.77,138,1.37,10,0.1,181,1.79,161,1.59,4,0.04,14,0.14,4,0.11,84,2.4,-,-,8,0.53,93,6.2,1,0.07,6,0.4,2368,14.53
三重県,16806,254.64,289,7.05,73,1.78,510,12.44,2303,56.17,78,1.9,8,0.2,47,1.15,57,1.39,-,-,2,0.05,1,0.09,16,1.45,-,-,-,-,36,4.5,-,-,1,0.13,755,11.44
滋賀県,10039,179.27,211,6.39,34,1.03,543,16.45,1767,53.55,161,4.88,5,0.15,22,0.67,33,1,1,0.03,6,0.18,-,-,1,0.11,1,0.14,3,0.43,4,0.57,-,-,-,-,519,9.27
京都府,14449,218.92,206,5.28,259,6.64,1242,31.85,2353,60.33,219,5.62,6,0.15,41,1.05,61,1.56,-,-,10,0.26,1,0.06,10,0.59,1,0.14,1,0.14,59,8.43,8,1.14,5,0.71,884,13.39
大阪府,46602,160.7,1622,8.77,468,2.53,2613,14.12,9026,48.79,542,2.93,57,0.31,161,0.87,282,1.52,30,0.16,39,0.21,7,0.14,129,2.53,4,0.22,3,0.17,24,1.33,9,0.5,10,0.56,1831,6.31
兵庫県,38437,238.74,810,7.94,301,2.95,1904,18.67,5523,54.15,304,2.98,21,0.21,163,1.6,177,1.74,12,0.12,22,0.22,3,0.09,49,1.48,4,0.29,9,0.64,34,2.43,2,0.14,4,0.29,1663,10.33
奈良県,9618,253.11,241,10.95,67,3.05,344,15.64,1216,55.27,60,2.73,5,0.23,19,0.86,59,2.68,-,-,2,0.09,-,-,25,3.13,1,0.17,7,1.17,12,2,-,-,2,0.33,345,9.08
和歌山県,9138,207.68,247,9.5,56,2.15,238,9.15,1169,44.96,32,1.23,3,0.12,36,1.38,52,2,-,-,6,0.23,1,0.33,7,2.33,1,0.09,1,0.09,20,1.82,-,-,-,-,495,11.25
鳥取県,3431,118.31,111,5.84,34,1.79,755,39.74,816,42.95,39,2.05,10,0.53,27,1.42,23,1.21,1,0.05,1,0.05,-,-,3,0.6,2,0.4,4,0.8,32,6.4,-,-,-,-,428,14.76
島根県,3945,197.25,107,9.73,107,9.73,243,22.09,830,75.45,70,6.36,1,0.09,13,1.18,56,5.09,1,0.09,2,0.18,-,-,18,6,-,-,3,0.38,30,3.75,-,-,-,-,434,21.7
岡山県,8744,174.88,232,8.29,29,1.04,345,12.32,1659,59.25,45,1.61,82,2.93,118,4.21,60,2.14,15,0.54,10,0.36,-,-,14,1.17,1,0.2,2,0.4,23,4.6,-,-,4,0.8,546,10.92
広島県,14303,158.92,264,4.89,159,2.94,1015,18.8,3252,60.22,117,2.17,9,0.17,74,1.37,49,0.91,3,0.06,9,0.17,-,-,111,6.17,-,-,1,0.05,113,5.65,-,-,14,0.7,808,8.98
山口県,14922,236.86,374,9.35,65,1.63,1239,30.98,2175,54.38,47,1.18,7,0.18,249,6.23,98,2.45,2,0.05,8,0.2,-,-,20,2.22,1,0.11,-,-,33,3.67,-,-,2,0.22,587,9.32
徳島県,5609,169.97,121,5.76,28,1.33,157,7.48,819,39,22,1.05,7,0.33,74,3.52,49,2.33,2,0.1,1,0.05,-,-,3,0.75,-,-,1,0.14,24,3.43,-,-,3,0.43,518,15.7
香川県,2708,117.74,99,7.62,18,1.38,114,8.77,686,52.77,15,1.15,2,0.15,52,4,18,1.38,-,-,1,0.08,2,0.5,20,5,5,1,1,0.2,16,3.2,-,-,8,1.6,340,14.78
愛媛県,11481,328.03,152,8,79,4.16,1086,57.16,1308,68.84,66,3.47,-,-,124,6.53,56,2.95,2,0.11,3,0.16,-,-,108,15.43,-,-,-,-,16,2.67,-,-,-,-,673,19.23
高知県,7228,190.21,98,4.9,16,0.8,312,15.6,576,28.8,24,1.2,1,0.05,89,4.45,21,1.05,2,0.1,3,0.15,-,-,3,1,4,0.5,2,0.25,13,1.63,-,-,8,1,743,19.55
福岡県,32961,270.17,441,6.3,372,5.31,3090,44.14,5372,76.74,309,4.41,88,1.26,95,1.36,171,2.44,24,0.34,12,0.17,8,0.31,155,5.96,4,0.27,3,0.2,25,1.67,-,-,4,0.27,580,4.75
佐賀県,5667,246.39,54,4.91,47,4.27,349,31.73,664,60.36,27,2.45,14,1.27,48,4.36,49,4.45,3,0.27,1,0.09,-,-,7,2.33,2,0.33,3,0.5,9,1.5,-,-,1,0.17,139,6.04
長崎県,14499,289.98,104,3.47,193,6.43,646,21.53,1488,49.6,88,2.93,62,2.07,118,3.93,56,1.87,8,0.27,2,0.07,2,0.29,107,15.29,-,-,2,0.17,32,2.67,-,-,1,0.08,347,6.94
熊本県,19088,268.85,356,7.42,121,2.52,723,15.06,2743,57.15,159,3.31,121,2.52,347,7.23,167,3.48,28,0.58,16,0.33,3,0.38,59,7.38,1,0.07,1,0.07,32,2.13,-,-,5,0.33,543,7.65
大分県,19671,339.16,158,4.39,182,5.06,784,21.78,3738,103.83,170,4.72,10,0.28,102,2.83,115,3.19,6,0.17,15,0.42,1,0.2,25,5,-,-,1,0.09,16,1.45,-,-,-,-,382,6.59
宮崎県,9600,355.56,52,3.71,218,15.57,381,27.21,1316,94,58,4.14,13,0.93,116,8.29,56,4,1,0.07,1,0.07,-,-,65,13,-,-,-,-,11,1.57,-,-,4,0.57,259,9.59
鹿児島県,20713,363.39,244,7.87,253,8.16,671,21.65,1889,60.94,118,3.81,7,0.23,277,8.94,69,2.23,2,0.06,8,0.26,-,-,52,7.43,-,-,-,-,23,1.92,-,-,1,0.08,210,3.68
沖縄県,8074,179.42,33,1.32,69,2.76,384,15.36,915,36.6,185,7.4,18,0.72,35,1.4,40,1.6,8,0.32,8,0.32,-,-,207,23,1,0.14,6,0.86,2,0.29,-,-,6,0.86,350,7.78
