,Disease,DiseaseCode,Year,Month,Date,Cases,AnnualTotal,RecordType,Source,SourceURL
71,Measles,,1997,3,1997-03-01,39,316,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
72,Meningococcal Infections,,1997,3,1997-03-01,1,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
73,Mumps,,1997,3,1997-03-01,8,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
74,Paratyphoid Fever,,1997,3,1997-03-01,6,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
75,Plague,,1997,3,1997-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
76,Rabies(Human),,1997,3,1997-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
77,Relapsing Fever,,1997,3,1997-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
78,Rubella,,1997,3,1997-03-01,325,4958,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
79,Scarlet Fever,,1997,3,1997-03-01,9,77,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
80,Tetanus,,1997,3,1997-03-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
81,Tuberculosis,,1997,3,1997-03-01,584,7072,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
82,Typhoid Fever,,1997,3,1997-03-01,10,71,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
83,Typhus Fever,,1997,3,1997-03-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
84,Viral Hepatitis - A,,1997,3,1997-03-01,57,595,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
85,Viral Hepatitis - B,,1997,3,1997-03-01,4,100,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
86,Viral Hepatitis - C,,1997,3,1997-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
87,Viral Hepatitis - E,,1997,3,1997-03-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
88,Viral Hepatitis - Unclassified,,1997,3,1997-03-01,6,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
89,Whooping Cough,,1997,3,1997-03-01,1,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
90,Yellow Fever,,1997,3,1997-03-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
91,Acute Poliomyelitis,,1997,4,1997-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
92,Amoebic Dysentery,,1997,4,1997-04-01,1,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
93,Bacillary Dysentery,,1997,4,1997-04-01,29,363,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
94,Cholera,,1997,4,1997-04-01,0,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
95,Dengue Fever,,1997,4,1997-04-01,1,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
96,Diphtheria,,1997,4,1997-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
97,Food Poisoning - Outbreaks,,1997,4,1997-04-01,18,364,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
98,Legionnaires' Disease,,1997,4,1997-04-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
99,Leprosy,,1997,4,1997-04-01,4,11,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
100,Malaria,,1997,4,1997-04-01,7,101,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
101,Measles,,1997,4,1997-04-01,38,316,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
102,Meningococcal Infections,,1997,4,1997-04-01,1,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
103,Mumps,,1997,4,1997-04-01,2,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
104,Paratyphoid Fever,,1997,4,1997-04-01,3,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
105,Plague,,1997,4,1997-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
106,Rabies(Human),,1997,4,1997-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
107,Relapsing Fever,,1997,4,1997-04-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
108,Rubella,,1997,4,1997-04-01,841,4958,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
109,Scarlet Fever,,1997,4,1997-04-01,3,77,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
110,Tetanus,,1997,4,1997-04-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
111,Tuberculosis,,1997,4,1997-04-01,586,7072,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
112,Typhoid Fever,,1997,4,1997-04-01,8,71,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
113,Typhus Fever,,1997,4,1997-04-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
114,Viral Hepatitis - A,,1997,4,1997-04-01,58,595,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
115,Viral Hepatitis - B,,1997,4,1997-04-01,7,100,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
