,Disease,DiseaseCode,Year,Month,Date,Cases,AnnualTotal,RecordType,Source,SourceURL
7451,Severe Respiratory Disease associated with Novel Coronavirus,,2012,10,2012-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7452,Shiga toxin-producing Escherichia coli infection,,2012,10,2012-10-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7453,Smallpox,,2012,10,2012-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7454,Streptococcus suis infection,,2012,10,2012-10-01,2,7,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7455,Tetanus,,2012,10,2012-10-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7456,Tuberculosis,,2012,10,2012-10-01,396,4858,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7457,Typhoid fever,,2012,10,2012-10-01,0,25,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7458,Typhus and other rickettsial diseases - Scrub typhus,,2012,10,2012-10-01,2,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7459,Typhus and other rickettsial diseases - Spotted fever,,2012,10,2012-10-01,0,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7460,Typhus and other rickettsial diseases - Unclassified,,2012,10,2012-10-01,1,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7461,Typhus and other rickettsial diseases - Urban typhus,,2012,10,2012-10-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7462,Viral haemorrhagic fever,,2012,10,2012-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7463,Viral hepatitis - A,,2012,10,2012-10-01,2,43,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7464,Viral hepatitis - B,,2012,10,2012-10-01,5,47,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7465,Viral hepatitis - C,,2012,10,2012-10-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7466,Viral hepatitis - E,,2012,10,2012-10-01,6,150,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7467,West Nile Virus Infection,,2012,10,2012-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7468,Whooping cough,,2012,10,2012-10-01,0,20,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7469,Yellow fever,,2012,10,2012-10-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7470,Acute poliomyelitis,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7471,Amoebic dysentery,,2012,11,2012-11-01,1,7,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7472,Anthrax,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7473,Bacillary dysentery,,2012,11,2012-11-01,4,59,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7474,Botulism,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7475,Chickenpox,,2012,11,2012-11-01,1161,8589,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7476,Chikungunya fever,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7477,Cholera,,2012,11,2012-11-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7478,Community-associated methicillin-resistant Staphylococcus aureus infection,,2012,11,2012-11-01,65,815,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7479,Creutzfeldt-Jakob disease,,2012,11,2012-11-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7480,Dengue fever,,2012,11,2012-11-01,3,53,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7481,Diphtheria,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7482,Enterovirus 71 infection,,2012,11,2012-11-01,1,59,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7483,Food poisoning - Outbreaks,,2012,11,2012-11-01,56,378,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7484,Haemophilus influenzae type b infection (invasive),,2012,11,2012-11-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7485,Hantavirus infection,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7486,Influenza A - Influenza A (H2),,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7487,Influenza A - Influenza A (H5),,2012,11,2012-11-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7488,Influenza A - Influenza A (H7),,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7489,Influenza A - Influenza A (H9),,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7490,Influenza A - Variant Influenza A (H3N2),,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7491,Japanese encephalitis,,2012,11,2012-11-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7492,Legionnaires' disease,,2012,11,2012-11-01,2,28,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7493,Leprosy,,2012,11,2012-11-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7494,Leptospirosis,,2012,11,2012-11-01,1,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7495,Listeriosis,,2012,11,2012-11-01,3,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7496,Malaria,,2012,11,2012-11-01,3,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7497,Measles,,2012,11,2012-11-01,1,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7498,Meningococcal infection (invasive),,2012,11,2012-11-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7499,Mumps,,2012,11,2012-11-01,17,150,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7500,Paratyphoid fever,,2012,11,2012-11-01,4,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7501,Plague,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7502,Psittacosis,,2012,11,2012-11-01,4,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7503,Q fever,,2012,11,2012-11-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7504,Rabies,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7505,Relapsing fever,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7506,Rubella and congenital rubella syndrome - Congenital rubella syndrome,,2012,11,2012-11-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7507,Rubella and congenital rubella syndrome - Rubella,,2012,11,2012-11-01,1,44,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7508,Scarlet fever,,2012,11,2012-11-01,131,1500,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7509,Severe Acute Respiratory Syndrome,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7510,Severe Respiratory Disease associated with Novel Coronavirus,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7511,Shiga toxin-producing Escherichia coli infection,,2012,11,2012-11-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7512,Smallpox,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7513,Streptococcus suis infection,,2012,11,2012-11-01,0,7,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7514,Tetanus,,2012,11,2012-11-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7515,Tuberculosis,,2012,11,2012-11-01,410,4858,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7516,Typhoid fever,,2012,11,2012-11-01,1,25,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7517,Typhus and other rickettsial diseases - Scrub typhus,,2012,11,2012-11-01,0,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7518,Typhus and other rickettsial diseases - Spotted fever,,2012,11,2012-11-01,2,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7519,Typhus and other rickettsial diseases - Unclassified,,2012,11,2012-11-01,1,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7520,Typhus and other rickettsial diseases - Urban typhus,,2012,11,2012-11-01,1,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7521,Viral haemorrhagic fever,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7522,Viral hepatitis - A,,2012,11,2012-11-01,4,43,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7523,Viral hepatitis - B,,2012,11,2012-11-01,3,47,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7524,Viral hepatitis - C,,2012,11,2012-11-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7525,Viral hepatitis - E,,2012,11,2012-11-01,9,150,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7526,West Nile Virus Infection,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7527,Whooping cough,,2012,11,2012-11-01,0,20,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7528,Yellow fever,,2012,11,2012-11-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7529,Acute poliomyelitis,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7530,Amoebic dysentery,,2012,12,2012-12-01,2,7,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7531,Anthrax,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7532,Bacillary dysentery,,2012,12,2012-12-01,5,59,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7533,Botulism,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7534,Chickenpox,,2012,12,2012-12-01,1153,8589,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7535,Chikungunya fever,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7536,Cholera,,2012,12,2012-12-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7537,Community-associated methicillin-resistant Staphylococcus aureus infection,,2012,12,2012-12-01,69,815,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7538,Creutzfeldt-Jakob disease,,2012,12,2012-12-01,2,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7539,Dengue fever,,2012,12,2012-12-01,3,53,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7540,Diphtheria,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7541,Enterovirus 71 infection,,2012,12,2012-12-01,0,59,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7542,Food poisoning - Outbreaks,,2012,12,2012-12-01,23,378,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7543,Haemophilus influenzae type b infection (invasive),,2012,12,2012-12-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7544,Hantavirus infection,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7545,Influenza A - Influenza A (H2),,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7546,Influenza A - Influenza A (H5),,2012,12,2012-12-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7547,Influenza A - Influenza A (H7),,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7548,Influenza A - Influenza A (H9),,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7549,Influenza A - Variant Influenza A (H3N2),,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7550,Japanese encephalitis,,2012,12,2012-12-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7551,Legionnaires' disease,,2012,12,2012-12-01,4,28,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7552,Leprosy,,2012,12,2012-12-01,1,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7553,Leptospirosis,,2012,12,2012-12-01,1,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7554,Listeriosis,,2012,12,2012-12-01,1,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7555,Malaria,,2012,12,2012-12-01,1,26,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7556,Measles,,2012,12,2012-12-01,1,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7557,Meningococcal infection (invasive),,2012,12,2012-12-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7558,Mumps,,2012,12,2012-12-01,9,150,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7559,Paratyphoid fever,,2012,12,2012-12-01,3,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7560,Plague,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7561,Psittacosis,,2012,12,2012-12-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7562,Q fever,,2012,12,2012-12-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7563,Rabies,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7564,Relapsing fever,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7565,Rubella and congenital rubella syndrome - Congenital rubella syndrome,,2012,12,2012-12-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7566,Rubella and congenital rubella syndrome - Rubella,,2012,12,2012-12-01,4,44,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7567,Scarlet fever,,2012,12,2012-12-01,114,1500,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7568,Severe Acute Respiratory Syndrome,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7569,Severe Respiratory Disease associated with Novel Coronavirus,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7570,Shiga toxin-producing Escherichia coli infection,,2012,12,2012-12-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7571,Smallpox,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7572,Streptococcus suis infection,,2012,12,2012-12-01,1,7,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7573,Tetanus,,2012,12,2012-12-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7574,Tuberculosis,,2012,12,2012-12-01,315,4858,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7575,Typhoid fever,,2012,12,2012-12-01,0,25,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7576,Typhus and other rickettsial diseases - Scrub typhus,,2012,12,2012-12-01,2,23,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7577,Typhus and other rickettsial diseases - Spotted fever,,2012,12,2012-12-01,1,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7578,Typhus and other rickettsial diseases - Unclassified,,2012,12,2012-12-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7579,Typhus and other rickettsial diseases - Urban typhus,,2012,12,2012-12-01,1,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7580,Viral haemorrhagic fever,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7581,Viral hepatitis - A,,2012,12,2012-12-01,4,43,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7582,Viral hepatitis - B,,2012,12,2012-12-01,1,47,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7583,Viral hepatitis - C,,2012,12,2012-12-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7584,Viral hepatitis - E,,2012,12,2012-12-01,11,150,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7585,West Nile Virus Infection,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7586,Whooping cough,,2012,12,2012-12-01,1,20,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7587,Yellow fever,,2012,12,2012-12-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2012en.csv
7588,Acute poliomyelitis,,2013,1,2013-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7589,Amoebic dysentery,,2013,1,2013-01-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7590,Anthrax,,2013,1,2013-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7591,Bacillary dysentery,,2013,1,2013-01-01,4,66,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7592,Botulism,,2013,1,2013-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7593,Chickenpox,,2013,1,2013-01-01,1101,10926,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7594,Chikungunya fever,,2013,1,2013-01-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7595,Cholera,,2013,1,2013-01-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7596,Community-associated methicillin-resistant Staphylococcus aureus infection,,2013,1,2013-01-01,80,990,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7597,Creutzfeldt-Jakob disease,,2013,1,2013-01-01,0,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7598,Dengue fever,,2013,1,2013-01-01,12,103,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7599,Diphtheria,,2013,1,2013-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7600,Enterovirus 71 infection,,2013,1,2013-01-01,0,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7601,Food poisoning - Outbreaks,,2013,1,2013-01-01,30,316,outbreaks,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7602,Haemophilus influenzae type b infection (invasive),,2013,1,2013-01-01,0,3,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7603,Hantavirus infection,,2013,1,2013-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7604,Influenza A - Influenza A (H2),,2013,1,2013-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7605,Influenza A - Influenza A (H5),,2013,1,2013-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7606,Influenza A - Influenza A (H7),,2013,1,2013-01-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7607,Influenza A - Influenza A (H9),,2013,1,2013-01-01,0,1,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
7608,Influenza A - Variant Influenza A (H3N2),,2013,1,2013-01-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid2013en.csv
