"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2023",,,,,,"Data collected as of January 18, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Ishikawa,341,7.1,5,0.17,4,0.14,6,0.21,242,8.34,2,0.07,8,0.28,-,-,4,0.14,1,0.03,1,0.03,-,-,4,0.57,-,-,-,-,-,-,-,-,-,-
Fukui,202,5.46,5,0.22,4,0.17,7,0.3,169,7.35,9,0.39,14,0.61,-,-,7,0.3,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,128,3.12,10,0.42,-,-,3,0.13,84,3.5,-,-,-,-,1,0.04,7,0.29,-,-,1,0.04,-,-,4,0.44,-,-,-,-,-,-,-,-,-,-
Nagano,354,4.02,20,0.37,2,0.04,17,0.31,353,6.54,9,0.17,3,0.06,-,-,11,0.2,2,0.04,-,-,3,0.3,2,0.2,-,-,-,-,1,0.08,-,-,-,-
Gifu,350,4.02,4,0.08,8,0.15,3,0.06,137,2.58,1,0.02,-,-,-,-,8,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shizuoka,642,4.62,15,0.17,12,0.13,10,0.11,374,4.2,5,0.06,-,-,1,0.01,18,0.2,-,-,4,0.04,-,-,4,0.18,-,-,-,-,-,-,-,-,-,-
Aichi,1367,7.01,13,0.07,11,0.06,42,0.23,834,4.58,9,0.05,6,0.03,-,-,39,0.21,2,0.01,3,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mie,477,6.72,-,-,7,0.16,11,0.24,233,5.18,1,0.02,1,0.02,-,-,11,0.24,-,-,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Shiga,332,5.53,2,0.06,5,0.14,3,0.08,175,4.86,3,0.08,2,0.06,-,-,7,0.19,-,-,-,-,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,1200,9.6,4,0.05,16,0.21,54,0.71,371,4.88,18,0.24,14,0.18,-,-,9,0.12,5,0.07,-,-,-,-,4,0.22,-,-,-,-,1,0.14,-,-,-,-
Osaka,3641,12.22,30,0.15,20,0.1,51,0.26,916,4.72,21,0.11,9,0.05,-,-,40,0.21,14,0.07,6,0.03,1,0.02,5,0.1,-,-,-,-,-,-,-,-,-,-
Hyogo,1625,8.21,21,0.16,18,0.14,24,0.19,707,5.52,7,0.05,23,0.18,1,0.01,29,0.23,6,0.05,3,0.02,2,0.06,14,0.4,-,-,1,0.07,-,-,-,-,-,-
Nara,428,7.78,1,0.03,7,0.21,10,0.29,153,4.5,3,0.09,12,0.35,-,-,14,0.41,1,0.03,-,-,-,-,2,0.2,-,-,-,-,-,-,-,-,-,-
Wakayama,418,8.53,12,0.4,-,-,9,0.3,99,3.3,1,0.03,4,0.13,-,-,5,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tottori,122,4.21,1,0.05,1,0.05,18,0.95,82,4.32,1,0.05,1,0.05,-,-,6,0.32,-,-,1,0.05,-,-,1,0.2,-,-,-,-,-,-,-,-,-,-
Shimane,100,2.63,-,-,1,0.04,3,0.13,101,4.39,3,0.13,8,0.35,-,-,5,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,442,5.26,20,0.37,26,0.48,7,0.13,373,6.91,5,0.09,3,0.06,-,-,17,0.31,2,0.04,1,0.02,-,-,1,0.08,1,0.2,-,-,-,-,-,-,-,-
Hiroshima,478,4.16,26,0.36,5,0.07,14,0.19,611,8.49,4,0.06,3,0.04,-,-,8,0.11,4,0.06,-,-,-,-,10,0.53,-,-,-,-,1,0.05,-,-,-,-
Yamaguchi,347,5.34,4,0.09,2,0.04,23,0.51,242,5.38,2,0.04,-,-,-,-,14,0.31,4,0.09,2,0.04,-,-,6,0.67,-,-,-,-,-,-,-,-,-,-
Tokushima,264,7.14,3,0.13,2,0.09,1,0.04,126,5.48,6,0.26,6,0.26,-,-,4,0.17,-,-,-,-,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Kagawa,441,9.38,7,0.25,3,0.11,3,0.11,297,10.61,1,0.04,-,-,-,-,8,0.29,1,0.04,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,625,10.25,7,0.19,7,0.19,13,0.35,291,7.86,2,0.05,8,0.22,-,-,12,0.32,1,0.03,-,-,-,-,3,0.38,-,-,-,-,-,-,-,-,-,-
Kochi,323,7.18,11,0.41,2,0.07,5,0.19,118,4.37,2,0.07,6,0.22,-,-,3,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukuoka,3359,16.96,24,0.2,25,0.21,121,1.01,662,5.52,15,0.13,31,0.26,1,0.01,39,0.33,31,0.26,3,0.03,-,-,3,0.12,-,-,-,-,-,-,-,-,-,-
Saga,616,15.79,16,0.7,4,0.17,4,0.17,52,2.26,1,0.04,12,0.52,-,-,12,0.52,12,0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.17
Nagasaki,1032,14.74,21,0.48,3,0.07,81,1.84,186,4.23,6,0.14,14,0.32,1,0.02,11,0.25,2,0.05,-,-,1,0.13,2,0.25,-,-,-,-,-,-,-,-,-,-
Kumamoto,688,8.6,32,0.64,5,0.1,5,0.1,335,6.7,6,0.12,12,0.24,-,-,22,0.44,17,0.34,1,0.02,-,-,4,0.44,-,-,1,0.07,-,-,-,-,-,-
Oita,490,8.45,-,-,8,0.22,6,0.17,257,7.14,2,0.06,-,-,-,-,8,0.22,2,0.06,2,0.06,-,-,2,0.4,-,-,-,-,-,-,-,-,-,-
Miyazaki,948,16.63,8,0.22,4,0.11,5,0.14,286,7.94,3,0.08,7,0.19,-,-,14,0.39,5,0.14,1,0.03,-,-,5,0.83,-,-,-,-,-,-,-,-,-,-
Kagoshima,1248,13.57,15,0.28,11,0.2,8,0.15,272,5.04,5,0.09,14,0.26,2,0.04,18,0.33,9,0.17,2,0.04,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Okinawa,1861,33.23,6,0.18,7,0.21,7,0.21,56,1.7,4,0.12,23,0.7,-,-,7,0.21,1,0.03,1,0.03,2,0.22,16,1.78,-,-,-,-,-,-,-,-,-,-
