"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2023",,,,,,"Data collected as of January 18, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Shizuoka,1086,7.81,35,0.39,23,0.26,17,0.19,583,6.55,18,0.2,4,0.04,2,0.02,31,0.35,-,-,8,0.09,-,-,7,0.32,1,0.1,-,-,1,0.1,-,-,-,-
Aichi,2274,11.66,17,0.09,27,0.15,66,0.36,1351,7.42,21,0.12,18,0.1,2,0.01,59,0.32,2,0.01,3,0.02,-,-,4,0.11,-,-,-,-,-,-,-,-,-,-
Mie,786,11.07,-,-,14,0.31,20,0.44,392,8.71,7,0.16,2,0.04,1,0.02,24,0.53,-,-,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Shiga,527,8.78,4,0.11,13,0.36,10,0.28,287,7.97,6,0.17,3,0.08,-,-,13,0.36,2,0.06,1,0.03,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,1891,15.13,13,0.17,29,0.38,79,1.04,532,7,33,0.43,25,0.33,-,-,16,0.21,5,0.07,1,0.01,-,-,6,0.33,-,-,-,-,1,0.14,-,-,-,-
Osaka,6193,20.78,54,0.28,40,0.21,84,0.43,1483,7.64,43,0.22,39,0.2,2,0.01,71,0.37,25,0.13,8,0.04,1,0.02,10,0.19,-,-,-,-,-,-,-,-,-,-
Hyogo,2449,12.31,29,0.22,42,0.33,40,0.31,1131,8.77,18,0.14,53,0.41,2,0.02,48,0.37,7,0.05,3,0.02,2,0.06,16,0.46,-,-,1,0.07,-,-,-,-,-,-
Nara,646,11.75,2,0.06,12,0.35,17,0.5,223,6.56,4,0.12,22,0.65,-,-,18,0.53,2,0.06,-,-,-,-,4,0.4,1,0.17,-,-,-,-,-,-,-,-
Wakayama,628,12.82,21,0.7,-,-,12,0.4,161,5.37,1,0.03,13,0.43,-,-,9,0.3,-,-,2,0.07,-,-,-,-,-,-,-,-,1,0.09,-,-,-,-
Tottori,243,8.38,2,0.11,7,0.37,31,1.63,123,6.47,2,0.11,2,0.11,1,0.05,8,0.42,1,0.05,1,0.05,-,-,2,0.4,-,-,-,-,-,-,-,-,-,-
Shimane,180,4.74,-,-,3,0.13,6,0.26,154,6.7,4,0.17,12,0.52,-,-,16,0.7,-,-,-,-,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Okayama,749,8.92,29,0.54,31,0.57,17,0.31,639,11.83,11,0.2,11,0.2,-,-,23,0.43,3,0.06,1,0.02,1,0.08,5,0.42,1,0.2,1,0.2,-,-,-,-,-,-
Hiroshima,752,6.6,35,0.49,13,0.18,23,0.32,1010,14.23,8,0.11,10,0.14,-,-,21,0.3,8,0.11,1,0.01,1,0.05,12,0.63,-,-,-,-,1,0.05,-,-,-,-
Yamaguchi,548,8.43,16,0.36,4,0.09,42,0.93,385,8.56,3,0.07,4,0.09,1,0.02,27,0.6,8,0.18,3,0.07,-,-,13,1.44,-,-,-,-,-,-,-,-,-,-
Tokushima,436,11.78,5,0.22,2,0.09,1,0.04,227,9.87,7,0.3,11,0.48,-,-,15,0.65,-,-,-,-,-,-,2,0.5,1,0.14,-,-,-,-,-,-,-,-
Kagawa,612,13.02,20,0.71,7,0.25,3,0.11,506,18.07,1,0.04,3,0.11,-,-,11,0.39,2,0.07,1,0.04,-,-,1,0.2,-,-,-,-,1,0.2,-,-,-,-
Ehime,1076,17.64,13,0.35,8,0.22,37,1,452,12.22,3,0.08,18,0.49,-,-,24,0.65,4,0.11,3,0.08,-,-,5,0.63,-,-,-,-,-,-,-,-,-,-
Kochi,452,10.04,19,0.7,4,0.15,5,0.19,220,8.15,3,0.11,14,0.52,-,-,13,0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13
Fukuoka,5271,26.62,65,0.54,44,0.37,176,1.47,1194,9.95,23,0.19,68,0.57,1,0.01,71,0.59,42,0.35,4,0.03,-,-,5,0.19,-,-,-,-,-,-,-,-,-,-
Saga,1009,25.87,26,1.13,7,0.3,8,0.35,100,4.35,1,0.04,17,0.74,-,-,23,1,13,0.57,1,0.04,-,-,2,0.5,-,-,-,-,-,-,-,-,1,0.17
Nagasaki,1530,21.86,42,0.95,10,0.23,142,3.23,328,7.45,17,0.39,20,0.45,2,0.05,20,0.45,3,0.07,1,0.02,1,0.13,4,0.5,-,-,-,-,-,-,-,-,-,-
Kumamoto,1125,14.06,46,0.92,10,0.2,11,0.22,568,11.36,9,0.18,27,0.54,-,-,40,0.8,24,0.48,3,0.06,-,-,6,0.67,-,-,1,0.07,-,-,-,-,-,-
Oita,788,13.59,2,0.06,11,0.31,14,0.39,461,12.81,4,0.11,6,0.17,1,0.03,17,0.47,3,0.08,3,0.08,-,-,5,1,-,-,-,-,-,-,-,-,-,-
Miyazaki,1653,29,15,0.42,13,0.36,21,0.58,461,12.81,6,0.17,7,0.19,-,-,24,0.67,11,0.31,4,0.11,-,-,8,1.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,1847,20.3,33,0.61,27,0.5,19,0.35,456,8.44,8,0.15,30,0.56,3,0.06,28,0.52,10,0.19,3,0.06,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
Okinawa,2893,51.66,17,0.52,12,0.36,29,0.88,92,2.79,9,0.27,35,1.06,-,-,14,0.42,5,0.15,2,0.06,3,0.33,22,2.44,-,-,-,-,-,-,-,-,-,-
