"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12th week, 2023",,,,,,"Data collected as of March 29, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Gunma,5226,60.77,72,1.36,100,1.89,144,2.72,4085,77.08,73,1.38,12,0.23,12,0.23,192,3.62,9,0.17,21,0.4,-,-,32,2.29,-,-,-,-,-,-,-,-,-,-
Saitama,26108,102.79,271,1.7,258,1.62,589,3.7,13287,83.57,188,1.18,82,0.52,22,0.14,415,2.61,15,0.09,83,0.52,11,0.28,95,2.38,3,0.27,8,0.73,2,0.18,-,-,3,0.27
Chiba,19523,92.97,111,0.85,72,0.55,539,4.15,10181,78.32,125,0.96,19,0.15,12,0.09,235,1.81,14,0.11,45,0.35,1,0.03,82,2.41,1,0.11,4,0.44,-,-,-,-,-,-
Tokyo,39672,96.53,257,0.99,295,1.14,919,3.55,20915,80.75,238,0.92,116,0.45,29,0.11,657,2.54,35,0.14,98,0.38,5,0.13,41,1.08,8,0.33,10,0.42,4,0.17,2,0.08,3,0.13
Kanagawa,41583,116.15,183,0.81,158,0.7,712,3.15,16164,71.52,126,0.56,87,0.38,29,0.13,510,2.26,36,0.16,90,0.4,4,0.08,229,4.58,5,0.45,8,0.73,3,0.27,-,-,1,0.09
Niigata,9306,108.21,426,7.61,123,2.2,622,11.11,3580,63.93,47,0.84,32,0.57,6,0.11,147,2.63,6,0.11,24,0.43,-,-,11,1.1,1,0.08,3,0.25,1,0.08,-,-,1,0.08
Toyama,10211,212.73,256,8.83,111,3.83,260,8.97,3591,123.83,32,1.1,8,0.28,2,0.07,58,2,12,0.41,6,0.21,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,13691,285.23,216,7.45,67,2.31,101,3.48,3266,112.62,33,1.14,66,2.28,1,0.03,82,2.83,5,0.17,7,0.24,1,0.14,33,4.71,-,-,1,0.2,4,0.8,-,-,-,-
Fukui,9779,264.3,89,3.87,117,5.09,172,7.48,1494,64.96,51,2.22,111,4.83,3,0.13,51,2.22,14,0.61,8,0.35,-,-,2,0.67,3,0.5,2,0.33,-,-,-,-,-,-
Yamanashi,1422,34.68,61,2.54,6,0.25,14,0.58,2038,84.92,4,0.17,4,0.17,1,0.04,65,2.71,1,0.04,10,0.42,-,-,31,3.44,1,0.1,-,-,-,-,-,-,3,0.3
Nagano,7549,86.77,179,3.38,42,0.79,125,2.36,4928,92.98,38,0.72,12,0.23,3,0.06,105,1.98,18,0.34,11,0.21,3,0.3,40,4,-,-,2,0.17,3,0.25,-,-,-,-
Gifu,3821,43.92,68,1.28,101,1.91,78,1.47,2395,45.19,10,0.19,18,0.34,2,0.04,98,1.85,2,0.04,6,0.11,-,-,23,2.09,-,-,4,0.8,-,-,-,-,1,0.2
Shizuoka,6575,47.64,293,3.29,188,2.11,209,2.35,6635,74.55,72,0.81,20,0.22,9,0.1,211,2.37,5,0.06,45,0.51,-,-,27,1.23,6,0.6,4,0.4,3,0.3,-,-,2,0.2
Aichi,19700,101.03,178,0.98,224,1.23,847,4.65,12284,67.49,118,0.65,46,0.25,16,0.09,312,1.71,10,0.05,35,0.19,-,-,31,0.89,6,0.4,4,0.27,-,-,-,-,1,0.07
Mie,6646,93.61,28,0.64,122,2.77,96,2.18,2826,64.23,41,0.93,12,0.27,4,0.09,114,2.59,2,0.05,9,0.2,-,-,5,0.42,3,0.33,5,0.56,2,0.22,-,-,-,-
Shiga,7855,133.14,30,0.83,65,1.81,129,3.58,2236,62.11,44,1.22,19,0.53,3,0.08,56,1.56,4,0.11,6,0.17,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,23139,186.6,195,2.6,128,1.71,622,8.29,4465,59.53,97,1.29,86,1.15,13,0.17,129,1.72,43,0.57,11,0.15,1,0.06,13,0.72,-,-,2,0.29,2,0.29,-,-,3,0.43
Osaka,56779,191.18,720,3.71,303,1.56,967,4.98,13521,69.7,157,0.81,173,0.89,19,0.1,419,2.16,84,0.43,75,0.39,7,0.14,77,1.51,-,-,4,0.25,-,-,-,-,4,0.25
Hyogo,25270,126.98,350,2.71,235,1.82,393,3.05,12011,93.11,103,0.8,235,1.82,14,0.11,261,2.02,48,0.37,26,0.2,3,0.09,93,2.66,5,0.36,6,0.43,-,-,-,-,-,-
Nara,7661,139.29,115,3.38,64,1.88,109,3.21,2383,70.09,22,0.65,66,1.94,4,0.12,89,2.62,12,0.35,5,0.15,-,-,31,3.1,4,0.67,3,0.5,1,0.17,1,0.17,-,-
Wakayama,4956,101.14,72,2.4,29,0.97,123,4.1,1575,52.5,22,0.73,27,0.9,-,-,56,1.87,1,0.03,6,0.2,1,0.25,1,0.25,2,0.18,3,0.27,3,0.27,-,-,-,-
Tottori,1343,46.31,12,0.63,28,1.47,289,15.21,1705,89.74,12,0.63,9,0.47,3,0.16,59,3.11,6,0.32,1,0.05,1,0.2,2,0.4,1,0.2,-,-,-,-,-,-,4,0.8
Shimane,2501,65.82,8,0.35,38,1.65,52,2.26,1845,80.22,32,1.39,68,2.96,2,0.09,100,4.35,7,0.3,3,0.13,-,-,6,2,3,0.38,-,-,-,-,-,-,-,-
Okayama,7844,93.38,209,3.87,112,2.07,103,1.91,3922,72.63,37,0.69,63,1.17,6,0.11,119,2.2,20,0.37,21,0.39,3,0.25,32,2.67,2,0.4,6,1.2,1,0.2,-,-,3,0.6
Hiroshima,11085,97.24,163,2.3,167,2.35,300,4.23,6321,89.03,43,0.61,26,0.37,4,0.06,167,2.35,35,0.49,15,0.21,6,0.32,68,3.58,-,-,-,-,2,0.1,-,-,1,0.05
Yamaguchi,4921,75.71,145,3.22,56,1.24,217,4.82,4070,90.44,26,0.58,24,0.53,5,0.11,160,3.56,52,1.16,12,0.27,-,-,33,3.67,-,-,1,0.11,2,0.22,-,-,-,-
Tokushima,2717,73.43,67,2.91,21,0.91,12,0.52,1755,76.3,18,0.78,38,1.65,2,0.09,78,3.39,5,0.22,6,0.26,2,0.5,2,0.5,1,0.14,2,0.29,-,-,-,-,-,-
Kagawa,6468,137.62,97,3.46,64,2.29,21,0.75,3191,113.96,15,0.54,4,0.14,-,-,93,3.32,7,0.25,9,0.32,-,-,3,0.6,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,5623,92.18,147,3.97,45,1.22,211,5.7,4848,131.03,21,0.57,27,0.73,2,0.05,180,4.86,8,0.22,17,0.46,-,-,34,4.25,-,-,-,-,2,0.33,-,-,-,-
Kochi,4061,90.24,118,4.37,16,0.59,92,3.41,1886,69.85,16,0.59,71,2.63,5,0.19,73,2.7,10,0.37,2,0.07,-,-,2,0.67,1,0.13,-,-,4,0.5,-,-,6,0.75
Fukuoka,39965,201.84,716,5.97,314,2.62,1865,15.54,8758,72.98,145,1.21,293,2.44,9,0.08,492,4.1,368,3.07,40,0.33,-,-,40,1.54,7,0.47,2,0.13,1,0.07,-,-,1,0.07
Saga,6730,172.56,248,10.78,78,3.39,85,3.7,897,39,9,0.39,74,3.22,1,0.04,129,5.61,120,5.22,7,0.3,-,-,4,1,3,0.5,1,0.17,-,-,-,-,3,0.5
Nagasaki,10101,144.3,398,9.05,93,2.11,1020,23.18,2155,48.98,49,1.11,99,2.25,6,0.14,121,2.75,55,1.25,26,0.59,10,1.25,25,3.13,1,0.08,-,-,3,0.25,-,-,-,-
Kumamoto,7890,99.87,607,12.39,120,2.45,123,2.51,3558,72.61,43,0.88,82,1.67,-,-,244,4.98,343,7,19,0.39,-,-,33,3.67,2,0.13,5,0.33,1,0.07,-,-,-,-
Oita,9021,155.53,24,0.67,76,2.11,130,3.61,4897,136.03,40,1.11,16,0.44,8,0.22,162,4.5,65,1.81,24,0.67,-,-,24,4.8,1,0.09,1,0.09,4,0.36,-,-,-,-
Miyazaki,9650,169.3,154,4.4,167,4.77,175,5,4572,130.63,34,0.97,30,0.86,2,0.06,162,4.63,132,3.77,22,0.63,2,0.33,50,8.33,1,0.14,1,0.14,-,-,-,-,-,-
Kagoshima,7086,77.87,540,10,254,4.7,204,3.78,5338,98.85,36,0.67,135,2.5,12,0.22,184,3.41,86,1.59,28,0.52,2,0.29,29,4.14,-,-,-,-,-,-,-,-,-,-
Okinawa,15376,279.56,82,2.56,69,2.16,362,11.31,653,20.41,36,1.13,703,21.97,5,0.16,66,2.06,17,0.53,13,0.41,10,1.11,67,7.44,7,1,4,0.57,1,0.14,1,0.14,-,-
