"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2023",,,,,,"Data collected as of May 8, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Shiga,112,1.9,81,2.25,4,0.11,19,0.53,175,4.86,8,0.22,1,0.03,-,-,4,0.11,5,0.14,5,0.14,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-
Kyoto,79,0.65,149,2.04,22,0.3,91,1.25,346,4.74,4,0.05,4,0.05,-,-,14,0.19,12,0.16,2,0.03,-,-,4,0.25,-,-,-,-,-,-,-,-,1,0.14
Osaka,244,0.84,606,3.19,80,0.42,238,1.25,1099,5.78,13,0.07,29,0.15,2,0.01,73,0.38,28,0.15,8,0.04,1,0.02,11,0.21,-,-,-,-,-,-,-,-,-,-
Hyogo,259,1.32,233,1.82,33,0.26,64,0.5,802,6.27,18,0.14,30,0.23,1,0.01,30,0.23,55,0.43,4,0.03,-,-,12,0.34,-,-,1,0.07,-,-,-,-,1,0.07
Nara,42,0.76,81,2.38,7,0.21,12,0.35,194,5.71,-,-,17,0.5,-,-,11,0.32,6,0.18,1,0.03,1,0.1,4,0.4,-,-,-,-,-,-,-,-,-,-
Wakayama,13,0.27,113,3.77,8,0.27,19,0.63,193,6.43,2,0.07,1,0.03,1,0.03,7,0.23,1,0.03,1,0.03,-,-,1,0.25,-,-,-,-,1,0.09,-,-,2,0.18
Tottori,70,2.41,24,1.26,1,0.05,31,1.63,179,9.42,-,-,2,0.11,-,-,3,0.16,-,-,-,-,-,-,-,-,-,-,1,0.2,-,-,-,-,-,-
Shimane,66,1.74,8,0.35,2,0.09,8,0.35,116,5.04,3,0.13,3,0.13,-,-,17,0.74,3,0.13,1,0.04,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Okayama,218,2.6,37,0.69,8,0.15,33,0.61,306,5.67,8,0.15,21,0.39,-,-,12,0.22,10,0.19,1,0.02,-,-,3,0.25,-,-,-,-,-,-,-,-,-,-
Hiroshima,435,3.82,100,1.39,41,0.57,67,0.93,279,3.88,3,0.04,1,0.01,3,0.04,24,0.33,44,0.61,-,-,2,0.11,9,0.47,1,0.05,1,0.05,-,-,-,-,-,-
Yamaguchi,110,1.69,54,1.26,7,0.16,55,1.28,201,4.67,3,0.07,2,0.05,1,0.02,22,0.51,19,0.44,2,0.05,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
Tokushima,63,1.7,13,0.57,2,0.09,5,0.22,108,4.7,3,0.13,-,-,-,-,10,0.43,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,28,0.6,26,0.93,9,0.32,2,0.07,182,6.5,2,0.07,3,0.11,-,-,14,0.5,36,1.29,1,0.04,-,-,2,0.4,-,-,1,0.2,-,-,-,-,-,-
Ehime,52,0.85,39,1.05,12,0.32,73,1.97,242,6.54,8,0.22,-,-,-,-,22,0.59,1,0.03,1,0.03,-,-,3,0.38,-,-,-,-,-,-,-,-,-,-
Kochi,86,1.91,19,0.7,3,0.11,4,0.15,54,2,-,-,3,0.11,1,0.04,6,0.22,58,2.15,-,-,-,-,-,-,-,-,-,-,2,0.25,-,-,-,-
Fukuoka,353,1.78,160,1.33,59,0.49,330,2.75,698,5.82,15,0.13,30,0.25,1,0.01,55,0.46,110,0.92,7,0.06,-,-,4,0.15,-,-,-,-,-,-,-,-,-,-
Saga,88,2.26,41,1.78,16,0.7,7,0.3,100,4.35,1,0.04,2,0.09,-,-,14,0.61,80,3.48,-,-,-,-,1,0.25,-,-,-,-,1,0.17,-,-,1,0.17
Nagasaki,83,1.19,90,2.05,12,0.27,42,0.95,132,3,2,0.05,14,0.32,-,-,15,0.34,146,3.32,4,0.09,-,-,1,0.13,-,-,-,-,1,0.08,-,-,-,-
Kumamoto,124,1.57,10,0.2,11,0.22,34,0.69,208,4.24,3,0.06,11,0.22,-,-,28,0.57,111,2.27,3,0.06,-,-,4,0.4,-,-,1,0.07,-,-,-,-,-,-
Oita,90,1.55,36,1,11,0.31,47,1.31,452,12.56,13,0.36,3,0.08,-,-,13,0.36,6,0.17,1,0.03,-,-,-,-,-,-,-,-,3,0.27,-,-,-,-
Miyazaki,113,1.98,59,1.69,23,0.66,30,0.86,362,10.34,3,0.09,18,0.51,-,-,19,0.54,97,2.77,1,0.03,-,-,5,0.83,-,-,-,-,-,-,-,-,-,-
Kagoshima,170,1.89,134,2.53,39,0.74,29,0.55,358,6.75,7,0.13,28,0.53,3,0.06,15,0.28,30,0.57,3,0.06,-,-,5,0.71,-,-,1,0.08,-,-,-,-,-,-
Okinawa,45,0.82,26,0.81,17,0.53,54,1.69,112,3.5,2,0.06,162,5.06,-,-,11,0.34,5,0.16,2,0.06,-,-,4,0.5,-,-,-,-,-,-,-,-,-,-
