"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2025",,,,,,"Data collected as of April 23, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
Hiroshima,12267,109.53,1218,17.4,398,5.69,2218,31.69,11073,158.19,114,1.63,67,0.96,151,2.16,168,2.4,9,0.13,23,0.33,9,0.5,395,21.94,3,0.15,4,0.2,227,11.35,-,-,100,5,7330,65.45
Yamaguchi,8192,124.12,1746,41.57,117,2.79,1809,43.07,6547,155.88,62,1.48,32,0.76,159,3.79,176,4.19,5,0.12,11,0.26,-,-,114,12.67,1,0.11,5,0.56,62,6.89,-,-,34,3.78,3972,60.18
Tokushima,6077,168.81,428,19.45,71,3.23,259,11.77,2233,101.5,35,1.59,53,2.41,40,1.82,74,3.36,3,0.14,1,0.05,10,3.33,8,2.67,4,0.57,-,-,17,2.43,-,-,10,1.43,3507,97.42
Kagawa,6801,147.85,362,13.41,109,4.04,700,25.93,5198,192.52,44,1.63,22,0.81,31,1.15,108,4,6,0.22,13,0.48,6,1.2,20,4,4,1,2,0.5,25,6.25,-,-,5,1.25,3131,68.07
Ehime,8416,150.29,885,26.82,269,8.15,1789,54.21,6845,207.42,36,1.09,23,0.7,102,3.09,150,4.55,-,-,19,0.58,1,0.14,360,51.43,1,0.17,-,-,50,8.33,-,-,25,4.17,4718,84.25
Kochi,7724,179.63,274,11.42,58,2.42,823,34.29,1814,75.58,51,2.13,39,1.63,290,12.08,62,2.58,1,0.04,9,0.38,-,-,16,5.33,1,0.13,3,0.38,86,10.75,-,-,6,0.75,3722,86.56
Fukuoka,25459,136.14,3057,27.29,736,6.57,5938,53.02,17474,156.02,699,6.24,136,1.21,601,5.37,495,4.42,15,0.13,56,0.5,16,0.62,152,5.85,3,0.2,6,0.4,124,8.27,-,-,49,3.27,12162,65.04
Saga,6261,173.92,445,21.19,142,6.76,820,39.05,3047,145.1,68,3.24,38,1.81,128,6.1,129,6.14,9,0.43,5,0.24,-,-,8,2.67,2,0.33,6,1,43,7.17,-,-,29,4.83,3092,85.89
Nagasaki,11083,165.42,666,15.86,246,5.86,1906,45.38,4831,115.02,168,4,47,1.12,162,3.86,144,3.43,12,0.29,18,0.43,42,5.25,184,23,4,0.33,6,0.5,79,6.58,-,-,43,3.58,5450,81.34
Kumamoto,12317,157.91,925,18.88,154,3.14,1729,35.29,8976,183.18,174,3.55,100,2.04,189,3.86,323,6.59,24,0.49,17,0.35,3,0.33,146,16.22,2,0.13,4,0.27,77,5.13,-,-,18,1.2,5576,71.49
Oita,8115,139.91,758,21.06,238,6.61,1998,55.5,9420,261.67,177,4.92,70,1.94,123,3.42,243,6.75,13,0.36,26,0.72,-,-,80,16,2,0.18,2,0.18,32,2.91,-,-,25,2.27,4330,74.66
Miyazaki,9422,177.77,656,19.88,249,7.55,1223,37.06,6168,186.91,105,3.18,48,1.45,259,7.85,190,5.76,8,0.24,17,0.52,-,-,53,10.6,1,0.14,-,-,29,4.14,-,-,20,2.86,3274,61.77
Kagoshima,11617,138.3,1165,24.27,638,13.29,1869,38.94,8457,176.19,189,3.94,99,2.06,132,2.75,187,3.9,10,0.21,19,0.4,1,0.14,138,19.71,2,0.17,-,-,66,5.5,-,-,-,-,3840,45.71
Okinawa,11268,208.67,196,6.32,87,2.81,996,32.13,1527,49.26,366,11.81,70,2.26,205,6.61,93,3,7,0.23,25,0.81,6,0.67,755,83.89,3,0.43,7,1,17,2.43,-,-,6,0.86,1238,22.93
