"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2025",,,,,,"Data collected as of April 23, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
Niigata,84,1.53,52,1.73,6,0.2,119,3.97,229,7.63,6,0.2,2,0.07,47,1.57,8,0.27,-,-,7,0.23,2,0.2,8,0.8,-,-,-,-,5,0.38,-,-,-,-,274,4.98
Toyama,144,3,25,0.86,10,0.34,151,5.21,272,9.38,5,0.17,-,-,92,3.17,3,0.1,1,0.03,1,0.03,8,1.14,-,-,-,-,-,-,1,0.2,-,-,-,-,121,2.52
Ishikawa,42,0.88,38,1.31,8,0.28,88,3.03,378,13.03,7,0.24,1,0.03,71,2.45,10,0.34,-,-,1,0.03,5,0.71,6,0.86,-,-,-,-,2,0.4,-,-,-,-,121,2.52
Fukui,35,0.9,38,1.52,16,0.64,35,1.4,260,10.4,1,0.04,-,-,12,0.48,12,0.48,-,-,4,0.16,-,-,-,-,-,-,-,-,11,1.83,-,-,-,-,63,1.62
Yamanashi,41,1.17,5,0.24,6,0.29,12,0.57,137,6.52,1,0.05,-,-,6,0.29,2,0.1,-,-,1,0.05,-,-,22,2.44,-,-,-,-,1,0.1,-,-,-,-,127,3.63
Nagano,164,2.02,40,0.78,6,0.12,92,1.8,406,7.96,7,0.14,2,0.04,94,1.84,10,0.2,-,-,2,0.04,-,-,13,1.3,-,-,-,-,2,0.17,-,-,-,-,246,3.04
Gifu,63,1.4,29,1.07,6,0.22,44,1.63,277,10.26,3,0.11,1,0.04,11,0.41,4,0.15,-,-,1,0.04,-,-,3,0.27,-,-,-,-,2,0.4,-,-,2,0.4,95,2.11
Shizuoka,80,0.58,63,0.71,25,0.28,110,1.24,545,6.12,12,0.13,3,0.03,165,1.85,19,0.21,4,0.04,1,0.01,-,-,9,0.41,-,-,-,-,4,0.4,-,-,-,-,260,1.87
Aichi,118,0.72,79,0.78,30,0.3,163,1.61,677,6.7,19,0.19,6,0.06,40,0.4,24,0.24,1,0.01,5,0.05,5,0.14,13,0.37,-,-,1,0.07,4,0.27,-,-,6,0.4,380,2.33
Mie,41,0.58,62,1.38,15,0.33,98,2.18,358,7.96,6,0.13,5,0.11,54,1.2,11,0.24,1,0.02,-,-,-,-,1,0.09,-,-,-,-,2,0.22,-,-,-,-,137,1.93
Shiga,66,1.14,27,0.77,5,0.14,66,1.89,147,4.2,3,0.09,1,0.03,18,0.51,11,0.31,-,-,4,0.11,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-,129,2.22
Kyoto,64,0.97,23,0.59,24,0.62,99,2.54,359,9.21,6,0.15,2,0.05,50,1.28,11,0.28,1,0.03,1,0.03,-,-,6,0.33,-,-,-,-,1,0.17,-,-,-,-,135,2.05
Osaka,285,0.97,191,1.02,58,0.31,278,1.49,1717,9.18,47,0.25,7,0.04,119,0.64,47,0.25,5,0.03,9,0.05,2,0.04,11,0.21,1,0.06,1,0.06,1,0.06,1,0.06,14,0.78,325,1.11
Hyogo,151,0.92,102,0.96,35,0.33,150,1.42,1041,9.82,27,0.25,3,0.03,64,0.6,38,0.36,-,-,7,0.07,-,-,21,0.6,-,-,1,0.07,9,0.64,-,-,-,-,252,1.54
Nara,55,1.34,30,1.25,12,0.5,57,2.38,240,10,3,0.13,24,1,10,0.42,13,0.54,2,0.08,1,0.04,-,-,1,0.1,-,-,-,-,6,1,-,-,2,0.33,65,1.59
Wakayama,85,1.89,20,0.74,2,0.07,30,1.11,178,6.59,5,0.19,-,-,30,1.11,8,0.3,-,-,3,0.11,-,-,-,-,1,0.09,-,-,-,-,-,-,3,0.27,61,1.36
Tottori,46,1.59,29,1.53,1,0.05,61,3.21,216,11.37,14,0.74,1,0.05,17,0.89,5,0.26,-,-,-,-,-,-,5,1,-,-,1,0.2,-,-,-,-,2,0.4,56,1.93
Shimane,7,0.35,13,1.18,13,1.18,15,1.36,94,8.55,6,0.55,-,-,18,1.64,10,0.91,3,0.27,-,-,-,-,1,0.33,1,0.13,-,-,4,0.5,-,-,1,0.13,28,1.4
Okayama,87,1.74,17,0.61,4,0.14,45,1.61,362,12.93,8,0.29,-,-,4,0.14,11,0.39,-,-,3,0.11,-,-,2,0.17,-,-,-,-,3,0.6,-,-,3,0.6,114,2.28
Hiroshima,118,1.26,34,0.59,20,0.34,150,2.59,642,11.07,3,0.05,4,0.07,20,0.34,14,0.24,2,0.03,-,-,-,-,26,1.37,-,-,-,-,8,0.4,-,-,11,0.55,129,1.37
Yamaguchi,90,1.43,66,1.65,5,0.13,98,2.45,538,13.45,2,0.05,1,0.03,22,0.55,11,0.28,1,0.03,1,0.03,-,-,3,0.33,-,-,1,0.11,3,0.33,-,-,-,-,89,1.41
Tokushima,6,0.18,24,1.14,5,0.24,23,1.1,173,8.24,1,0.05,-,-,1,0.05,5,0.24,-,-,-,-,1,0.25,4,1,-,-,-,-,-,-,-,-,3,0.43,107,3.15
Kagawa,72,1.8,13,0.5,9,0.35,52,2,349,13.42,2,0.08,1,0.04,4,0.15,13,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.2,68,1.7
Ehime,66,1.74,27,1.29,17,0.81,108,5.14,382,18.19,1,0.05,-,-,10,0.48,7,0.33,-,-,3,0.14,-,-,34,4.25,-,-,-,-,2,0.33,-,-,2,0.33,99,2.61
Kochi,60,1.58,18,0.9,4,0.2,48,2.4,112,5.6,5,0.25,1,0.05,16,0.8,4,0.2,-,-,-,-,-,-,2,0.67,-,-,-,-,4,0.5,-,-,1,0.13,59,1.55
Fukuoka,145,1.19,113,1.61,30,0.43,259,3.7,739,10.56,79,1.13,2,0.03,63,0.9,26,0.37,2,0.03,5,0.07,-,-,14,0.54,1,0.07,1,0.07,2,0.13,-,-,7,0.47,136,1.11
Saga,68,2.83,8,0.67,6,0.5,28,2.33,132,11,4,0.33,1,0.08,3,0.25,6,0.5,1,0.08,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-,6,1,25,1.04
Nagasaki,53,1.04,43,1.39,14,0.45,131,4.23,281,9.06,12,0.39,-,-,11,0.35,4,0.13,4,0.13,1,0.03,4,0.5,14,1.75,-,-,-,-,2,0.17,-,-,6,0.5,49,0.96
Kumamoto,42,0.58,36,0.73,7,0.14,113,2.31,461,9.41,14,0.29,4,0.08,13,0.27,16,0.33,5,0.1,1,0.02,-,-,18,2,-,-,-,-,10,0.67,-,-,3,0.2,176,2.41
Oita,32,0.55,47,1.31,18,0.5,135,3.75,600,16.67,16,0.44,2,0.06,17,0.47,16,0.44,1,0.03,3,0.08,-,-,9,1.8,-,-,-,-,3,0.27,-,-,3,0.27,92,1.59
Miyazaki,27,0.96,28,1.87,15,1,33,2.2,258,17.2,4,0.27,2,0.13,10,0.67,8,0.53,-,-,2,0.13,-,-,6,1,-,-,-,-,1,0.14,-,-,5,0.71,40,1.43
Kagoshima,24,0.42,44,1.42,30,0.97,82,2.65,345,11.13,7,0.23,3,0.1,8,0.26,16,0.52,1,0.03,1,0.03,-,-,11,1.57,1,0.08,-,-,6,0.5,-,-,-,-,77,1.35
Okinawa,104,2.31,34,1.36,10,0.4,45,1.8,70,2.8,30,1.2,11,0.44,7,0.28,2,0.08,2,0.08,1,0.04,-,-,43,4.78,-,-,-,-,1,0.14,-,-,2,0.29,49,1.09
