報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2026年07週(02月09日～02月15日),2026年02月18日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
滋賀県,7027,127.76,526,12.23,512,8.83,484,8.34,685,11.81,1260,21.72,1740,30,1820,31.38
京都府,10346,156.76,577,9.31,730,10.9,768,11.46,1040,15.52,1782,26.6,2691,40.16,2758,41.16
大阪府,33936,117.02,1869,6.44,2345,8.09,2371,8.18,3251,11.21,5972,20.59,9004,31.05,9124,31.46
兵庫県,29746,185.91,1028,7.5,2032,12.39,2312,14.1,3499,21.34,6030,36.77,8092,49.34,6753,41.18
奈良県,6713,176.66,58,3.41,411,10.02,420,10.24,599,14.26,1227,29.21,2026,48.24,1972,48.1
和歌山県,7134,162.14,326,7.58,556,12.36,636,14.13,974,21.64,1560,34.67,1639,36.42,1443,32.07
鳥取県,2367,81.62,386,13.31,328,11.31,258,8.9,211,7.28,274,9.45,442,15.24,468,16.14
島根県,3134,156.7,361,18.05,270,13.5,276,13.8,322,16.1,561,28.05,740,37,604,30.2
岡山県,6011,120.22,539,10.78,615,12.3,557,11.14,553,11.06,876,17.52,1376,27.52,1495,29.9
広島県,9845,110.62,855,12.21,889,9.56,795,8.55,841,9.04,1479,15.9,2344,25.2,2642,28.41
山口県,10353,164.33,451,7.16,648,10.29,813,12.9,1040,16.51,1651,26.21,2759,43.79,2991,47.48
徳島県,4135,125.3,314,9.52,426,12.91,370,11.21,374,11.33,632,19.15,924,28,1095,33.18
香川県,1995,86.74,361,15.7,183,7.96,189,8.22,164,7.13,198,8.61,342,14.87,558,24.26
愛媛県,8440,241.14,443,17.04,661,17.86,719,19.43,817,22.08,1308,35.35,2280,61.62,2212,59.78
高知県,6189,162.87,646,17,771,20.29,694,18.26,854,22.47,1035,27.24,1194,31.42,995,26.18
福岡県,24607,201.7,2475,20.29,2057,16.72,2251,18.45,2291,18.78,3726,30.54,5765,47.25,6042,49.52
佐賀県,4219,183.43,235,10.68,374,15.58,458,19.08,484,20.17,753,31.38,942,39.25,973,40.54
長崎県,11015,220.3,869,17.73,846,16.59,945,18.53,1168,22.9,1738,34.08,2784,54.59,2665,52.25
熊本県,14434,203.3,1001,14.3,1047,14.54,1191,16.54,1292,17.94,2292,31.83,3759,52.21,3852,53.5
大分県,15616,269.24,998,17.21,877,15.12,1243,21.43,1676,28.9,3044,52.48,4041,69.67,3737,64.43
宮崎県,7646,283.19,929,38.71,877,31.32,861,30.75,822,29.36,1122,40.07,1594,56.93,1441,51.46
鹿児島県,16896,296.42,1322,23.19,1340,23.51,1595,27.98,2006,35.19,2827,49.6,4265,74.82,3541,62.12
沖縄県,6219,138.2,1043,23.18,815,18.11,890,19.78,721,16.02,872,19.38,832,18.49,1046,23.24
,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,9998,4.43,674,0.34,1213,0.53,1430,0.62,1805,0.78,1773,0.77,1741,0.75,1362,0.59
北海道,877,8.95,73,0.89,117,1.16,130,1.27,162,1.59,173,1.7,131,1.28,91,0.9
青森県,92,2.79,14,0.44,5,0.15,22,0.65,18,0.53,13,0.38,14,0.41,6,0.18
岩手県,152,5.63,1,0.04,7,0.26,11,0.41,38,1.41,42,1.56,27,1,26,0.96
宮城県,135,4.35,6,0.19,12,0.39,17,0.55,27,0.87,28,0.9,26,0.84,19,0.61
秋田県,55,4.58,5,0.42,10,0.77,12,0.92,10,0.77,8,0.62,6,0.46,4,0.31
山形県,191,7.64,7,0.35,13,0.5,47,1.81,53,2.04,27,1.04,20,0.77,24,0.92
福島県,192,6.86,8,0.29,15,0.54,22,0.79,46,1.64,46,1.64,31,1.11,24,0.86
茨城県,111,3.17,15,0.52,13,0.35,14,0.38,22,0.59,16,0.43,17,0.46,14,0.38
栃木県,127,5.08,6,0.33,18,0.67,13,0.48,23,0.85,20,0.74,24,0.89,23,0.85
群馬県,150,6.52,14,0.93,11,0.44,23,0.92,27,1.08,30,1.2,30,1.2,15,0.6
埼玉県,319,3.07,19,0.28,40,0.36,48,0.43,54,0.49,71,0.64,50,0.45,37,0.34
千葉県,159,1.47,9,0.1,25,0.23,22,0.2,24,0.22,35,0.32,20,0.18,24,0.22
東京都,454,1.8,33,0.18,70,0.27,67,0.25,72,0.27,68,0.26,78,0.3,66,0.25
神奈川県,327,2.46,22,0.25,36,0.26,35,0.25,45,0.32,52,0.37,82,0.58,55,0.39
新潟県,76,2.53,6,0.2,7,0.23,9,0.3,18,0.6,13,0.43,11,0.37,12,0.4
富山県,56,2,5,0.21,5,0.17,15,0.52,12,0.41,8,0.28,5,0.17,6,0.21
石川県,127,4.54,8,0.29,18,0.64,22,0.79,31,1.11,14,0.5,23,0.82,11,0.39
福井県,115,4.6,8,0.32,18,0.72,17,0.68,28,1.12,16,0.64,20,0.8,8,0.32
山梨県,88,4.19,4,0.19,8,0.38,4,0.19,13,0.62,11,0.52,19,0.9,29,1.38
長野県,159,5.89,15,0.65,29,1.04,30,1.07,23,0.82,19,0.68,28,1,15,0.54
岐阜県,95,3.65,28,1.08,6,0.22,11,0.41,13,0.48,11,0.41,14,0.52,12,0.44
静岡県,179,2.01,8,0.09,24,0.27,24,0.27,29,0.33,20,0.22,34,0.38,40,0.45
愛知県,408,4.04,26,0.26,58,0.57,68,0.67,59,0.58,64,0.63,63,0.62,70,0.69
三重県,240,6,13,0.46,34,0.79,43,1,46,1.07,40,0.93,38,0.9,26,0.6
滋賀県,182,5.52,16,0.67,21,0.6,18,0.51,30,0.86,33,0.94,33,0.94,31,0.89
京都府,178,4.56,9,0.25,21,0.53,13,0.33,38,0.95,40,1,40,1,17,0.43
大阪府,1364,7.37,114,0.62,203,1.1,171,0.92,215,1.16,237,1.28,232,1.25,192,1.04
兵庫県,630,6.18,37,0.44,84,0.8,91,0.87,93,0.89,126,1.2,111,1.06,88,0.84
奈良県,188,8.95,4,0.44,26,1.13,29,1.26,26,1.08,37,1.54,42,1.75,24,1
和歌山県,208,8,14,0.54,36,1.33,36,1.33,31,1.15,32,1.19,34,1.26,25,0.93
鳥取県,99,5.21,1,0.05,8,0.42,10,0.53,15,0.79,24,1.26,24,1.26,17,0.89
島根県,101,9.18,6,0.55,6,0.55,19,1.73,37,3.36,23,2.09,5,0.45,5,0.45
岡山県,172,6.14,4,0.14,22,0.79,29,1.04,42,1.5,27,0.96,34,1.21,14,0.5
広島県,207,3.91,13,0.33,21,0.38,25,0.45,28,0.5,42,0.75,44,0.79,34,0.61
山口県,317,7.93,12,0.3,31,0.78,31,0.78,58,1.45,60,1.5,76,1.9,49,1.23
徳島県,92,4.38,6,0.29,9,0.43,19,0.9,18,0.86,16,0.76,11,0.52,13,0.62
香川県,83,6.38,12,0.92,13,1,14,1.08,14,1.08,8,0.62,17,1.31,5,0.38
愛媛県,113,5.95,4,0.31,16,0.8,13,0.65,20,1,24,1.2,21,1.05,15,0.75
高知県,64,3.2,3,0.15,3,0.15,8,0.4,10,0.5,12,0.6,11,0.55,17,0.85
福岡県,323,4.61,15,0.21,31,0.44,37,0.53,74,1.06,64,0.91,54,0.77,48,0.69
佐賀県,43,3.91,1,0.1,2,0.17,9,0.75,6,0.5,9,0.75,12,1,4,0.33
長崎県,75,2.5,3,0.1,1,0.03,20,0.65,14,0.45,10,0.32,18,0.58,9,0.29
熊本県,290,6.04,10,0.21,20,0.42,45,0.94,74,1.54,56,1.17,52,1.08,33,0.69
大分県,122,3.39,10,0.28,10,0.28,17,0.47,13,0.36,22,0.61,23,0.64,27,0.75
宮崎県,39,2.79,3,0.25,2,0.13,2,0.13,13,0.87,3,0.2,9,0.6,7,0.47
鹿児島県,198,6.39,23,0.74,20,0.65,45,1.45,41,1.32,21,0.68,20,0.65,28,0.9
沖縄県,26,1.04,1,0.04,8,0.32,3,0.12,2,0.08,2,0.08,7,0.28,3,0.12
,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4135,1.83,255,0.13,651,0.28,504,0.22,740,0.32,669,0.29,711,0.31,605,0.26
北海道,185,1.89,19,0.23,27,0.27,22,0.22,30,0.29,25,0.25,24,0.24,38,0.38
青森県,40,1.21,3,0.09,4,0.12,2,0.06,10,0.29,5,0.15,6,0.18,10,0.29
岩手県,22,0.81,1,0.04,6,0.22,2,0.07,4,0.15,1,0.04,3,0.11,5,0.19
宮城県,30,0.97,1,0.03,2,0.06,8,0.26,11,0.35,3,0.1,2,0.06,3,0.1
秋田県,13,1.08,1,0.08,3,0.23,1,0.08,4,0.31,1,0.08,1,0.08,2,0.15
山形県,87,3.48,11,0.55,18,0.69,16,0.62,19,0.73,4,0.15,11,0.42,8,0.31
福島県,42,1.5,4,0.14,5,0.18,7,0.25,5,0.18,4,0.14,6,0.21,11,0.39
茨城県,63,1.8,8,0.28,13,0.35,11,0.3,22,0.59,6,0.16,1,0.03,2,0.05
栃木県,30,1.2,5,0.28,6,0.22,2,0.07,10,0.37,4,0.15,1,0.04,2,0.07
群馬県,52,2.26,7,0.47,13,0.52,7,0.28,9,0.36,6,0.24,6,0.24,4,0.16
埼玉県,128,1.23,7,0.1,37,0.33,13,0.12,26,0.23,17,0.15,15,0.14,13,0.12
千葉県,52,0.48,3,0.03,10,0.09,9,0.08,11,0.1,10,0.09,4,0.04,5,0.05
東京都,278,1.1,13,0.07,35,0.13,26,0.1,41,0.16,55,0.21,50,0.19,58,0.22
神奈川県,91,0.68,5,0.06,8,0.06,11,0.08,20,0.14,14,0.1,19,0.13,14,0.1
新潟県,26,0.87,3,0.1,7,0.23,2,0.07,3,0.1,3,0.1,1,0.03,7,0.23
富山県,74,2.64,4,0.17,15,0.52,8,0.28,13,0.45,13,0.45,11,0.38,10,0.34
石川県,62,2.21,7,0.25,7,0.25,8,0.29,9,0.32,13,0.46,13,0.46,5,0.18
福井県,69,2.76,5,0.2,7,0.28,7,0.28,12,0.48,6,0.24,20,0.8,12,0.48
山梨県,8,0.38,4,0.19,1,0.05,0,0,0,0,1,0.05,1,0.05,1,0.05
長野県,21,0.78,0,0,3,0.11,3,0.11,4,0.14,4,0.14,2,0.07,5,0.18
岐阜県,22,0.85,2,0.08,3,0.11,2,0.07,5,0.19,3,0.11,6,0.22,1,0.04
静岡県,86,0.97,6,0.07,15,0.17,8,0.09,15,0.17,12,0.13,16,0.18,14,0.16
愛知県,81,0.8,8,0.08,20,0.2,11,0.11,12,0.12,6,0.06,12,0.12,12,0.12
三重県,63,1.58,1,0.04,10,0.23,14,0.33,10,0.23,11,0.26,10,0.24,7,0.16
滋賀県,26,0.79,3,0.13,6,0.17,0,0,5,0.14,8,0.23,2,0.06,2,0.06
京都府,205,5.26,6,0.17,16,0.4,18,0.45,38,0.95,50,1.25,46,1.15,31,0.78
大阪府,365,1.97,13,0.07,59,0.32,53,0.29,59,0.32,66,0.36,75,0.41,40,0.22
兵庫県,242,2.37,13,0.15,30,0.29,29,0.28,44,0.42,47,0.45,44,0.42,35,0.33
奈良県,57,2.71,1,0.11,7,0.3,5,0.22,6,0.25,22,0.92,6,0.25,10,0.42
和歌山県,43,1.65,3,0.12,9,0.33,9,0.33,8,0.3,6,0.22,5,0.19,3,0.11
鳥取県,32,1.68,6,0.32,5,0.26,4,0.21,4,0.21,5,0.26,5,0.26,3,0.16
島根県,80,7.27,4,0.36,12,1.09,13,1.18,15,1.36,10,0.91,17,1.55,9,0.82
岡山県,22,0.79,1,0.04,2,0.07,4,0.14,3,0.11,3,0.11,4,0.14,5,0.18
広島県,121,2.28,2,0.05,25,0.45,15,0.27,24,0.43,20,0.36,23,0.41,12,0.21
山口県,53,1.33,2,0.05,14,0.35,8,0.2,4,0.1,6,0.15,11,0.28,8,0.2
徳島県,20,0.95,0,0,6,0.29,4,0.19,2,0.1,3,0.14,4,0.19,1,0.05
香川県,14,1.08,3,0.23,2,0.15,1,0.08,6,0.46,1,0.08,1,0.08,0,0
愛媛県,52,2.74,3,0.23,9,0.45,10,0.5,7,0.35,5,0.25,10,0.5,8,0.4
高知県,12,0.6,0,0,3,0.15,2,0.1,0,0,2,0.1,3,0.15,2,0.1
福岡県,295,4.21,7,0.1,51,0.72,39,0.56,52,0.74,48,0.69,54,0.77,44,0.63
佐賀県,42,3.82,1,0.1,8,0.67,2,0.17,12,1,3,0.25,8,0.67,8,0.67
長崎県,167,5.57,8,0.27,18,0.58,19,0.61,48,1.55,32,1.03,25,0.81,17,0.55
熊本県,90,1.88,9,0.19,15,0.31,13,0.27,11,0.23,8,0.17,20,0.42,14,0.29
大分県,144,4,14,0.39,17,0.47,13,0.36,24,0.67,28,0.78,20,0.56,28,0.78
宮崎県,184,13.14,17,1.42,19,1.27,23,1.53,27,1.8,26,1.73,35,2.33,37,2.47
鹿児島県,188,6.06,9,0.29,26,0.84,16,0.52,28,0.9,36,1.16,42,1.35,31,1
沖縄県,56,2.24,2,0.08,17,0.68,4,0.16,8,0.32,7,0.28,10,0.4,8,0.32
,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,37381,16.56,1604,0.82,4686,2.03,5116,2.22,6623,2.87,6511,2.82,6698,2.9,6143,2.66
北海道,3220,32.86,151,1.84,358,3.54,352,3.45,525,5.15,577,5.66,644,6.31,613,6.07
青森県,359,10.88,25,0.78,38,1.12,32,0.94,59,1.74,55,1.62,55,1.62,95,2.79
岩手県,576,21.33,24,0.89,57,2.11,62,2.3,103,3.81,115,4.26,92,3.41,123,4.56
宮城県,557,17.97,18,0.58,64,2.06,69,2.23,112,3.61,114,3.68,111,3.58,69,2.23
秋田県,150,12.5,9,0.75,18,1.38,20,1.54,31,2.38,13,1,21,1.62,38,2.92
山形県,789,31.56,25,1.25,91,3.5,105,4.04,135,5.19,125,4.81,157,6.04,151,5.81
福島県,364,13,34,1.21,54,1.93,46,1.64,60,2.14,60,2.14,60,2.14,50,1.79
茨城県,1075,30.71,57,1.97,217,5.86,147,3.97,173,4.68,169,4.57,151,4.08,161,4.35
栃木県,486,19.44,17,0.94,67,2.48,64,2.37,107,3.96,108,4,58,2.15,65,2.41
群馬県,321,13.96,13,0.87,38,1.52,48,1.92,58,2.32,53,2.12,67,2.68,44,1.76
埼玉県,2171,20.88,113,1.66,238,2.14,306,2.76,405,3.65,360,3.24,373,3.36,376,3.42
千葉県,2404,22.26,69,0.73,306,2.78,360,3.24,404,3.64,453,4.08,503,4.53,309,2.81
東京都,3067,12.17,140,0.76,423,1.6,440,1.67,567,2.16,530,2.02,519,1.97,448,1.7
神奈川県,2081,15.65,59,0.67,262,1.86,296,2.11,404,2.87,400,2.82,361,2.56,299,2.11
新潟県,867,28.9,32,1.07,88,2.93,120,4,159,5.3,160,5.33,176,5.87,132,4.4
富山県,822,29.36,23,0.96,83,2.86,80,2.76,125,4.31,147,5.07,175,6.03,189,6.52
石川県,460,16.43,23,0.82,46,1.64,63,2.25,76,2.71,71,2.54,81,2.89,100,3.57
福井県,474,18.96,27,1.08,57,2.28,61,2.44,82,3.28,78,3.12,82,3.28,87,3.48
山梨県,71,3.38,0,0,10,0.48,14,0.67,18,0.86,14,0.67,9,0.43,6,0.29
長野県,439,16.26,25,1.09,48,1.71,62,2.21,80,2.86,55,1.96,72,2.57,97,3.46
岐阜県,195,7.5,14,0.54,16,0.59,35,1.3,43,1.59,36,1.33,25,0.93,26,0.96
静岡県,762,8.56,32,0.36,117,1.31,124,1.39,140,1.57,147,1.65,97,1.09,105,1.18
愛知県,823,8.15,25,0.25,119,1.18,123,1.22,153,1.51,147,1.46,133,1.32,123,1.22
三重県,372,9.3,19,0.68,52,1.21,53,1.23,86,2,64,1.49,56,1.33,42,0.98
滋賀県,430,13.03,15,0.63,61,1.74,54,1.54,83,2.37,74,2.11,67,1.91,76,2.17
京都府,939,24.08,18,0.5,105,2.63,119,2.98,171,4.28,144,3.6,235,5.88,147,3.68
大阪府,1959,10.59,69,0.37,258,1.39,263,1.42,347,1.88,327,1.77,361,1.95,334,1.81
兵庫県,1465,14.36,44,0.52,200,1.9,228,2.17,250,2.38,274,2.61,248,2.36,221,2.1
奈良県,252,12,3,0.33,29,1.26,41,1.78,48,2,42,1.75,42,1.75,47,1.96
和歌山県,176,6.77,2,0.08,31,1.15,34,1.26,31,1.15,24,0.89,28,1.04,26,0.96
鳥取県,491,25.84,15,0.79,53,2.79,56,2.95,77,4.05,84,4.42,125,6.58,81,4.26
島根県,200,18.18,10,0.91,44,4,35,3.18,28,2.55,30,2.73,30,2.73,23,2.09
岡山県,263,9.39,13,0.46,37,1.32,42,1.5,33,1.18,52,1.86,38,1.36,48,1.71
広島県,750,14.15,25,0.64,93,1.66,120,2.14,139,2.48,117,2.09,136,2.43,120,2.14
山口県,940,23.5,54,1.35,155,3.88,122,3.05,156,3.9,152,3.8,149,3.73,152,3.8
徳島県,128,6.1,5,0.24,11,0.52,18,0.86,16,0.76,27,1.29,29,1.38,22,1.05
香川県,97,7.46,14,1.08,8,0.62,36,2.77,10,0.77,15,1.15,11,0.85,3,0.23
愛媛県,825,43.42,10,0.77,82,4.1,112,5.6,143,7.15,140,7,173,8.65,165,8.25
高知県,236,11.8,12,0.6,20,1,28,1.4,36,1.8,36,1.8,55,2.75,49,2.45
福岡県,2325,33.21,129,1.84,266,3.75,285,4.07,414,5.91,408,5.83,419,5.99,404,5.77
佐賀県,262,23.82,11,1.1,31,2.58,38,3.17,41,3.42,44,3.67,38,3.17,59,4.92
長崎県,494,16.47,17,0.57,61,1.97,46,1.48,67,2.16,107,3.45,104,3.35,92,2.97
熊本県,562,11.71,34,0.71,79,1.65,86,1.79,98,2.04,99,2.06,72,1.5,94,1.96
大分県,607,16.86,44,1.22,68,1.89,100,2.78,139,3.86,92,2.56,93,2.58,71,1.97
宮崎県,269,19.21,14,1.17,29,1.93,39,2.6,38,2.53,50,3.33,53,3.53,46,3.07
鹿児島県,532,17.16,39,1.26,66,2.13,93,3,118,3.81,74,2.39,75,2.42,67,2.16
沖縄県,274,10.96,33,1.32,32,1.28,39,1.56,35,1.4,48,1.92,39,1.56,48,1.92
,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,114253,50.62,3718,1.9,13303,5.76,15413,6.68,19754,8.56,21759,9.42,21887,9.48,18419,7.98
北海道,3132,31.96,123,1.5,367,3.63,395,3.87,548,5.37,569,5.58,626,6.14,504,4.99
青森県,817,24.76,33,1.03,109,3.21,128,3.76,172,5.06,175,5.15,107,3.15,93,2.74
岩手県,1335,49.44,56,2.07,177,6.56,186,6.89,248,9.19,223,8.26,231,8.56,214,7.93
宮城県,1203,38.81,42,1.35,171,5.52,142,4.58,165,5.32,217,7,209,6.74,257,8.29
秋田県,461,38.42,13,1.08,51,3.92,47,3.62,86,6.62,110,8.46,74,5.69,80,6.15
山形県,1152,46.08,14,0.7,98,3.77,117,4.5,216,8.31,272,10.46,230,8.85,205,7.88
福島県,1168,41.71,68,2.43,148,5.29,147,5.25,183,6.54,187,6.68,210,7.5,225,8.04
茨城県,2329,66.54,147,5.07,267,7.22,339,9.16,395,10.68,447,12.08,424,11.46,310,8.38
栃木県,1199,47.96,35,1.94,156,5.78,171,6.33,230,8.52,217,8.04,203,7.52,187,6.93
群馬県,2357,102.48,69,4.6,306,12.24,349,13.96,424,16.96,428,17.12,435,17.4,346,13.84
埼玉県,7234,69.56,183,2.69,804,7.24,1009,9.09,1279,11.52,1460,13.15,1409,12.69,1090,9.91
千葉県,5720,52.96,128,1.36,815,7.41,848,7.64,1035,9.32,1123,10.12,996,8.97,775,7.05
東京都,19497,77.37,556,3.01,2108,7.98,2578,9.8,3432,13.05,3922,14.91,3756,14.28,3145,11.96
神奈川県,9095,68.38,138,1.57,1089,7.72,1249,8.92,1617,11.47,1770,12.46,1745,12.38,1487,10.47
新潟県,518,17.27,19,0.63,73,2.43,74,2.47,81,2.7,93,3.1,102,3.4,76,2.53
富山県,1587,56.68,54,2.25,145,5,167,5.76,276,9.52,311,10.72,372,12.83,262,9.03
石川県,1903,67.96,60,2.14,223,7.96,283,10.11,320,11.43,346,12.36,368,13.14,303,10.82
福井県,1111,44.44,71,2.84,156,6.24,171,6.84,185,7.4,162,6.48,217,8.68,149,5.96
山梨県,687,32.71,9,0.43,89,4.24,120,5.71,130,6.19,130,6.19,116,5.52,93,4.43
長野県,1646,60.96,95,4.13,187,6.68,202,7.21,282,10.07,326,11.64,328,11.71,226,8.07
岐阜県,1962,75.46,61,2.35,231,8.56,249,9.22,384,14.22,348,12.89,345,12.78,344,12.74
静岡県,2967,33.34,134,1.51,399,4.48,414,4.65,477,5.36,536,6.02,510,5.73,497,5.58
愛知県,4216,41.74,67,0.66,521,5.16,580,5.74,657,6.5,788,7.8,821,8.13,782,7.74
三重県,1768,44.2,78,2.79,277,6.44,253,5.88,304,7.07,307,7.14,256,6.1,293,6.81
滋賀県,1334,40.42,33,1.38,155,4.43,188,5.37,211,6.03,253,7.23,285,8.14,209,5.97
京都府,1853,47.51,42,1.17,197,4.93,296,7.4,340,8.5,354,8.85,362,9.05,262,6.55
大阪府,6888,37.23,202,1.09,832,4.5,943,5.1,1161,6.28,1258,6.8,1406,7.6,1086,5.87
兵庫県,4138,40.57,75,0.89,434,4.13,550,5.24,716,6.82,790,7.52,887,8.45,686,6.53
奈良県,976,46.48,7,0.78,93,4.04,130,5.65,185,7.71,202,8.42,213,8.88,146,6.08
和歌山県,899,34.58,33,1.27,88,3.26,116,4.3,150,5.56,157,5.81,190,7.04,165,6.11
鳥取県,614,32.32,30,1.58,65,3.42,78,4.11,89,4.68,101,5.32,129,6.79,122,6.42
島根県,598,54.36,17,1.55,34,3.09,54,4.91,104,9.45,105,9.55,152,13.82,132,12
岡山県,1288,46,46,1.64,154,5.5,161,5.75,197,7.04,257,9.18,259,9.25,214,7.64
広島県,2371,44.74,44,1.13,265,4.73,280,5,369,6.59,461,8.23,495,8.84,457,8.16
山口県,1586,39.65,48,1.2,171,4.28,190,4.75,252,6.3,317,7.93,306,7.65,302,7.55
徳島県,593,28.24,27,1.29,53,2.52,89,4.24,100,4.76,120,5.71,106,5.05,98,4.67
香川県,531,40.85,35,2.69,47,3.62,65,5,100,7.69,94,7.23,107,8.23,83,6.38
愛媛県,961,50.58,42,3.23,125,6.25,149,7.45,190,9.5,162,8.1,164,8.2,129,6.45
高知県,424,21.2,24,1.2,49,2.45,66,3.3,54,2.7,63,3.15,90,4.5,78,3.9
福岡県,4283,61.19,302,4.31,510,7.18,528,7.54,692,9.89,784,11.2,802,11.46,665,9.5
佐賀県,518,47.09,17,1.7,55,4.58,64,5.33,116,9.67,109,9.08,82,6.83,75,6.25
長崎県,1157,38.57,32,1.07,105,3.39,147,4.74,236,7.61,251,8.1,232,7.48,154,4.97
熊本県,2102,43.79,75,1.56,195,4.06,301,6.27,357,7.44,398,8.29,393,8.19,383,7.98
大分県,2916,81,133,3.69,281,7.81,384,10.67,467,12.97,521,14.47,597,16.58,533,14.81
宮崎県,1017,72.64,38,3.17,160,10.67,141,9.4,164,10.93,179,11.93,185,12.33,150,10
鹿児島県,1405,45.32,63,2.03,178,5.74,178,5.74,251,8.1,257,8.29,251,8.1,227,7.32
沖縄県,737,29.48,100,4,90,3.6,97,3.88,127,5.08,99,3.96,104,4.16,120,4.8
,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
