"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2023",,,,,,"Data collected as of February 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Fukui,1666,45.03,6,0.26,11,0.48,9,0.39,138,6,3,0.13,7,0.3,1,0.04,5,0.22,-,-,1,0.04,-,-,-,-,1,0.17,1,0.17,-,-,-,-,-,-
Yamanashi,112,2.73,1,0.04,-,-,1,0.04,207,8.63,1,0.04,-,-,-,-,4,0.17,1,0.04,-,-,-,-,2,0.22,-,-,-,-,-,-,-,-,2,0.2
Nagano,820,9.43,5,0.09,4,0.08,4,0.08,510,9.62,1,0.02,1,0.02,-,-,8,0.15,-,-,1,0.02,-,-,3,0.3,-,-,-,-,-,-,-,-,-,-
Gifu,388,4.46,6,0.11,7,0.13,2,0.04,235,4.43,1,0.02,-,-,-,-,6,0.11,1,0.02,-,-,-,-,1,0.09,-,-,-,-,-,-,-,-,-,-
Shizuoka,589,4.24,26,0.29,14,0.16,12,0.13,739,8.3,3,0.03,2,0.02,1,0.01,21,0.24,2,0.02,2,0.02,-,-,1,0.05,-,-,-,-,-,-,-,-,-,-
Aichi,1815,9.31,28,0.15,17,0.09,82,0.45,1081,5.94,13,0.07,1,0.01,1,0.01,26,0.14,-,-,5,0.03,-,-,2,0.06,2,0.13,-,-,-,-,-,-,-,-
Mie,477,6.63,1,0.02,5,0.11,9,0.2,241,5.36,1,0.02,-,-,-,-,11,0.24,-,-,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Shiga,884,14.73,1,0.03,3,0.08,-,-,238,6.61,3,0.08,-,-,-,-,3,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyoto,3235,26.3,12,0.16,4,0.05,31,0.42,424,5.73,3,0.04,7,0.09,5,0.07,9,0.12,5,0.07,-,-,-,-,1,0.06,-,-,-,-,-,-,-,-,-,-
Osaka,8381,28.12,29,0.15,23,0.12,89,0.46,1262,6.51,10,0.05,17,0.09,1,0.01,37,0.19,1,0.01,8,0.04,2,0.04,10,0.19,-,-,1,0.06,-,-,-,-,-,-
Hyogo,3110,15.63,22,0.17,9,0.07,37,0.29,1185,9.19,10,0.08,18,0.14,-,-,23,0.18,5,0.04,1,0.01,-,-,6,0.17,1,0.07,-,-,-,-,-,-,-,-
Nara,1111,20.2,11,0.32,4,0.12,5,0.15,189,5.56,2,0.06,12,0.35,1,0.03,7,0.21,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-
Wakayama,536,10.51,4,0.13,2,0.07,9,0.3,170,5.67,-,-,2,0.07,-,-,6,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tottori,93,3.21,1,0.05,-,-,25,1.32,156,8.21,1,0.05,-,-,-,-,9,0.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,313,8.24,2,0.09,3,0.13,7,0.3,200,8.7,2,0.09,5,0.22,-,-,7,0.3,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-
Okayama,670,7.98,12,0.22,12,0.22,10,0.19,385,7.13,1,0.02,5,0.09,-,-,14,0.26,3,0.06,3,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hiroshima,1061,9.23,11,0.15,12,0.17,40,0.56,595,8.26,4,0.06,1,0.01,-,-,17,0.24,1,0.01,-,-,1,0.05,3,0.16,-,-,-,-,-,-,-,-,-,-
Yamaguchi,310,4.7,19,0.42,7,0.16,22,0.49,533,11.84,-,-,4,0.09,-,-,10,0.22,4,0.09,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tokushima,203,5.49,9,0.39,4,0.17,1,0.04,183,7.96,3,0.13,3,0.13,-,-,5,0.22,-,-,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,804,17.11,14,0.5,4,0.14,1,0.04,317,11.32,-,-,-,-,-,-,6,0.21,-,-,1,0.04,-,-,-,-,-,-,1,0.2,-,-,-,-,-,-
Ehime,368,6.03,21,0.57,3,0.08,22,0.59,387,10.46,1,0.03,-,-,-,-,17,0.46,1,0.03,1,0.03,-,-,5,0.63,-,-,-,-,-,-,-,-,-,-
Kochi,483,10.73,12,0.44,-,-,7,0.26,219,8.11,1,0.04,5,0.19,-,-,5,0.19,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-
Fukuoka,4785,24.17,47,0.39,25,0.21,103,0.86,725,6.04,12,0.1,18,0.15,-,-,45,0.38,21,0.18,3,0.03,-,-,6,0.23,-,-,-,-,-,-,-,-,-,-
Saga,697,17.87,14,0.61,8,0.35,5,0.22,75,3.26,-,-,1,0.04,-,-,8,0.35,9,0.39,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-
Nagasaki,1250,17.86,41,0.93,3,0.07,75,1.7,235,5.34,3,0.07,17,0.39,-,-,10,0.23,7,0.16,1,0.02,-,-,1,0.13,-,-,-,-,1,0.08,-,-,-,-
Kumamoto,913,11.41,59,1.18,11,0.22,10,0.2,351,7.02,7,0.14,6,0.12,-,-,14,0.28,23,0.46,1,0.02,-,-,5,0.56,-,-,1,0.07,-,-,-,-,-,-
Oita,1215,20.95,1,0.03,7,0.19,8,0.22,519,14.42,3,0.08,-,-,-,-,23,0.64,13,0.36,5,0.14,-,-,2,0.4,-,-,1,0.09,-,-,-,-,-,-
Miyazaki,1349,23.26,5,0.14,14,0.39,10,0.28,500,13.89,4,0.11,2,0.06,-,-,11,0.31,3,0.08,4,0.11,-,-,1,0.17,-,-,-,-,-,-,-,-,-,-
Kagoshima,720,7.83,35,0.65,26,0.48,22,0.41,536,9.93,-,-,15,0.28,1,0.02,19,0.35,6,0.11,-,-,2,0.29,1,0.14,-,-,-,-,-,-,-,-,-,-
Okinawa,1664,30.25,9,0.28,7,0.22,26,0.81,54,1.69,1,0.03,54,1.69,2,0.06,7,0.22,-,-,-,-,2,0.22,4,0.44,-,-,1,0.14,-,-,-,-,-,-
