disease_id,local_name,local_code,category,aliases,notes,data_source
D115,腸道出血性大腸桿菌感染症,0080,Second category,Enterohaemorrhagic E. coli infection|EHEC|STEC|0080,TW NIDSS mapping,Taiwan
D163,漢他病毒出血熱,0786,Second category,Hantavirus hemorrhagic fever|0786,TW NIDSS mapping,Taiwan
D164,漢他病毒肺症候群,4808,Second category,Hantavirus pulmonary syndrome|4808,TW NIDSS mapping,Taiwan
D182,漢他病毒症候群,HANTA,Second category,Hantavirus syndrome|HANTA,TW NIDSS mapping,Taiwan
D065,Ｍ痘,MPXV,Second category,Mpox|Monkeypox|M痘|MPXV,TW NIDSS mapping,Taiwan
D166,多重抗藥性結核病,010m,Second category,MDR-TB|Multidrug-resistant tuberculosis|010m,TW NIDSS mapping,Taiwan
D052,屈公病,A920,Second category,Chikungunya|Chikungunya fever|A920,TW NIDSS mapping,Taiwan
D162,人類免疫缺乏病毒感染(含母子垂直感染及孕產婦疑似個案),044,Third category,HIV infection|Human immunodeficiency virus infection|044,TW NIDSS mapping,Taiwan
D005,後天免疫缺乏症候群,042,Third category,AIDS|Acquired immunodeficiency syndrome|042,TW NIDSS mapping,Taiwan
D025,結核病,010,Third category,Tuberculosis|TB|010,TW NIDSS mapping,Taiwan
D042,漢生病,030,Third category,Hansen's disease|Leprosy|030,TW NIDSS mapping,Taiwan
D028,百日咳,033,Third category,Pertussis|Whooping cough|033,TW NIDSS mapping,Taiwan
D120,破傷風,037,Third category,Tetanus|037,TW NIDSS mapping,Taiwan
D068,急性病毒性Ｂ型肝炎,0703,Third category,Acute Hepatitis B|Hepatitis B|0703,TW NIDSS mapping,Taiwan
D009,急性病毒性Ｃ型肝炎,0705,Third category,Acute Hepatitis C|Hepatitis C|0705,TW NIDSS mapping,Taiwan
D010,急性病毒性Ｄ型肝炎,070d,Third category,Acute Hepatitis D|Hepatitis D|070d,TW NIDSS mapping,Taiwan
D011,急性病毒性Ｅ型肝炎,070e,Third category,Acute Hepatitis E|Hepatitis E|070e,TW NIDSS mapping,Taiwan
D039,流行性腮腺炎,072,Third category,Mumps|072,TW NIDSS mapping,Taiwan
D034,梅毒,090,Third category,Syphilis|090,TW NIDSS mapping,Taiwan
D033,淋病,098,Third category,Gonorrhea|098,TW NIDSS mapping,Taiwan
D100,侵襲性ｂ型嗜血桿菌感染症,3200,Third category,Invasive Haemophilus influenzae Type b infection|Hib|3200,TW NIDSS mapping,Taiwan
D107,退伍軍人病,4828,Third category,Legionnaires' disease|Legionellosis|4828,TW NIDSS mapping,Taiwan
D168,先天性德國麻疹症候群,7710,Third category,Congenital rubella syndrome|7710,TW NIDSS mapping,Taiwan
D030,新生兒破傷風,7713,Third category,Neonatal tetanus|7713,TW NIDSS mapping,Taiwan
D180,腸病毒感染併發重症,0749,Third category,Enterovirus infection with severe complications|0749,TW NIDSS mapping,Taiwan
D020,日本腦炎,0620,Third category,Japanese encephalitis|0620,TW NIDSS mapping,Taiwan
D071,急性病毒性肝炎未定型,070x,Third category,Acute viral hepatitis unspecified|Unspecified viral hepatitis|070x,TW NIDSS mapping,Taiwan
D167,先天性梅毒,091,Third category,Congenital syphilis|091,TW NIDSS mapping,Taiwan
D091,肉毒桿菌中毒,0051,Fourth category,Botulism|0051,TW NIDSS mapping,Taiwan
D144,庫賈氏病,0461,Fourth category,Creutzfeldt-Jakob disease|CJD|0461,TW NIDSS mapping,Taiwan
D035,鉤端螺旋體病,100,Fourth category,Leptospirosis|100,TW NIDSS mapping,Taiwan
D109,萊姆病,1048,Fourth category,Lyme disease|1048,TW NIDSS mapping,Taiwan
D116,類鼻疽,025,Fourth category,Melioidosis|025,TW NIDSS mapping,Taiwan
D004,嚴重特殊傳染性肺炎(112/3/19以前病例定義版本),19CoV,Fourth category,COVID-19|Coronavirus disease 2019|19CoV,TW NIDSS mapping,Taiwan
D169,地方性斑疹傷寒,0820,Fourth category,Endemic typhus fever|0820,TW NIDSS mapping,Taiwan
D113,Ｑ熱,0830,Fourth category,Q fever|0830,TW NIDSS mapping,Taiwan
D057,發熱伴血小板減少綜合症,SFTS,Fourth category,Severe fever with thrombocytopenia syndrome|SFTS,TW NIDSS mapping,Taiwan
D058,恙蟲病,0812,Fourth category,Scrub typhus|0812,TW NIDSS mapping,Taiwan
D172,流感併發重症,487a,Fourth category,Severe complicated influenza|487a,TW NIDSS mapping,Taiwan
D004,嚴重特殊傳染性肺炎,19CVS,Fourth category,COVID-19|19CVS,TW NIDSS mapping,Taiwan
D181,新冠併發重症,19SC,Fourth category,Severe complicated COVID-19|19SC,TW NIDSS mapping,Taiwan
D170,水痘併發症,052VC,Fourth category,Complicated varicella|052VC,TW NIDSS mapping,Taiwan
D123,兔熱病,021,Fourth category,Tularemia|021,TW NIDSS mapping,Taiwan
D106,侵襲性肺炎鏈球菌感染症,0412,Fourth category,Invasive pneumococcal disease|0412,TW NIDSS mapping,Taiwan
D171,疱疹B病毒感染症,0543,Fourth category,Herpes B virus infection|0543,TW NIDSS mapping,Taiwan
D085,弓形蟲感染症,130,Fourth category,Toxoplasmosis|130|Toxoplasma gondii infection|弓形体病,TW NIDSS mapping,Taiwan
D032,布氏桿菌病,023,Fourth category,Brucellosis|023,TW NIDSS mapping,Taiwan
D108,李斯特菌症,027,Fourth category,Listeriosis|027,TW NIDSS mapping,Taiwan
D049,中東呼吸症候群冠狀病毒感染症,NoCoV,Fifth category,MERS|Middle East respiratory syndrome coronavirus infections|NoCoV,TW NIDSS mapping,Taiwan
D059,黃熱病,060,Fifth category,Yellow fever|060,TW NIDSS mapping,Taiwan
D050,伊波拉病毒感染,0788,Fifth category,Ebola virus disease|0788,TW NIDSS mapping,Taiwan
D053,拉薩熱,0788b,Fifth category,Lassa fever|0788b,TW NIDSS mapping,Taiwan
D174,馬堡病毒出血熱,0788a,Fifth category,Marburg virus disease|0788a,TW NIDSS mapping,Taiwan
D173,裂谷熱,0663a,Fifth category,Rift Valley fever|0663a,TW NIDSS mapping,Taiwan
D016,新型A型流感,NFluA,Fifth category,Novel influenza A virus infections|NFluA,TW NIDSS mapping,Taiwan
D175,立百病毒感染症,NiV,Fifth category,Nipah virus infection|NiV,TW NIDSS mapping,Taiwan
