"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2025",,,,,,"Data collected as of April 9, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
Tochigi,10033,135.58,560,12.17,176,3.83,1370,29.78,4008,87.13,112,2.43,71,1.54,1046,22.74,152,3.3,4,0.09,13,0.28,3,0.27,137,12.45,5,0.71,1,0.14,29,4.14,-,-,7,1,6726,90.89
Gunma,11217,136.79,666,13.06,201,3.94,711,13.94,6290,123.33,230,4.51,57,1.12,553,10.84,175,3.43,11,0.22,31,0.61,1,0.08,113,8.69,3,0.33,4,0.44,78,8.67,1,0.11,13,1.44,6329,77.18
Saitama,30322,123.76,1817,11.8,562,3.65,5260,34.16,18860,122.47,968,6.29,177,1.15,3700,24.03,417,2.71,25,0.16,122,0.79,144,3.6,303,7.58,3,0.25,7,0.58,125,10.42,3,0.25,42,3.5,19839,80.98
Chiba,25502,126.88,802,6.42,315,2.52,5097,40.78,15877,127.02,378,3.02,93,0.74,2852,22.82,276,2.21,16,0.13,95,0.76,10,0.29,395,11.62,7,0.78,2,0.22,36,4,-,-,5,0.56,16337,81.28
Tokyo,29083,70.76,1860,7.18,472,1.82,7694,29.71,33163,128.04,1391,5.37,196,0.76,4441,17.15,667,2.58,28,0.11,142,0.55,5,0.13,283,7.45,11,0.44,6,0.24,129,5.16,5,0.2,68,2.72,16157,39.31
Kanagawa,27934,80.5,1706,7.83,357,1.64,4386,20.12,22552,103.45,1193,5.47,159,0.73,3002,13.77,510,2.34,17,0.08,144,0.66,13,0.27,650,13.27,9,0.75,14,1.17,43,3.58,-,-,20,1.67,18391,53
Niigata,14158,164.63,598,10.87,284,5.16,2853,51.87,3375,61.36,418,7.6,81,1.47,668,12.15,145,2.64,5,0.09,37,0.67,23,2.3,68,6.8,2,0.15,2,0.15,123,9.46,-,-,3,0.23,6575,76.45
Toyama,5829,124.02,234,8.36,198,7.07,1727,61.68,3890,138.93,96,3.43,12,0.43,354,12.64,66,2.36,16,0.57,11,0.39,42,7,14,2.33,1,0.2,-,-,45,9,-,-,2,0.4,2921,62.15
Ishikawa,7457,155.35,297,10.24,111,3.83,994,34.28,3970,136.9,197,6.79,8,0.28,267,9.21,71,2.45,9,0.31,7,0.24,9,1.29,166,23.71,-,-,1,0.2,35,7,-,-,-,-,3212,66.92
Fukui,4960,127.18,578,23.12,151,6.04,610,24.4,3193,127.72,147,5.88,44,1.76,94,3.76,53,2.12,6,0.24,15,0.6,-,-,4,1.33,1,0.17,6,1,105,17.5,2,0.33,8,1.33,1906,48.87
Yamanashi,3939,96.07,131,5.46,51,2.13,170,7.08,2766,115.25,35,1.46,19,0.79,126,5.25,39,1.63,-,-,8,0.33,-,-,271,30.11,2,0.2,-,-,30,3,1,0.1,6,0.6,2937,71.63
Nagano,13810,160.58,577,11.1,129,2.48,1142,21.96,4068,78.23,145,2.79,97,1.87,684,13.15,108,2.08,16,0.31,12,0.23,-,-,375,41.67,3,0.25,3,0.25,90,7.5,-,-,5,0.42,8674,100.86
Gifu,12795,147.07,829,15.64,126,2.38,797,15.04,3409,64.32,52,0.98,16,0.3,90,1.7,140,2.64,2,0.04,15,0.28,1,0.09,7,0.64,2,0.4,7,1.4,67,13.4,-,-,14,2.8,7775,89.37
Shizuoka,20708,148.98,780,8.76,259,2.91,1161,13.04,7934,89.15,117,1.31,21,0.24,558,6.27,205,2.3,6,0.07,34,0.38,1,0.05,99,4.71,7,0.7,2,0.2,48,4.8,-,-,-,-,11535,82.99
Aichi,30343,156.41,1653,9.13,468,2.59,2430,13.43,13031,71.99,193,1.07,32,0.18,312,1.72,302,1.67,9,0.05,44,0.24,19,0.54,114,3.26,6,0.4,8,0.53,147,9.8,-,-,20,1.33,18011,92.84
Mie,7836,111.94,1006,22.86,155,3.52,1238,28.14,4240,96.36,107,2.43,23,0.52,166,3.77,114,2.59,5,0.11,12,0.27,3,0.27,13,1.18,4,0.44,-,-,68,7.56,-,-,1,0.11,4918,70.26
Shiga,6792,117.1,402,11.49,68,1.94,615,17.57,2430,69.43,119,3.4,10,0.29,151,4.31,65,1.86,1,0.03,19,0.54,1,0.11,5,0.56,-,-,1,0.14,19,2.71,-,-,1,0.14,3513,60.57
Kyoto,13215,107.44,691,9.34,521,7.04,1485,20.07,6075,82.09,140,1.89,48,0.65,605,8.18,129,1.74,3,0.04,23,0.31,1,0.06,69,4.06,-,-,-,-,61,8.71,2,0.29,-,-,6137,49.89
Osaka,26897,91.49,3666,19.5,602,3.2,2972,15.81,20496,109.02,471,2.51,188,1,538,2.86,456,2.43,28,0.15,79,0.42,28,0.56,156,3.12,4,0.24,11,0.65,89,5.24,6,0.35,99,5.82,12215,41.55
Hyogo,20159,103.38,2745,21.96,508,4.06,2091,16.73,14824,118.59,252,2.02,126,1.01,500,4,302,2.42,12,0.1,56,0.45,30,0.88,309,9.09,3,0.21,11,0.79,183,13.07,-,-,25,1.79,9528,48.86
Nara,5644,108.54,800,25,102,3.19,473,14.78,3611,112.84,65,2.03,53,1.66,104,3.25,89,2.78,2,0.06,5,0.16,-,-,40,4.44,5,0.83,2,0.33,36,6,-,-,13,2.17,3454,66.42
Wakayama,6248,132.94,556,19.86,72,2.57,386,13.79,2643,94.39,98,3.5,18,0.64,88,3.14,91,3.25,-,-,9,0.32,7,2.33,12,4,3,0.27,1,0.09,42,3.82,-,-,11,1,2862,60.89
Tottori,3515,121.21,116,6.11,74,3.89,896,47.16,1417,74.58,47,2.47,15,0.79,144,7.58,40,2.11,2,0.11,1,0.05,1,0.2,11,2.2,2,0.4,6,1.2,40,8,-,-,2,0.4,2268,78.21
Shimane,4368,114.95,189,8.22,103,4.48,468,20.35,2529,109.96,61,2.65,23,1,198,8.61,98,4.26,5,0.22,3,0.13,-,-,-,-,2,0.25,-,-,48,6,-,-,2,0.25,2560,67.37
Okayama,9729,115.82,439,8.13,152,2.81,735,13.61,5399,99.98,59,1.09,35,0.65,41,0.76,128,2.37,10,0.19,45,0.83,6,0.5,99,8.25,3,0.6,1,0.2,37,7.4,-,-,6,1.2,5378,64.02
Hiroshima,12096,106.11,1141,15.85,362,5.03,1969,27.35,9774,135.75,106,1.47,60,0.83,115,1.6,143,1.99,7,0.1,20,0.28,7,0.39,346,19.22,3,0.15,4,0.2,208,10.4,-,-,69,3.45,6995,61.36
Yamaguchi,8060,120.3,1620,37.67,103,2.4,1619,37.65,5520,128.37,54,1.26,30,0.7,123,2.86,148,3.44,4,0.09,9,0.21,-,-,96,10.67,1,0.11,3,0.33,54,6,-,-,25,2.78,3792,56.6
Tokushima,6045,163.38,387,16.83,63,2.74,226,9.83,1918,83.39,32,1.39,53,2.3,38,1.65,63,2.74,3,0.13,1,0.04,8,2.67,4,1.33,3,0.43,-,-,16,2.29,-,-,6,0.86,3265,88.24
Kagawa,6675,142.02,335,11.96,98,3.5,622,22.21,4447,158.82,37,1.32,20,0.71,24,0.86,84,3,5,0.18,13,0.46,6,1.2,19,3.8,3,0.75,2,0.5,24,6,-,-,3,0.75,3007,63.98
Ehime,8311,143.29,816,24,242,7.12,1587,46.68,6177,181.68,31,0.91,23,0.68,85,2.5,132,3.88,-,-,16,0.47,1,0.14,293,41.86,1,0.17,-,-,48,8,-,-,22,3.67,4504,77.66
Kochi,7638,177.63,232,9.67,51,2.13,728,30.33,1621,67.54,41,1.71,37,1.54,258,10.75,58,2.42,1,0.04,7,0.29,-,-,13,4.33,1,0.13,3,0.38,77,9.63,-,-,5,0.63,3589,83.47
Fukuoka,25199,127.91,2806,23.58,684,5.75,5462,45.9,16001,134.46,598,5.03,131,1.1,495,4.16,442,3.71,12,0.1,47,0.39,14,0.54,126,4.85,2,0.13,5,0.33,119,7.93,-,-,34,2.27,11844,60.12
Saga,6172,162.42,426,19.36,135,6.14,762,34.64,2789,126.77,64,2.91,37,1.68,116,5.27,119,5.41,8,0.36,5,0.23,-,-,8,2.67,2,0.33,5,0.83,43,7.17,-,-,16,2.67,3039,79.97
Nagasaki,10972,159.01,562,13.07,221,5.14,1701,39.56,4248,98.79,149,3.47,45,1.05,142,3.3,130,3.02,6,0.14,16,0.37,36,4.5,155,19.38,4,0.33,5,0.42,74,6.17,-,-,26,2.17,5310,76.96
Kumamoto,12229,154.8,854,17.43,136,2.78,1532,31.27,8148,166.29,156,3.18,95,1.94,163,3.33,281,5.73,18,0.37,14,0.29,3,0.33,123,13.67,2,0.13,4,0.27,62,4.13,-,-,15,1,5240,66.33
Oita,8049,138.78,685,19.03,209,5.81,1759,48.86,8255,229.31,137,3.81,68,1.89,91,2.53,210,5.83,10,0.28,23,0.64,-,-,63,12.6,2,0.18,2,0.18,28,2.55,-,-,19,1.73,4109,70.84
Miyazaki,9354,164.11,594,16.97,225,6.43,1163,33.23,5628,160.8,99,2.83,44,1.26,236,6.74,177,5.06,8,0.23,13,0.37,-,-,47,9.4,1,0.14,-,-,28,4,-,-,14,2,3184,55.86
Kagoshima,11548,131.23,1026,20.52,576,11.52,1731,34.62,7709,154.18,175,3.5,95,1.9,115,2.3,161,3.22,8,0.16,12,0.24,1,0.14,119,17,1,0.08,-,-,58,4.83,-,-,-,-,3698,42.02
Okinawa,11051,197.34,127,3.97,76,2.38,919,28.72,1384,43.25,317,9.91,57,1.78,187,5.84,88,2.75,4,0.13,22,0.69,6,0.67,669,74.33,3,0.43,7,1,16,2.29,-,-,4,0.57,1139,20.34
