"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2023",,,,,,"Data collected as of November 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Wakayama,9734,198.65,2129,70.97,965,32.17,1262,42.07,4737,157.9,87,2.9,239,7.97,8,0.27,302,10.07,2041,68.03,59,1.97,6,1.5,68,17,4,0.36,18,1.64,12,1.09,1,0.09,4,0.36,11565,236.02
Tottori,5700,196.55,919,48.37,252,13.26,2406,126.63,5174,272.32,52,2.74,836,44,8,0.42,195,10.26,994,52.32,14,0.74,1,0.2,34,6.8,5,1,8,1.6,-,-,-,-,5,1,8031,276.93
Shimane,6906,181.74,1435,62.39,451,19.61,476,20.7,5197,225.96,90,3.91,1752,76.17,4,0.17,378,16.43,583,25.35,28,1.22,1,0.33,20,6.67,9,1.13,10,1.25,2,0.25,-,-,1,0.13,7724,203.26
Okayama,18103,215.51,1822,33.74,1003,18.57,1334,24.7,11121,205.94,170,3.15,2500,46.3,25,0.46,557,10.31,2108,39.04,121,2.24,8,0.67,178,14.83,4,0.8,22,4.4,2,0.4,-,-,3,0.6,17923,213.37
Hiroshima,25916,229.35,3446,49.23,1682,24.03,4435,63.36,15182,216.89,234,3.34,2201,31.44,15,0.21,696,9.94,2557,36.53,112,1.6,13,0.72,476,26.44,8,0.38,18,0.86,13,0.62,-,-,5,0.24,24047,212.81
Yamaguchi,19555,296.29,3642,84.7,552,12.84,3443,80.07,9345,217.33,147,3.42,2041,47.47,23,0.53,680,15.81,2234,51.95,104,2.42,-,-,119,13.22,2,0.22,4,0.44,32,3.56,-,-,-,-,16086,243.73
Tokushima,7594,205.24,1585,68.91,605,26.3,318,13.83,4326,188.09,63,2.74,462,20.09,7,0.3,306,13.3,1097,47.7,22,0.96,2,0.5,17,4.25,5,0.71,11,1.57,-,-,-,-,-,-,9200,248.65
Kagawa,11287,240.15,1228,43.86,1015,36.25,456,16.29,8591,306.82,79,2.82,813,29.04,6,0.21,427,15.25,1585,56.61,69,2.46,1,0.2,38,7.6,1,0.2,4,0.8,2,0.4,-,-,-,-,10969,233.38
Ehime,23460,391,2646,73.5,1386,38.5,1890,52.5,11327,314.64,105,2.92,518,14.39,8,0.22,683,18.97,2400,66.67,87,2.42,1,0.13,416,52,-,-,3,0.5,6,1,-,-,3,0.5,15616,260.27
Kochi,10849,246.57,1275,49.04,505,19.42,959,36.88,3664,140.92,145,5.58,759,29.19,21,0.81,307,11.81,1151,44.27,20,0.77,-,-,14,4.67,5,0.63,7,0.88,23,2.88,-,-,7,0.88,11201,254.57
Fukuoka,78765,397.8,8899,74.16,10305,85.88,15022,125.18,28587,238.23,690,5.75,7721,64.34,51,0.43,2026,16.88,7807,65.06,275,2.29,8,0.31,665,25.58,17,1.13,20,1.33,4,0.27,-,-,3,0.2,49622,250.62
Saga,13945,357.56,1633,71,1216,52.87,977,42.48,2740,119.13,77,3.35,1625,70.65,12,0.52,548,23.83,2008,87.3,36,1.57,-,-,39,9.75,8,1.33,14,2.33,9,1.5,-,-,6,1,13196,338.36
Nagasaki,23724,343.83,2130,48.41,1498,34.05,3637,82.66,5412,123,173,3.93,1673,38.02,12,0.27,582,13.23,2583,58.7,77,1.75,34,4.25,144,18,9,0.75,18,1.5,13,1.08,-,-,1,0.08,20405,295.72
Kumamoto,24269,307.2,2575,52.55,1378,28.12,2215,45.2,12843,262.1,227,4.63,2281,46.55,21,0.43,1025,20.92,3573,72.92,136,2.78,1,0.11,188,20.89,8,0.57,18,1.29,6,0.43,-,-,-,-,22572,285.72
Oita,22308,384.62,2879,79.97,1360,37.78,1552,43.11,15162,421.17,258,7.17,1477,41.03,32,0.89,736,20.44,2432,67.56,99,2.75,-,-,134,26.8,3,0.27,4,0.36,53,4.82,-,-,1,0.09,16160,278.62
Miyazaki,23453,411.46,2510,71.71,1016,29.03,2333,66.66,11666,333.31,167,4.77,2624,74.97,17,0.49,787,22.49,3385,96.71,75,2.14,4,0.67,241,40.17,1,0.14,2,0.29,1,0.14,-,-,-,-,17346,304.32
Kagoshima,32058,356.2,4288,82.46,1616,31.08,1644,31.62,12972,249.46,217,4.17,1771,34.06,58,1.12,751,14.44,5261,101.17,150,2.88,2,0.29,157,22.43,4,0.33,6,0.5,-,-,1,0.08,-,-,25307,281.19
Okinawa,28846,534.19,1542,49.74,1856,59.87,2239,72.23,3065,98.87,112,3.61,2317,74.74,17,0.55,317,10.23,441,14.23,71,2.29,13,1.63,443,55.38,19,2.71,14,2,14,2,2,0.29,-,-,21874,405.07
