,Disease,DiseaseCode,DiseaseGroup,Year,Month,Date,Cases,LocalCases,ImportedCases,Source,SourceURL
16,렙토스피라증,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
17,리프트밸리열,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
18,마버그열,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
19,말라리아,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
20,매독(1기),,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
21,매독(2기),,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
22,매독(3기),,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
23,매독(선천성),,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
24,매독(잠복),,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
25,반코마이신내성황색포도알균(VRSA) 감염증,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
26,발진열,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
27,발진티푸스,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
28,백일해,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
29,보툴리눔독소증,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
30,브루셀라증,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
31,비브리오패혈증,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
32,성홍열,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
33,세균성이질,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
34,수두,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
35,수막구균 감염증,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
36,신종인플루엔자,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
37,신증후군출혈열,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
38,야토병,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
39,에볼라바이러스병,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
40,웨스트나일열,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
41,유비저,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
42,유행성이하선염,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
43,일본뇌염,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
44,장출혈성대장균감염증,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
45,장티푸스,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
46,중동호흡기증후군(MERS),,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
47,중증급성호흡기증후군(SARS),,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
48,중증열성혈소판감소증후군(SFTS),,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
49,지카바이러스감염증,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
50,진드기매개뇌염,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
51,쯔쯔가무시증,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
52,치쿤구니야열,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
53,카바페넴내성장내세균목(CRE) 감염증,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
54,콜레라,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
55,큐열,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
56,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
57,크리미안콩고출혈열,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
58,탄저,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
59,파라티푸스,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
60,파상풍,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
61,페스트,,1급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
62,폐렴구균 감염증,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
63,폴리오,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
64,풍진(선천성),,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
65,풍진(후천성),,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
66,한센병,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
67,홍역,,2급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
68,황열,,3급,2026,3,2026-03-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
69,@엠폭스,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
70,A형간염,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
71,B형간염,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
72,C형간염,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
73,E형간염,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
74,b형헤모필루스인플루엔자,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
75,공수병,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
76,남아메리카출혈열,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
77,뎅기열,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
78,동물인플루엔자 인체감염증,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
79,두창,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
80,디프테리아,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
81,라싸열,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
82,라임병,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
83,레지오넬라증,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
84,렙토스피라증,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
85,리프트밸리열,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
86,마버그열,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
87,말라리아,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
88,매독(1기),,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
89,매독(2기),,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
90,매독(3기),,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
91,매독(선천성),,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
92,매독(잠복),,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
93,반코마이신내성황색포도알균(VRSA) 감염증,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
94,발진열,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
95,발진티푸스,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
96,백일해,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
97,보툴리눔독소증,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
98,브루셀라증,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
99,비브리오패혈증,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
100,성홍열,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
101,세균성이질,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
102,수두,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
103,수막구균 감염증,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
104,신종인플루엔자,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
105,신증후군출혈열,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
106,야토병,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
107,에볼라바이러스병,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
108,웨스트나일열,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
109,유비저,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
110,유행성이하선염,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
111,일본뇌염,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
112,장출혈성대장균감염증,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
113,장티푸스,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
114,중동호흡기증후군(MERS),,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
115,중증급성호흡기증후군(SARS),,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
116,중증열성혈소판감소증후군(SFTS),,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
117,지카바이러스감염증,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
118,진드기매개뇌염,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
119,쯔쯔가무시증,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
120,치쿤구니야열,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
121,카바페넴내성장내세균목(CRE) 감염증,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
122,콜레라,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
123,큐열,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
124,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
125,크리미안콩고출혈열,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
126,탄저,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
127,파라티푸스,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
128,파상풍,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
129,페스트,,1급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
130,폐렴구균 감염증,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
131,폴리오,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
132,풍진(선천성),,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
133,풍진(후천성),,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
134,한센병,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
135,홍역,,2급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
136,황열,,3급,2026,4,2026-04-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
137,@엠폭스,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
138,A형간염,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
139,B형간염,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
140,C형간염,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
141,E형간염,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
142,b형헤모필루스인플루엔자,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
143,공수병,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
144,남아메리카출혈열,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
145,뎅기열,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
146,동물인플루엔자 인체감염증,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
147,두창,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
148,디프테리아,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
149,라싸열,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
150,라임병,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
151,레지오넬라증,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
152,렙토스피라증,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
153,리프트밸리열,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
154,마버그열,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
155,말라리아,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
156,매독(1기),,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
157,매독(2기),,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
158,매독(3기),,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
159,매독(선천성),,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
160,매독(잠복),,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
161,반코마이신내성황색포도알균(VRSA) 감염증,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
162,발진열,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
163,발진티푸스,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
164,백일해,,2급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
165,보툴리눔독소증,,1급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
166,브루셀라증,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
167,비브리오패혈증,,3급,2026,5,2026-05-01,0,0,0,Korea KDCA EID Portal Download,https://dportal.kdca.go.kr/pot/is/selectBassDissStatsListAjax.do
