"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2025",,,,,,"Data collected as of August 20, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Okayama,12,0.24,21,0.75,4,0.14,18,0.64,70,2.5,11,0.39,8,0.29,14,0.5,9,0.32,31,1.11,2,0.07,-,-,-,-,-,-,-,-,8,1.6,-,-,-,-,366,7.32
Hiroshima,17,0.2,15,0.31,5,0.1,47,0.98,119,2.48,4,0.08,11,0.23,65,1.35,12,0.25,18,0.38,1,0.02,-,-,14,0.88,-,-,1,0.05,39,1.95,-,-,-,-,417,5.02
Yamaguchi,16,0.25,37,0.93,2,0.05,49,1.23,95,2.38,11,0.28,8,0.2,32,0.8,12,0.3,14,0.35,1,0.03,-,-,4,0.44,-,-,-,-,13,1.44,-,-,1,0.11,324,5.14
Tokushima,11,0.32,9,0.43,2,0.1,8,0.38,43,2.05,2,0.1,2,0.1,4,0.19,3,0.14,28,1.33,1,0.05,-,-,-,-,-,-,-,-,15,2.14,-,-,-,-,148,4.35
Kagawa,12,0.3,19,0.73,2,0.08,12,0.46,127,4.88,4,0.15,6,0.23,30,1.15,5,0.19,25,0.96,4,0.15,-,-,-,-,-,-,-,-,7,1.4,-,-,-,-,260,6.5
Ehime,8,0.22,21,1.05,18,0.9,58,2.9,66,3.3,5,0.25,4,0.2,33,1.65,5,0.25,33,1.65,-,-,-,-,26,3.25,-,-,-,-,2,0.33,-,-,-,-,195,5.27
Kochi,44,1.16,12,0.6,6,0.3,15,0.75,49,2.45,3,0.15,17,0.85,15,0.75,6,0.3,16,0.8,-,-,-,-,4,1.33,-,-,-,-,9,1.13,-,-,-,-,299,7.87
Fukuoka,20,0.16,70,1,23,0.33,100,1.43,181,2.59,16,0.23,36,0.51,132,1.89,23,0.33,15,0.21,4,0.06,3,0.12,4,0.15,1,0.07,2,0.13,12,0.8,-,-,-,-,855,7.01
Saga,5,0.21,6,0.5,4,0.33,6,0.5,27,2.25,-,-,-,-,27,2.25,2,0.17,2,0.17,-,-,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-,213,8.88
Nagasaki,9,0.18,13,0.42,7,0.23,36,1.16,40,1.29,8,0.26,2,0.06,54,1.74,5,0.16,16,0.52,2,0.06,-,-,7,1,-,-,-,-,8,0.67,-,-,-,-,371,7.27
Kumamoto,5,0.07,11,0.23,10,0.21,20,0.42,105,2.19,7,0.15,7,0.15,57,1.19,18,0.38,35,0.73,-,-,-,-,8,0.89,-,-,1,0.07,17,1.13,-,-,-,-,600,8.45
Oita,3,0.05,19,0.53,27,0.75,55,1.53,128,3.56,11,0.31,2,0.06,115,3.19,13,0.36,32,0.89,1,0.03,-,-,5,1,-,-,-,-,-,-,-,-,-,-,466,8.03
Miyazaki,3,0.11,9,0.64,5,0.36,19,1.36,45,3.21,1,0.07,1,0.07,27,1.93,10,0.71,18,1.29,1,0.07,-,-,11,1.83,-,-,-,-,4,0.57,-,-,-,-,398,14.74
Kagoshima,20,0.35,35,1.13,19,0.61,45,1.45,105,3.39,12,0.39,5,0.16,57,1.84,13,0.42,38,1.23,1,0.03,-,-,4,0.57,-,-,-,-,15,1.25,-,-,-,-,720,12.63
Okinawa,164,3.64,25,1,16,0.64,27,1.08,69,2.76,3,0.12,13,0.52,29,1.16,9,0.36,7,0.28,-,-,-,-,25,2.78,-,-,1,0.14,-,-,-,-,-,-,379,8.42
