"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2023",,,,,,"Data collected as of January 25, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Tochigi,433,5.7,3,0.06,1,0.02,17,0.35,317,6.6,4,0.08,3,0.06,-,-,16,0.33,-,-,-,-,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
Gunma,400,4.71,11,0.21,6,0.12,13,0.25,460,8.85,2,0.04,1,0.02,-,-,14,0.27,-,-,-,-,-,-,4,0.29,-,-,-,-,-,-,-,-,-,-
Saitama,1807,7.09,15,0.09,11,0.07,67,0.42,1614,10.02,5,0.03,3,0.02,3,0.02,37,0.23,1,0.01,10,0.06,1,0.03,8,0.2,-,-,1,0.09,-,-,-,-,1,0.09
Chiba,1783,8.53,10,0.08,3,0.02,25,0.19,1330,10.23,12,0.09,2,0.02,-,-,23,0.18,-,-,5,0.04,-,-,11,0.33,1,0.11,1,0.11,-,-,-,-,-,-
Tokyo,3493,8.5,32,0.12,19,0.07,58,0.22,2779,10.73,22,0.08,9,0.03,1,0,59,0.23,8,0.03,6,0.02,-,-,2,0.05,-,-,-,-,-,-,-,-,-,-
Kanagawa,3171,8.86,23,0.1,20,0.09,62,0.27,2145,9.41,11,0.05,9,0.04,1,0,52,0.23,9,0.04,6,0.03,-,-,22,0.43,-,-,-,-,-,-,-,-,-,-
Niigata,473,5.44,42,0.75,2,0.04,41,0.73,353,6.3,1,0.02,1,0.02,-,-,16,0.29,-,-,-,-,-,-,3,0.3,-,-,1,0.08,-,-,-,-,-,-
Toyama,400,8.33,12,0.41,8,0.28,25,0.86,277,9.55,-,-,-,-,-,-,4,0.14,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ishikawa,657,13.69,5,0.17,4,0.14,6,0.21,379,13.07,2,0.07,4,0.14,1,0.03,10,0.34,-,-,-,-,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-
Fukui,449,12.14,7,0.3,9,0.39,16,0.7,160,6.96,10,0.43,9,0.39,1,0.04,5,0.22,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,76,1.85,10,0.42,-,-,-,-,186,7.75,-,-,-,-,-,-,8,0.33,-,-,1,0.04,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
Nagano,490,5.57,22,0.41,1,0.02,12,0.22,531,9.83,2,0.04,4,0.07,-,-,10,0.19,4,0.07,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gifu,297,3.41,2,0.04,7,0.13,8,0.15,160,3.02,-,-,-,-,-,-,14,0.26,-,-,-,-,-,-,3,0.27,-,-,-,-,-,-,-,-,-,-
Shizuoka,634,4.56,37,0.42,10,0.11,20,0.22,571,6.42,7,0.08,2,0.02,1,0.01,12,0.13,-,-,4,0.04,-,-,1,0.05,-,-,-,-,-,-,-,-,-,-
Aichi,1552,7.96,8,0.04,10,0.05,63,0.35,1036,5.69,11,0.06,5,0.03,1,0.01,28,0.15,-,-,-,-,-,-,3,0.09,-,-,1,0.07,-,-,-,-,-,-
Mie,625,8.8,5,0.11,13,0.29,7,0.16,279,6.2,7,0.16,-,-,-,-,8,0.18,-,-,1,0.02,-,-,-,-,1,0.11,-,-,-,-,-,-,-,-
Shiga,451,7.52,3,0.08,6,0.17,19,0.53,265,7.36,5,0.14,4,0.11,-,-,4,0.11,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyoto,1898,15.31,7,0.09,10,0.13,66,0.88,530,7.07,11,0.15,22,0.29,-,-,14,0.19,8,0.11,-,-,-,-,1,0.06,-,-,-,-,-,-,-,-,-,-
Osaka,6097,20.46,15,0.08,32,0.16,75,0.39,1260,6.49,17,0.09,26,0.13,1,0.01,46,0.24,8,0.04,2,0.01,1,0.02,7,0.13,-,-,1,0.06,-,-,-,-,-,-
Hyogo,2413,12.13,16,0.12,17,0.13,41,0.32,1127,8.74,6,0.05,27,0.21,2,0.02,20,0.16,5,0.04,9,0.07,-,-,3,0.09,-,-,-,-,-,-,-,-,-,-
Nara,598,10.87,3,0.09,8,0.24,7,0.21,169,4.97,2,0.06,13,0.38,-,-,10,0.29,1,0.03,-,-,-,-,3,0.3,-,-,-,-,-,-,1,0.17,-,-
Wakayama,520,10.61,1,0.03,3,0.1,5,0.17,138,4.6,2,0.07,4,0.13,-,-,2,0.07,1,0.03,-,-,-,-,-,-,1,0.09,-,-,-,-,-,-,-,-
Tottori,112,3.86,2,0.11,3,0.16,22,1.16,102,5.37,-,-,5,0.26,-,-,4,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,162,4.26,-,-,2,0.09,3,0.13,181,7.87,4,0.17,8,0.35,-,-,7,0.3,1,0.04,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,490,5.83,19,0.35,2,0.04,3,0.06,529,9.8,6,0.11,7,0.13,-,-,13,0.24,2,0.04,1,0.02,1,0.08,2,0.17,-,-,1,0.2,-,-,-,-,-,-
Hiroshima,942,8.19,19,0.26,8,0.11,23,0.32,748,10.39,4,0.06,3,0.04,-,-,15,0.21,-,-,1,0.01,-,-,6,0.32,-,-,-,-,-,-,-,-,-,-
Yamaguchi,277,4.2,11,0.24,5,0.11,10,0.22,302,6.71,1,0.02,3,0.07,-,-,16,0.36,3,0.07,-,-,-,-,5,0.56,-,-,-,-,-,-,-,-,-,-
Tokushima,228,6.16,11,0.48,1,0.04,1,0.04,172,7.48,1,0.04,3,0.13,-,-,9,0.39,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,444,9.45,3,0.11,5,0.18,2,0.07,427,15.25,1,0.04,-,-,-,-,8,0.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,544,8.92,6,0.16,2,0.05,19,0.51,403,10.89,-,-,4,0.11,-,-,17,0.46,-,-,1,0.03,-,-,2,0.25,-,-,-,-,1,0.17,-,-,-,-
Kochi,386,8.58,17,0.63,1,0.04,4,0.15,182,6.74,2,0.07,8,0.3,-,-,8,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukuoka,4077,20.59,61,0.51,23,0.19,152,1.27,822,6.85,12,0.1,33,0.28,-,-,42,0.35,38,0.32,2,0.02,-,-,4,0.15,1,0.07,-,-,-,-,-,-,-,-
Saga,660,16.92,16,0.7,8,0.35,4,0.17,67,2.91,1,0.04,19,0.83,-,-,12,0.52,10,0.43,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nagasaki,1036,14.8,36,0.82,5,0.11,102,2.32,254,5.77,4,0.09,12,0.27,-,-,13,0.3,4,0.09,6,0.14,2,0.25,7,0.88,-,-,-,-,-,-,-,-,-,-
Kumamoto,700,8.75,84,1.68,11,0.22,8,0.16,352,7.04,3,0.06,15,0.3,-,-,21,0.42,25,0.5,3,0.06,-,-,5,0.56,-,-,-,-,-,-,-,-,-,-
Oita,603,10.4,4,0.11,3,0.08,11,0.31,393,10.92,3,0.08,2,0.06,-,-,12,0.33,9,0.25,1,0.03,-,-,3,0.6,-,-,-,-,2,0.18,-,-,-,-
Miyazaki,985,17.59,13,0.37,11,0.31,8,0.23,409,11.69,3,0.09,8,0.23,-,-,12,0.34,15,0.43,4,0.11,-,-,2,0.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,894,9.72,33,0.61,17,0.31,14,0.26,445,8.24,8,0.15,19,0.35,-,-,15,0.28,15,0.28,4,0.07,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
Okinawa,2171,38.77,6,0.18,6,0.18,18,0.55,52,1.58,4,0.12,28,0.85,-,-,4,0.12,-,-,1,0.03,-,-,7,0.78,1,0.14,-,-,-,-,1,0.14,-,-
