"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2024",,,,,,"Data collected as of February 21, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Tottori,2170,74.83,10,0.53,107,5.63,1068,56.21,792,41.68,8,0.42,19,1,-,-,24,1.26,1,0.05,2,0.11,-,-,11,2.2,2,0.4,3,0.6,1,0.2,-,-,1,0.2,2253,77.69
Shimane,2220,58.42,11,0.48,162,7.04,294,12.78,1441,62.65,16,0.7,24,1.04,1,0.04,37,1.61,1,0.04,2,0.09,-,-,8,2.67,-,-,1,0.13,1,0.13,-,-,1,0.13,2254,59.32
Okayama,8558,101.88,11,0.2,368,6.81,813,15.06,2289,42.39,29,0.54,75,1.39,11,0.2,68,1.26,4,0.07,9,0.17,1,0.08,42,3.5,-,-,-,-,-,-,-,-,4,0.8,6303,75.04
Hiroshima,11101,99.12,46,0.67,873,12.65,1445,20.94,4093,59.32,63,0.91,115,1.67,5,0.07,76,1.1,7,0.1,6,0.09,1,0.05,150,7.89,2,0.1,1,0.05,8,0.38,-,-,3,0.14,9241,82.51
Yamaguchi,8104,120.96,10,0.23,316,7.35,1484,34.51,1764,41.02,27,0.63,14,0.33,1,0.02,77,1.79,3,0.07,1,0.02,-,-,40,4.44,1,0.11,-,-,9,1,-,-,-,-,5511,82.25
Tokushima,3804,102.81,4,0.17,145,6.3,284,12.35,868,37.74,6,0.26,51,2.22,1,0.04,34,1.48,3,0.13,1,0.04,-,-,8,2,-,-,-,-,-,-,-,-,-,-,3454,93.35
Kagawa,3828,81.45,10,0.36,206,7.36,554,19.79,2183,77.96,19,0.68,111,3.96,5,0.18,33,1.18,12,0.43,6,0.21,-,-,7,1.4,-,-,1,0.2,2,0.4,-,-,-,-,4173,88.79
Ehime,6701,111.68,11,0.31,306,8.5,1324,36.78,2439,67.75,36,1,92,2.56,1,0.03,81,2.25,38,1.06,9,0.25,-,-,104,13,-,-,-,-,2,0.33,-,-,-,-,6103,101.72
Kochi,4740,107.73,2,0.08,157,6.04,743,28.58,709,27.27,15,0.58,25,0.96,4,0.15,30,1.15,14,0.54,2,0.08,-,-,5,1.67,1,0.13,-,-,5,0.63,-,-,3,0.38,3604,81.91
Fukuoka,48649,245.7,59,0.49,1027,8.56,5915,49.29,4722,39.35,199,1.66,256,2.13,4,0.03,247,2.06,17,0.14,18,0.15,1,0.04,89,3.42,3,0.2,2,0.13,1,0.07,-,-,-,-,14399,72.72
Saga,6830,175.13,13,0.57,297,12.91,779,33.87,691,30.04,19,0.83,32,1.39,1,0.04,49,2.13,-,-,5,0.22,-,-,12,3,1,0.17,3,0.5,12,2,-,-,-,-,3894,99.85
Nagasaki,10276,146.8,7,0.16,593,13.48,1088,24.73,1283,29.16,47,1.07,88,2,1,0.02,62,1.41,6,0.14,2,0.05,8,1,58,7.25,-,-,2,0.17,4,0.33,-,-,1,0.08,5624,80.34
Kumamoto,13861,173.26,13,0.26,552,11.04,1092,21.84,2895,57.9,77,1.54,139,2.78,10,0.2,147,2.94,26,0.52,13,0.26,-,-,85,10.63,3,0.2,2,0.13,3,0.2,1,0.07,-,-,7972,99.65
Oita,10242,176.59,9,0.25,438,12.17,837,23.25,2699,74.97,19,0.53,79,2.19,4,0.11,98,2.72,14,0.39,7,0.19,-,-,12,2.4,-,-,1,0.09,8,0.73,-,-,-,-,6149,106.02
Miyazaki,11950,206.03,13,0.36,560,15.56,1249,34.69,2728,75.78,17,0.47,161,4.47,6,0.17,75,2.08,4,0.11,7,0.19,-,-,75,12.5,-,-,-,-,-,-,-,-,-,-,5367,92.53
Kagoshima,11810,132.7,45,0.88,1331,26.1,1520,29.8,3517,68.96,36,0.71,279,5.47,4,0.08,87,1.71,32,0.63,17,0.33,1,0.14,75,10.71,-,-,-,-,-,-,-,-,-,-,6496,72.99
Okinawa,11026,204.19,37,1.19,256,8.26,1099,35.45,465,15,54,1.74,27,0.87,4,0.13,24,0.77,6,0.19,16,0.52,-,-,81,10.13,-,-,1,0.14,24,3.43,-,-,-,-,2625,48.61
