"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2025",,,,,,"Data collected as of April 16, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
Tochigi,72,1.53,27,1,6,0.22,119,4.41,214,7.93,9,0.33,1,0.04,108,4,14,0.52,-,-,6,0.22,-,-,20,1.67,-,-,-,-,-,-,-,-,-,-,152,3.23
Gunma,70,1.56,14,0.56,13,0.52,41,1.64,273,10.92,7,0.28,-,-,67,2.68,8,0.32,1,0.04,4,0.16,-,-,8,0.57,1,0.11,-,-,-,-,-,-,4,0.44,118,2.62
Saitama,247,1.41,73,0.66,40,0.36,305,2.75,865,7.79,105,0.95,7,0.06,202,1.82,37,0.33,2,0.02,7,0.06,5,0.12,22,0.51,-,-,1,0.08,4,0.33,-,-,1,0.08,468,2.67
Chiba,240,1.3,46,0.39,13,0.11,363,3.08,776,6.58,37,0.31,7,0.06,221,1.87,29,0.25,3,0.03,5,0.04,-,-,40,1.14,-,-,-,-,-,-,-,-,1,0.11,390,2.11
Tokyo,519,1.24,136,0.52,44,0.17,672,2.56,2057,7.82,114,0.43,19,0.07,194,0.74,88,0.33,5,0.02,25,0.1,1,0.03,16,0.41,-,-,-,-,3,0.12,2,0.08,3,0.12,502,1.2
Kanagawa,255,1.06,91,0.64,12,0.08,298,2.08,1078,7.54,87,0.61,1,0.01,166,1.16,35,0.24,1,0.01,9,0.06,5,0.1,44,0.9,-,-,-,-,1,0.09,-,-,2,0.18,402,1.68
Niigata,78,1.44,50,1.72,15,0.52,89,3.07,142,4.9,11,0.38,3,0.1,45,1.55,7,0.24,-,-,2,0.07,1,0.1,4,0.4,-,-,-,-,3,0.23,-,-,-,-,268,4.96
Toyama,114,2.43,29,1,11,0.38,102,3.52,269,9.28,8,0.28,-,-,67,2.31,11,0.38,1,0.03,2,0.07,9,1.29,2,0.29,-,-,-,-,3,0.6,-,-,1,0.2,123,2.62
Ishikawa,53,1.1,33,1.14,7,0.24,58,2,373,12.86,11,0.38,-,-,57,1.97,8,0.28,-,-,1,0.03,7,1,13,1.86,-,-,-,-,2,0.4,-,-,3,0.6,153,3.19
Fukui,14,0.36,32,1.28,12,0.48,20,0.8,270,10.8,2,0.08,-,-,16,0.64,8,0.32,1,0.04,-,-,-,-,2,0.67,-,-,-,-,11,1.83,-,-,1,0.17,37,0.95
Yamanashi,48,1.37,3,0.14,1,0.05,10,0.48,113,5.38,2,0.1,-,-,4,0.19,2,0.1,-,-,1,0.05,-,-,23,2.56,-,-,-,-,1,0.1,-,-,-,-,101,2.89
Nagano,162,2,34,0.67,3,0.06,80,1.57,347,6.8,8,0.16,-,-,99,1.94,11,0.22,-,-,-,-,-,-,28,2.8,-,-,-,-,5,0.42,-,-,1,0.08,214,2.64
Gifu,62,1.27,51,1.7,6,0.2,46,1.53,225,7.5,1,0.03,-,-,11,0.37,6,0.2,-,-,1,0.03,-,-,1,0.09,-,-,-,-,1,0.2,-,-,4,0.8,131,2.67
Shizuoka,79,0.57,77,0.87,16,0.18,74,0.83,579,6.51,9,0.1,-,-,143,1.61,19,0.21,-,-,4,0.04,-,-,11,0.5,1,0.1,-,-,-,-,-,-,-,-,264,1.9
Aichi,153,0.94,87,0.86,12,0.12,116,1.15,689,6.82,19,0.19,4,0.04,42,0.42,14,0.14,5,0.05,4,0.04,1,0.03,15,0.43,1,0.07,-,-,6,0.4,-,-,7,0.47,484,2.97
Mie,33,0.47,60,1.36,6,0.14,58,1.32,288,6.55,7,0.16,1,0.02,55,1.25,10,0.23,-,-,2,0.05,-,-,-,-,-,-,-,-,1,0.11,-,-,1,0.11,156,2.23
Shiga,75,1.27,23,0.66,4,0.11,44,1.26,137,3.91,14,0.4,2,0.06,27,0.77,8,0.23,2,0.06,1,0.03,-,-,1,0.11,-,-,-,-,1,0.14,-,-,1,0.14,107,1.81
Kyoto,64,0.96,14,0.35,22,0.55,81,2.03,327,8.18,11,0.28,1,0.03,44,1.1,5,0.13,-,-,4,0.1,1,0.06,4,0.22,-,-,-,-,1,0.17,-,-,-,-,167,2.49
Osaka,288,0.99,171,0.91,38,0.2,251,1.34,1561,8.35,35,0.19,5,0.03,102,0.55,46,0.25,5,0.03,12,0.06,1,0.02,4,0.08,-,-,-,-,3,0.17,-,-,12,0.67,501,1.72
Hyogo,185,1.11,115,1.06,39,0.36,129,1.19,1001,9.27,9,0.08,7,0.06,55,0.51,25,0.23,1,0.01,5,0.05,-,-,12,0.34,1,0.07,3,0.21,5,0.36,-,-,-,-,260,1.57
Nara,43,1.05,27,1.13,7,0.29,26,1.08,248,10.33,3,0.13,12,0.5,8,0.33,5,0.21,1,0.04,-,-,-,-,5,0.5,-,-,-,-,-,-,-,-,3,0.5,92,2.24
Wakayama,50,1.11,13,0.48,3,0.11,24,0.89,187,6.93,13,0.48,-,-,18,0.67,8,0.3,-,-,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-,-,-,90,2
Tottori,43,1.48,14,0.74,6,0.32,74,3.89,152,8,12,0.63,-,-,24,1.26,2,0.11,-,-,-,-,-,-,2,0.4,-,-,-,-,1,0.2,-,-,1,0.2,41,1.41
Shimane,8,0.4,9,0.82,6,0.55,12,1.09,74,6.73,1,0.09,-,-,7,0.64,4,0.36,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-,49,2.45
Okayama,102,2.04,31,1.11,7,0.25,35,1.25,312,11.14,3,0.11,3,0.11,4,0.14,6,0.21,1,0.04,1,0.04,-,-,3,0.25,-,-,1,0.2,3,0.6,-,-,1,0.2,162,3.24
Hiroshima,53,0.56,43,0.74,16,0.28,99,1.71,657,11.33,5,0.09,3,0.05,16,0.28,11,0.19,-,-,3,0.05,2,0.11,23,1.21,-,-,-,-,11,0.55,-,-,20,1,206,2.19
Yamaguchi,42,0.67,60,1.5,9,0.23,92,2.3,489,12.23,6,0.15,1,0.03,14,0.35,17,0.43,-,-,1,0.03,-,-,15,1.67,-,-,1,0.11,5,0.56,-,-,9,1,91,1.44
Tokushima,26,0.76,17,0.81,3,0.14,10,0.48,142,6.76,2,0.1,-,-,1,0.05,6,0.29,-,-,-,-,1,0.25,-,-,1,0.14,-,-,1,0.14,-,-,1,0.14,135,3.97
Kagawa,54,1.35,14,0.54,2,0.08,26,1,402,15.46,5,0.19,1,0.04,3,0.12,11,0.42,1,0.04,-,-,-,-,1,0.2,1,0.2,-,-,1,0.2,-,-,1,0.2,56,1.4
Ehime,39,1.05,45,2.14,10,0.48,96,4.57,303,14.43,4,0.19,-,-,7,0.33,11,0.52,-,-,-,-,-,-,33,4.13,-,-,-,-,-,-,-,-,1,0.17,115,3.11
Kochi,26,0.68,24,1.2,3,0.15,47,2.35,81,4.05,5,0.25,1,0.05,16,0.8,-,-,-,-,2,0.1,-,-,1,0.33,-,-,-,-,5,0.63,-,-,-,-,74,1.95
Fukuoka,111,0.91,126,1.8,22,0.31,217,3.1,678,9.69,21,0.3,3,0.04,43,0.61,27,0.39,1,0.01,4,0.06,2,0.08,12,0.46,-,-,-,-,3,0.2,-,-,8,0.53,183,1.5
Saga,21,0.88,11,0.92,1,0.08,30,2.5,126,10.5,-,-,-,-,9,0.75,4,0.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1.17,28,1.17
Nagasaki,58,1.14,61,1.97,11,0.35,74,2.39,302,9.74,7,0.23,2,0.06,9,0.29,10,0.32,2,0.06,1,0.03,2,0.25,15,1.88,-,-,1,0.08,3,0.25,-,-,11,0.92,91,1.78
Kumamoto,46,0.62,35,0.71,11,0.22,84,1.71,367,7.49,4,0.08,1,0.02,13,0.27,26,0.53,1,0.02,2,0.04,-,-,5,0.56,-,-,-,-,5,0.33,-,-,-,-,160,2.16
Oita,34,0.59,26,0.72,11,0.31,104,2.89,565,15.69,24,0.67,-,-,15,0.42,17,0.47,2,0.06,-,-,-,-,8,1.6,-,-,-,-,1,0.09,-,-,3,0.27,129,2.22
Miyazaki,41,1.46,34,2.27,9,0.6,27,1.8,282,18.8,2,0.13,2,0.13,13,0.87,5,0.33,-,-,2,0.13,-,-,-,-,-,-,-,-,-,-,-,-,1,0.14,50,1.79
Kagoshima,45,0.79,95,3.06,32,1.03,56,1.81,403,13,7,0.23,1,0.03,9,0.29,10,0.32,1,0.03,6,0.19,-,-,8,1.14,-,-,-,-,2,0.17,-,-,-,-,65,1.14
Okinawa,113,2.51,35,1.4,1,0.04,32,1.28,73,2.92,19,0.76,2,0.08,11,0.44,3,0.12,1,0.04,2,0.08,-,-,43,4.78,-,-,-,-,-,-,-,-,-,-,50,1.11
