"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2025",,,,,,"Data collected as of April 16, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
Saitama,30555,126.78,1890,12.52,602,3.99,5565,36.85,19725,130.63,1073,7.11,184,1.22,3902,25.84,454,3.01,27,0.18,129,0.85,149,3.73,325,8.13,3,0.25,8,0.67,129,10.75,3,0.25,43,3.58,20320,84.32
Chiba,25742,128.71,848,6.78,328,2.62,5460,43.68,16653,133.22,415,3.32,100,0.8,3073,24.58,305,2.44,19,0.15,100,0.8,10,0.29,435,12.79,7,0.78,2,0.22,36,4,-,-,6,0.67,16727,83.64
Tokyo,29602,72.02,1996,7.71,516,1.99,8366,32.3,35220,135.98,1505,5.81,215,0.83,4635,17.9,755,2.92,33,0.13,167,0.64,6,0.16,299,7.87,11,0.44,6,0.24,132,5.28,7,0.28,71,2.84,16659,40.53
Kanagawa,28189,82.91,1797,8.44,369,1.73,4684,21.99,23630,110.94,1280,6.01,160,0.75,3168,14.87,545,2.56,18,0.08,153,0.72,18,0.37,694,14.16,9,0.82,14,1.27,44,4,-,-,22,2,18793,55.27
Niigata,14236,171.52,648,12.23,299,5.64,2942,55.51,3517,66.36,429,8.09,84,1.58,713,13.45,152,2.87,5,0.09,39,0.74,24,2.4,72,7.2,2,0.15,2,0.15,126,9.69,-,-,3,0.23,6843,82.45
Toyama,5943,126.45,263,9.39,209,7.46,1829,65.32,4159,148.54,104,3.71,12,0.43,421,15.04,77,2.75,17,0.61,13,0.46,51,8.5,16,2.67,1,0.2,-,-,48,9.6,-,-,3,0.6,3044,64.77
Ishikawa,7510,156.46,330,11.38,118,4.07,1052,36.28,4343,149.76,208,7.17,8,0.28,324,11.17,79,2.72,9,0.31,8,0.28,16,2.29,179,25.57,-,-,1,0.2,37,7.4,-,-,3,0.6,3365,70.1
Fukui,4974,127.54,610,24.4,163,6.52,630,25.2,3463,138.52,149,5.96,44,1.76,110,4.4,61,2.44,7,0.28,15,0.6,-,-,6,2,1,0.17,6,1,116,19.33,2,0.33,9,1.5,1943,49.82
Yamanashi,3987,99.68,134,5.83,52,2.26,180,7.83,2879,125.17,37,1.61,19,0.83,130,5.65,41,1.78,-,-,9,0.39,-,-,294,32.67,2,0.2,-,-,31,3.1,1,0.1,6,0.6,3038,75.95
Nagano,13972,164.38,611,11.75,132,2.54,1222,23.5,4415,84.9,153,2.94,97,1.87,783,15.06,119,2.29,16,0.31,12,0.23,-,-,403,44.78,3,0.25,3,0.25,95,7.92,-,-,6,0.5,8888,104.56
Gifu,12857,153.06,880,17.25,132,2.59,843,16.53,3634,71.25,53,1.04,16,0.31,101,1.98,146,2.86,2,0.04,16,0.31,1,0.09,8,0.73,2,0.4,7,1.4,68,13.6,-,-,18,3.6,7906,94.12
Shizuoka,20787,149.55,857,9.63,275,3.09,1235,13.88,8513,95.65,126,1.42,21,0.24,701,7.88,224,2.52,6,0.07,38,0.43,1,0.05,110,5.24,8,0.8,2,0.2,48,4.8,-,-,-,-,11799,84.88
Aichi,30496,158.83,1740,9.89,480,2.73,2546,14.47,13720,77.95,212,1.2,36,0.2,354,2.01,316,1.8,14,0.08,48,0.27,20,0.57,129,3.69,7,0.47,8,0.53,153,10.2,-,-,27,1.8,18495,96.33
Mie,7869,112.41,1066,24.23,161,3.66,1296,29.45,4528,102.91,114,2.59,24,0.55,221,5.02,124,2.82,5,0.11,14,0.32,3,0.27,13,1.18,4,0.44,-,-,69,7.67,-,-,2,0.22,5074,72.49
Shiga,6867,118.4,425,12.14,72,2.06,659,18.83,2567,73.34,133,3.8,12,0.34,178,5.09,73,2.09,3,0.09,20,0.57,1,0.11,6,0.67,-,-,1,0.14,20,2.86,-,-,2,0.29,3620,62.41
Kyoto,13279,111.59,705,9.79,543,7.54,1566,21.75,6402,88.92,151,2.1,49,0.68,649,9.01,134,1.86,3,0.04,27,0.38,2,0.12,73,4.29,-,-,-,-,62,10.33,2,0.33,-,-,6304,52.97
Osaka,27185,92.47,3837,20.41,640,3.4,3223,17.14,22057,117.32,506,2.69,193,1.03,640,3.4,502,2.67,33,0.18,91,0.48,29,0.58,160,3.2,4,0.24,11,0.65,92,5.41,6,0.35,111,6.53,12716,43.25
Hyogo,20342,105.4,2860,23.06,547,4.41,2220,17.9,15825,127.62,261,2.1,133,1.07,555,4.48,327,2.64,13,0.1,61,0.49,30,0.88,321,9.44,4,0.29,14,1,188,13.43,-,-,25,1.79,9790,50.73
Nara,5687,111.51,827,26.68,109,3.52,499,16.1,3859,124.48,68,2.19,65,2.1,112,3.61,94,3.03,3,0.1,5,0.16,-,-,45,5,5,0.83,2,0.33,36,6,-,-,16,2.67,3546,69.53
Wakayama,6298,134,569,20.32,75,2.68,410,14.64,2830,101.07,111,3.96,18,0.64,106,3.79,99,3.54,-,-,9,0.32,8,2.67,12,4,3,0.27,1,0.09,42,3.82,-,-,11,1,2952,62.81
Tottori,3558,122.69,130,6.84,80,4.21,970,51.05,1569,82.58,59,3.11,15,0.79,168,8.84,42,2.21,2,0.11,1,0.05,1,0.2,13,2.6,2,0.4,6,1.2,41,8.2,-,-,3,0.6,2309,79.62
Shimane,4376,121.56,198,9,109,4.95,480,21.82,2603,118.32,62,2.82,23,1.05,205,9.32,102,4.64,5,0.23,3,0.14,-,-,-,-,2,0.25,-,-,49,6.13,-,-,2,0.25,2609,72.47
Okayama,9831,121.37,470,9.04,159,3.06,770,14.81,5711,109.83,62,1.19,38,0.73,45,0.87,134,2.58,11,0.21,46,0.88,6,0.5,102,8.5,3,0.6,2,0.4,40,8,-,-,7,1.4,5540,68.4
Hiroshima,12149,107.51,1184,16.68,378,5.32,2068,29.13,10431,146.92,111,1.56,63,0.89,131,1.85,154,2.17,7,0.1,23,0.32,9,0.5,369,20.5,3,0.15,4,0.2,219,10.95,-,-,89,4.45,7201,63.73
Yamaguchi,8102,122.76,1680,40,112,2.67,1711,40.74,6009,143.07,60,1.43,31,0.74,137,3.26,165,3.93,4,0.1,10,0.24,-,-,111,12.33,1,0.11,4,0.44,59,6.56,-,-,34,3.78,3883,58.83
Tokushima,6071,168.64,404,18.36,66,3,236,10.73,2060,93.64,34,1.55,53,2.41,39,1.77,69,3.14,3,0.14,1,0.05,9,3,4,1.33,4,0.57,-,-,17,2.43,-,-,7,1,3400,94.44
Kagawa,6729,146.28,349,12.93,100,3.7,648,24,4849,179.59,42,1.56,21,0.78,27,1,95,3.52,6,0.22,13,0.48,6,1.2,20,4,4,1,2,0.5,25,6.25,-,-,4,1,3063,66.59
Ehime,8350,146.49,861,25.32,252,7.41,1683,49.5,6480,190.59,35,1.03,23,0.68,92,2.71,143,4.21,-,-,16,0.47,1,0.14,326,46.57,1,0.17,-,-,48,8,-,-,23,3.83,4619,81.04
Kochi,7664,178.23,256,10.67,54,2.25,775,32.29,1702,70.92,46,1.92,38,1.58,274,11.42,58,2.42,1,0.04,9,0.38,-,-,14,4.67,1,0.13,3,0.38,82,10.25,-,-,5,0.63,3663,85.19
Fukuoka,25313,131.84,2939,25.56,706,6.14,5679,49.38,16711,145.31,620,5.39,134,1.17,538,4.68,469,4.08,13,0.11,51,0.44,16,0.62,138,5.31,2,0.13,5,0.33,122,8.13,-,-,42,2.8,12027,62.64
Saga,6193,167.38,437,19.86,136,6.18,792,36,2915,132.5,64,2.91,37,1.68,125,5.68,123,5.59,8,0.36,5,0.23,-,-,8,2.67,2,0.33,5,0.83,43,7.17,-,-,23,3.83,3067,82.89
Nagasaki,11030,162.21,623,14.83,232,5.52,1775,42.26,4550,108.33,156,3.71,47,1.12,151,3.6,140,3.33,8,0.19,17,0.4,38,4.75,170,21.25,4,0.33,6,0.5,77,6.42,-,-,37,3.08,5401,79.43
Kumamoto,12275,155.38,889,18.14,147,3,1616,32.98,8515,173.78,160,3.27,96,1.96,176,3.59,307,6.27,19,0.39,16,0.33,3,0.33,128,14.22,2,0.13,4,0.27,67,4.47,-,-,15,1,5400,68.35
Oita,8083,139.36,711,19.75,220,6.11,1863,51.75,8820,245,161,4.47,68,1.89,106,2.94,227,6.31,12,0.33,23,0.64,-,-,71,14.2,2,0.18,2,0.18,29,2.64,-,-,22,2,4238,73.07
Miyazaki,9395,170.82,628,18.47,234,6.88,1190,35,5910,173.82,101,2.97,46,1.35,249,7.32,182,5.35,8,0.24,15,0.44,-,-,47,9.4,1,0.14,-,-,28,4,-,-,15,2.14,3234,58.8
Kagoshima,11593,134.8,1121,22.88,608,12.41,1787,36.47,8112,165.55,182,3.71,96,1.96,124,2.53,171,3.49,9,0.18,18,0.37,1,0.14,127,18.14,1,0.08,-,-,60,5,-,-,-,-,3763,43.76
Okinawa,11164,202.98,162,5.23,77,2.48,951,30.68,1457,47,336,10.84,59,1.9,198,6.39,91,2.94,5,0.16,24,0.77,6,0.67,712,79.11,3,0.43,7,1,16,2.29,-,-,4,0.57,1189,21.62
