"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2023",,,,,,"Data collected as of February 22, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Tochigi,3253,42.8,31,0.65,12,0.25,114,2.38,2064,43,22,0.46,22,0.46,1,0.02,85,1.77,4,0.08,4,0.08,-,-,24,2,-,-,-,-,-,-,-,-,-,-
Gunma,2256,26.23,60,1.13,52,0.98,68,1.28,2813,53.08,42,0.79,8,0.15,5,0.09,110,2.08,5,0.09,15,0.28,-,-,18,1.29,-,-,-,-,-,-,-,-,-,-
Saitama,12741,50.36,121,0.76,131,0.82,352,2.21,9197,57.84,105,0.66,57,0.36,14,0.09,250,1.57,6,0.04,44,0.28,6,0.15,52,1.3,2,0.18,7,0.64,1,0.09,-,-,1,0.09
Chiba,12111,57.67,87,0.66,35,0.27,270,2.06,7328,55.94,79,0.6,13,0.1,4,0.03,136,1.04,6,0.05,25,0.19,-,-,51,1.5,1,0.11,2,0.22,-,-,-,-,-,-
Tokyo,23136,56.16,129,0.5,140,0.54,425,1.63,14365,55.25,145,0.56,81,0.31,14,0.05,400,1.54,27,0.1,55,0.21,2,0.05,20,0.53,3,0.12,3,0.12,2,0.08,1,0.04,-,-
Kanagawa,23561,65.45,104,0.46,99,0.44,387,1.7,11522,50.76,81,0.36,56,0.25,14,0.06,301,1.33,25,0.11,55,0.24,2,0.04,136,2.72,1,0.09,3,0.27,3,0.27,-,-,1,0.09
Niigata,3053,35.5,241,4.3,61,1.09,337,6.02,2145,38.3,26,0.46,28,0.5,3,0.05,87,1.55,5,0.09,14,0.25,-,-,7,0.7,1,0.08,3,0.25,1,0.08,-,-,1,0.08
Toyama,4692,97.75,117,4.03,60,2.07,121,4.17,1960,67.59,18,0.62,7,0.24,2,0.07,34,1.17,6,0.21,4,0.14,-,-,4,0.57,-,-,-,-,-,-,-,-,-,-
Ishikawa,7316,152.42,127,4.38,30,1.03,42,1.45,2086,71.93,18,0.62,45,1.55,1,0.03,50,1.72,4,0.14,3,0.1,-,-,22,3.14,-,-,-,-,2,0.4,-,-,-,-
Fukui,6501,175.7,43,1.87,72,3.13,89,3.87,1005,43.7,33,1.43,76,3.3,2,0.09,38,1.65,5,0.22,5,0.22,-,-,2,0.67,3,0.5,2,0.33,-,-,-,-,-,-
Yamanashi,687,16.76,54,2.25,2,0.08,10,0.42,1320,55,1,0.04,1,0.04,1,0.04,41,1.71,1,0.04,4,0.17,-,-,25,2.78,-,-,-,-,-,-,-,-,3,0.3
Nagano,3729,42.86,128,2.42,26,0.49,92,1.74,3149,59.42,25,0.47,11,0.21,2,0.04,69,1.3,17,0.32,5,0.09,3,0.3,26,2.6,-,-,1,0.08,3,0.25,-,-,-,-
Gifu,2309,26.54,29,0.55,49,0.92,34,0.64,1229,23.19,4,0.08,6,0.11,1,0.02,54,1.02,1,0.02,1,0.02,-,-,9,0.82,-,-,2,0.4,-,-,-,-,1,0.2
Shizuoka,3641,26.19,171,1.92,100,1.12,94,1.06,4164,46.79,47,0.53,11,0.12,6,0.07,123,1.38,4,0.04,24,0.27,-,-,16,0.73,2,0.2,1,0.1,2,0.2,-,-,-,-
Aichi,10811,55.44,100,0.55,94,0.52,502,2.76,6987,38.39,76,0.42,32,0.18,8,0.04,180,0.99,2,0.01,17,0.09,-,-,17,0.49,3,0.2,3,0.2,-,-,-,-,-,-
Mie,3664,51.61,10,0.23,53,1.2,61,1.39,1663,37.8,27,0.61,4,0.09,3,0.07,70,1.59,2,0.05,5,0.11,-,-,2,0.17,2,0.22,1,0.11,-,-,-,-,-,-
Shiga,3989,66.48,12,0.33,44,1.22,56,1.56,1433,39.81,28,0.78,15,0.42,2,0.06,33,0.92,2,0.06,4,0.11,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,15888,127.1,47,0.62,80,1.05,344,4.53,2712,35.68,67,0.88,70,0.92,8,0.11,76,1,38,0.5,8,0.11,1,0.06,11,0.61,-,-,1,0.14,1,0.14,-,-,-,-
Osaka,44121,148.06,193,0.99,172,0.89,508,2.62,7991,41.19,126,0.65,129,0.66,9,0.05,249,1.28,54,0.28,38,0.2,6,0.12,50,0.96,-,-,2,0.13,-,-,-,-,2,0.13
Hyogo,16985,85.35,128,0.99,133,1.03,219,1.7,7107,55.09,67,0.52,184,1.43,10,0.08,168,1.3,29,0.22,21,0.16,2,0.06,58,1.66,3,0.21,2,0.14,-,-,-,-,-,-
Nara,5101,92.75,42,1.24,39,1.15,63,1.85,1207,35.5,14,0.41,56,1.65,3,0.09,55,1.62,6,0.18,2,0.06,-,-,17,1.7,3,0.5,3,0.5,1,0.17,1,0.17,-,-
Wakayama,3318,67.71,48,1.6,18,0.6,46,1.53,940,31.33,15,0.5,26,0.87,-,-,31,1.03,1,0.03,5,0.17,1,0.25,-,-,2,0.18,2,0.18,1,0.09,-,-,-,-
Tottori,687,23.69,7,0.37,15,0.79,152,8,830,43.68,5,0.26,7,0.37,2,0.11,36,1.89,3,0.16,1,0.05,-,-,2,0.4,-,-,-,-,-,-,-,-,-,-
Shimane,1347,35.45,2,0.09,24,1.04,30,1.3,1123,48.83,17,0.74,52,2.26,1,0.04,61,2.65,4,0.17,3,0.13,-,-,5,1.67,1,0.13,-,-,-,-,-,-,-,-
Okayama,3870,46.07,130,2.41,72,1.33,65,1.2,2745,50.83,27,0.5,36,0.67,3,0.06,80,1.48,11,0.2,11,0.2,3,0.25,16,1.33,2,0.4,3,0.6,-,-,-,-,-,-
Hiroshima,5734,50.3,108,1.52,72,1.01,150,2.11,4291,60.44,26,0.37,19,0.27,2,0.03,102,1.44,13,0.18,5,0.07,3,0.16,39,2.05,-,-,-,-,1,0.05,-,-,1,0.05
Yamaguchi,2145,33,86,1.91,48,1.07,117,2.6,2392,53.16,15,0.33,21,0.47,2,0.04,93,2.07,21,0.47,7,0.16,-,-,24,2.67,-,-,-,-,2,0.22,-,-,-,-
Tokushima,1466,39.62,51,2.22,10,0.43,6,0.26,1047,45.52,12,0.52,38,1.65,1,0.04,47,2.04,5,0.22,5,0.22,1,0.25,2,0.5,1,0.14,2,0.29,-,-,-,-,-,-
Kagawa,3713,79,64,2.29,28,1,13,0.46,2312,82.57,9,0.32,3,0.11,-,-,50,1.79,2,0.07,4,0.14,-,-,1,0.2,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,3494,57.28,90,2.43,18,0.49,130,3.51,2683,72.51,10,0.27,24,0.65,-,-,105,2.84,5,0.14,10,0.27,-,-,23,2.88,-,-,-,-,2,0.33,-,-,-,-
Kochi,2758,61.29,84,3.11,8,0.3,47,1.74,1219,45.15,10,0.37,45,1.67,4,0.15,48,1.78,-,-,1,0.04,-,-,2,0.67,1,0.13,-,-,2,0.25,-,-,4,0.5
Fukuoka,27294,137.85,345,2.88,157,1.31,898,7.48,5067,42.23,83,0.69,214,1.78,3,0.03,281,2.34,221,1.84,20,0.17,-,-,27,1.04,2,0.13,1,0.07,-,-,-,-,1,0.07
Saga,4360,111.79,104,4.52,35,1.52,39,1.7,460,20,4,0.17,50,2.17,1,0.04,64,2.78,55,2.39,4,0.17,-,-,2,0.5,1,0.17,1,0.17,-,-,-,-,1,0.17
Nagasaki,6742,96.31,245,5.57,34,0.77,613,13.93,1428,32.45,36,0.82,85,1.93,5,0.11,70,1.59,31,0.7,15,0.34,6,0.75,18,2.25,-,-,-,-,1,0.08,-,-,-,-
Kumamoto,5028,62.85,370,7.4,49,0.98,52,1.04,2221,44.42,28,0.56,71,1.42,-,-,146,2.92,162,3.24,14,0.28,-,-,27,3,2,0.13,2,0.13,-,-,-,-,-,-
Oita,5056,87.17,12,0.33,40,1.11,70,1.94,2686,74.61,16,0.44,10,0.28,4,0.11,94,2.61,42,1.17,16,0.44,-,-,15,3,-,-,1,0.09,2,0.18,-,-,-,-
Miyazaki,7249,127.18,66,1.89,87,2.49,79,2.26,2824,80.69,18,0.51,27,0.77,1,0.03,96,2.74,64,1.83,15,0.43,-,-,23,3.83,-,-,1,0.14,-,-,-,-,-,-
Kagoshima,5415,59.51,224,4.15,141,2.61,89,1.65,2879,53.31,24,0.44,115,2.13,7,0.13,107,1.98,57,1.06,15,0.28,2,0.29,12,1.71,-,-,-,-,-,-,-,-,-,-
Okinawa,12699,230.89,58,1.81,38,1.19,158,4.94,352,11,24,0.75,245,7.66,3,0.09,37,1.16,10,0.31,4,0.13,6,0.67,46,5.11,1,0.14,1,0.14,-,-,1,0.14,-,-
