"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11th week, 2023",,,,,,"Data collected as of March 22, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Okayama,7255,86.37,202,3.74,108,2,95,1.76,3713,68.76,36,0.67,61,1.13,5,0.09,109,2.02,16,0.3,20,0.37,3,0.25,30,2.5,2,0.4,5,1,1,0.2,-,-,3,0.6
Hiroshima,9927,87.08,142,2,155,2.18,259,3.65,6037,85.03,38,0.54,26,0.37,4,0.06,151,2.13,29,0.41,15,0.21,6,0.32,64,3.37,-,-,-,-,1,0.05,-,-,1,0.05
Yamaguchi,4451,68.48,131,2.91,51,1.13,194,4.31,3847,85.49,24,0.53,23,0.51,5,0.11,148,3.29,43,0.96,12,0.27,-,-,31,3.44,-,-,1,0.11,2,0.22,-,-,-,-
Tokushima,2622,70.86,62,2.7,21,0.91,11,0.48,1646,71.57,18,0.78,38,1.65,2,0.09,73,3.17,5,0.22,6,0.26,1,0.25,2,0.5,1,0.14,2,0.29,-,-,-,-,-,-
Kagawa,6054,128.81,88,3.14,58,2.07,19,0.68,3050,108.93,13,0.46,3,0.11,-,-,88,3.14,7,0.25,7,0.25,-,-,3,0.6,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,5362,87.9,140,3.78,38,1.03,197,5.32,4534,122.54,17,0.46,26,0.7,1,0.03,166,4.49,7,0.19,16,0.43,-,-,34,4.25,-,-,-,-,2,0.33,-,-,-,-
Kochi,3918,87.07,115,4.26,12,0.44,87,3.22,1808,66.96,14,0.52,66,2.44,5,0.19,67,2.48,5,0.19,1,0.04,-,-,2,0.67,1,0.13,-,-,4,0.5,-,-,6,0.75
Fukuoka,38141,192.63,626,5.22,274,2.28,1686,14.05,8134,67.78,134,1.12,285,2.38,9,0.08,449,3.74,324,2.7,36,0.3,-,-,38,1.46,6,0.4,1,0.07,1,0.07,-,-,1,0.07
Saga,6528,167.38,234,10.17,67,2.91,77,3.35,830,36.09,8,0.35,69,3,1,0.04,122,5.3,104,4.52,6,0.26,-,-,3,0.75,3,0.5,1,0.17,-,-,-,-,3,0.5
Nagasaki,9826,140.37,353,8.02,78,1.77,939,21.34,2023,45.98,46,1.05,99,2.25,5,0.11,113,2.57,47,1.07,22,0.5,10,1.25,25,3.13,1,0.08,-,-,1,0.08,-,-,-,-
Kumamoto,7454,93.18,566,11.32,114,2.28,115,2.3,3354,67.08,39,0.78,80,1.6,-,-,231,4.62,308,6.16,18,0.36,-,-,31,3.44,2,0.13,3,0.2,1,0.07,-,-,-,-
Oita,8521,146.91,15,0.42,70,1.94,115,3.19,4520,125.56,28,0.78,14,0.39,8,0.22,144,4,61,1.69,21,0.58,-,-,23,4.6,1,0.09,1,0.09,3,0.27,-,-,-,-
Miyazaki,9342,163.89,134,3.83,145,4.14,153,4.37,4289,122.54,32,0.91,30,0.86,2,0.06,148,4.23,122,3.49,20,0.57,3,0.5,43,7.17,1,0.14,1,0.14,-,-,-,-,-,-
Kagoshima,6896,75.78,467,8.65,222,4.11,182,3.37,4956,91.78,36,0.67,131,2.43,11,0.2,168,3.11,81,1.5,26,0.48,2,0.29,27,3.86,-,-,-,-,-,-,-,-,-,-
Okinawa,14960,272,76,2.38,61,1.91,324,10.13,603,18.84,34,1.06,584,18.25,5,0.16,59,1.84,14,0.44,11,0.34,9,1,62,6.89,5,0.71,3,0.43,1,0.14,1,0.14,-,-
