Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2026-01-01,2026/01/01,2026 January,Novel Influenza,人感染新亚型流感,3,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D016,Novel Influenza,人感染新亚型流感
2026-01-01,2026/01/01,2026 January,Measles,麻疹,138,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D017,Measles,麻疹
2026-01-01,2026/01/01,2026 January,Hemorrhagic Fever,流行性出血热,336,6,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D018,Hemorrhagic Fever,流行性出血热
2026-01-01,2026/01/01,2026 January,Rabies,狂犬病,31,33,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D019,Rabies,狂犬病
2026-01-01,2026/01/01,2026 January,Japanese Encephalitis,流行性乙型脑炎,0,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D020,Japanese Encephalitis,流行性乙型脑炎
2026-01-01,2026/01/01,2026 January,Dengue,登革热,93,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D021,Dengue,登革热
2026-01-01,2026/01/01,2026 January,Monkeypox,猴痘,28,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D065,Monkeypox,猴痘
2026-01-01,2026/01/01,2026 January,Anthrax,炭疽,12,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D023,Anthrax,炭疽
2026-01-01,2026/01/01,2026 January,Dysentery,细菌性和阿米巴性痢疾,1481,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D024,Dysentery,细菌性和阿米巴性痢疾
2026-01-01,2026/01/01,2026 January,Tuberculosis,肺结核,52889,164,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D025,Tuberculosis,肺结核
2026-01-01,2026/01/01,2026 January,Typhoid and Paratyphoid fever,伤寒和副伤寒,252,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2026-01-01,2026/01/01,2026 January,Meningococcal Meningitis,流行性脑脊髓膜炎,23,2,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2026-01-01,2026/01/01,2026 January,Pertussis,百日咳,971,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D028,Pertussis,百日咳
2026-01-01,2026/01/01,2026 January,Diphtheria,白喉,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D029,Diphtheria,白喉
2026-01-01,2026/01/01,2026 January,Neonatal Tetanus,新生儿破伤风,1,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D030,Neonatal Tetanus,新生儿破伤风
2026-01-01,2026/01/01,2026 January,Scarlet fever,猩红热,2935,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D031,Scarlet fever,猩红热
2026-01-01,2026/01/01,2026 January,Brucellosis,布鲁氏菌病,3766,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D032,Brucellosis,布鲁氏菌病
2026-01-01,2026/01/01,2026 January,Gonorrhea,淋病,10415,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D033,Gonorrhea,淋病
2026-01-01,2026/01/01,2026 January,Syphilis,梅毒,55170,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D034,Syphilis,梅毒
2026-01-01,2026/01/01,2026 January,Leptospirosis,钩端螺旋体病,11,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D035,Leptospirosis,钩端螺旋体病
2026-01-01,2026/01/01,2026 January,Schistosomiasis,血吸虫病,1,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D036,Schistosomiasis,血吸虫病
2026-01-01,2026/01/01,2026 January,Malaria,疟疾,383,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D037,Malaria,疟疾
2026-01-01,2026/01/01,2026 January,Influenza,流行性感冒,1361570,3,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D038,Influenza,流行性感冒
2026-01-01,2026/01/01,2026 January,Mumps,流行性腮腺炎,4842,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D039,Mumps,流行性腮腺炎
2026-01-01,2026/01/01,2026 January,Rubella,风疹,30,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D040,Rubella,风疹
2026-01-01,2026/01/01,2026 January,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,1634,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2026-01-01,2026/01/01,2026 January,Leprosy,麻风病,24,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D042,Leprosy,麻风病
2026-01-01,2026/01/01,2026 January,Typhus,流行性和地方性斑疹伤寒,51,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D043,Typhus,流行性和地方性斑疹伤寒
2026-01-01,2026/01/01,2026 January,Kala-azar,黑热病,39,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D044,Kala-azar,黑热病
2026-01-01,2026/01/01,2026 January,Echinococcosis,包虫病,451,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D045,Echinococcosis,包虫病
2026-01-01,2026/01/01,2026 January,Filariasis,丝虫病,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D046,Filariasis,丝虫病
2026-01-01,2026/01/01,2026 January,Hand-Foot-Mouth Disease,手足口病,66264,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D048,Hand-Foot-Mouth Disease,手足口病
2026-01-01,2026/01/01,2026 January,Infectious Diarrhea,其他感染性腹泻病,185768,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D047,Infectious Diarrhea,其他感染性腹泻病
2026-01-01,2026/01/01,2026 January,MERS,中东呼吸综合征,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D049,MERS,中东呼吸综合征
2026-01-01,2026/01/01,2026 January,Ebola,埃博拉出血热,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D050,Ebola,埃博拉出血热
2026-01-01,2026/01/01,2026 January,Zika,寨卡病毒病,0,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D051,Zika,寨卡病毒病
2026-01-01,2026/01/01,2026 January,Chikungunya,基孔肯雅热,4,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D052,Chikungunya,基孔肯雅热
2026-01-01,2026/01/01,2026 January,Lassa,拉沙热,1,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D053,Lassa,拉沙热
2026-01-01,2026/01/01,2026 January,Varicella,水痘,58927,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D054,Varicella,水痘
2026-01-01,2026/01/01,2026 January,Clonorchiasis,肝吸虫病,9408,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D055,Clonorchiasis,肝吸虫病
2026-01-01,2026/01/01,2026 January,Streptococcus suis,人感染猪链球菌病,25,1,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D056,Streptococcus suis,人感染猪链球菌病
2026-01-01,2026/01/01,2026 January,SFTS,发热伴血小板减少综合征,1,0,-10,-10,全国,China,100000,,https://www.ndcpa.gov.cn/jbkzzx/c100016/common/content/content_2020779043559215104.html,National Disease Control and Prevention Administration,D057,SFTS,发热伴血小板减少综合征
