"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2025",,,,,,"Data collected as of April 2, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
Chiba,407,2.01,74,0.59,11,0.09,323,2.56,1114,8.84,32,0.25,2,0.02,180,1.43,22,0.17,1,0.01,11,0.09,-,-,27,0.77,3,0.33,-,-,4,0.44,-,-,1,0.11,774,3.83
Tokyo,798,1.91,125,0.48,25,0.1,589,2.24,2070,7.87,152,0.58,14,0.05,214,0.81,56,0.21,2,0.01,19,0.07,1,0.03,18,0.46,2,0.08,-,-,5,0.2,-,-,12,0.48,805,1.93
Kanagawa,625,1.74,114,0.5,22,0.1,308,1.36,1624,7.15,95,0.42,8,0.04,198,0.87,54,0.24,2,0.01,12,0.05,4,0.08,57,1.1,2,0.18,-,-,2,0.18,-,-,1,0.09,850,2.37
Niigata,295,3.43,77,1.4,16,0.29,170,3.09,274,4.98,25,0.45,2,0.04,63,1.15,9,0.16,1,0.02,1,0.02,-,-,10,1,1,0.08,-,-,4,0.31,-,-,-,-,380,4.42
Toyama,188,3.92,29,1,13,0.45,134,4.62,354,12.21,7,0.24,1,0.03,50,1.72,3,0.1,-,-,1,0.03,2,0.29,-,-,-,-,-,-,6,1.2,-,-,-,-,167,3.48
Ishikawa,97,2.02,19,0.66,8,0.28,77,2.66,319,11,9,0.31,1,0.03,47,1.62,8,0.28,-,-,-,-,2,0.29,9,1.29,-,-,-,-,1,0.2,-,-,-,-,207,4.31
Fukui,70,1.79,46,1.84,16,0.64,49,1.96,313,12.52,7,0.28,1,0.04,13,0.52,3,0.12,-,-,1,0.04,-,-,-,-,-,-,-,-,7,1.17,-,-,3,0.5,106,2.72
Yamanashi,74,1.8,6,0.25,4,0.17,15,0.63,261,10.88,2,0.08,-,-,12,0.5,8,0.33,-,-,-,-,-,-,28,3.11,-,-,-,-,1,0.1,-,-,1,0.1,190,4.63
Nagano,352,4,49,0.91,8,0.15,60,1.11,342,6.33,5,0.09,1,0.02,68,1.26,11,0.2,2,0.04,2,0.04,-,-,18,1.8,-,-,-,-,8,0.67,-,-,1,0.08,421,4.78
Gifu,73,0.84,74,1.4,6,0.11,61,1.15,281,5.3,3,0.06,3,0.06,6,0.11,8,0.15,1,0.02,3,0.06,-,-,1,0.09,-,-,-,-,2,0.4,-,-,5,1,303,3.48
Shizuoka,197,1.42,66,0.74,20,0.22,62,0.7,560,6.29,2,0.02,-,-,83,0.93,18,0.2,-,-,4,0.04,1,0.05,13,0.59,1,0.1,1,0.1,1,0.1,-,-,-,-,502,3.61
Aichi,270,1.38,156,0.86,25,0.14,161,0.88,988,5.43,17,0.09,-,-,32,0.18,23,0.13,-,-,3,0.02,2,0.06,14,0.4,1,0.07,1,0.07,6,0.4,-,-,3,0.2,753,3.86
Mie,56,0.78,79,1.76,25,0.56,78,1.73,365,8.11,4,0.09,5,0.11,16,0.36,12,0.27,-,-,1,0.02,-,-,1,0.08,-,-,-,-,4,0.44,-,-,-,-,281,3.9
Shiga,124,2.07,28,0.78,4,0.11,38,1.06,177,4.92,13,0.36,-,-,22,0.61,6,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,2.73
Kyoto,154,1.24,50,0.67,26,0.35,93,1.24,522,6.96,13,0.17,6,0.08,61,0.81,10,0.13,-,-,2,0.03,-,-,3,0.17,-,-,-,-,-,-,-,-,-,-,324,2.61
Osaka,573,1.91,226,1.18,42,0.22,195,1.02,1533,7.98,43,0.22,16,0.08,73,0.38,38,0.2,3,0.02,2,0.01,3,0.06,9,0.17,-,-,1,0.06,5,0.28,1,0.06,10,0.56,623,2.08
Hyogo,407,2.07,156,1.23,24,0.19,107,0.84,1189,9.36,32,0.25,7,0.06,61,0.48,24,0.19,1,0.01,6,0.05,2,0.06,19,0.54,-,-,1,0.07,3,0.21,-,-,1,0.07,398,2.02
Nara,89,1.62,44,1.29,7,0.21,24,0.71,309,9.09,2,0.06,6,0.18,4,0.12,8,0.24,-,-,-,-,-,-,1,0.1,-,-,-,-,-,-,-,-,-,-,135,2.45
Wakayama,121,2.52,40,1.38,4,0.14,30,1.03,200,6.9,8,0.28,1,0.03,11,0.38,9,0.31,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136,2.83
Tottori,39,1.34,13,0.68,12,0.63,62,3.26,127,6.68,9,0.47,1,0.05,18,0.95,3,0.16,-,-,-,-,-,-,3,0.6,-,-,1,0.2,1,0.2,-,-,-,-,91,3.14
Shimane,23,0.61,21,0.91,6,0.26,17,0.74,214,9.3,6,0.26,1,0.04,34,1.48,11,0.48,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13,-,-,1,0.13,122,3.21
Okayama,158,1.88,51,0.94,13,0.24,46,0.85,415,7.69,2,0.04,1,0.02,5,0.09,14,0.26,-,-,3,0.06,-,-,9,0.75,-,-,-,-,-,-,-,-,-,-,227,2.7
Hiroshima,117,1,99,1.34,22,0.3,122,1.65,805,10.88,7,0.09,4,0.05,17,0.23,7,0.09,1,0.01,1,0.01,-,-,24,1.26,-,-,1,0.05,7,0.35,-,-,11,0.55,288,2.46
Yamaguchi,28,0.42,115,2.67,8,0.19,96,2.23,484,11.26,9,0.21,2,0.05,16,0.37,12,0.28,-,-,1,0.02,-,-,2,0.22,-,-,-,-,6,0.67,-,-,5,0.56,124,1.85
Tokushima,41,1.11,41,1.78,5,0.22,9,0.39,147,6.39,1,0.04,-,-,3,0.13,4,0.17,-,-,-,-,-,-,-,-,-,-,-,-,2,0.29,-,-,3,0.43,144,3.89
Kagawa,113,2.4,30,1.07,6,0.21,25,0.89,358,12.79,3,0.11,-,-,-,-,1,0.04,1,0.04,1,0.04,1,0.2,5,1,-,-,-,-,1,0.2,-,-,1,0.2,101,2.15
Ehime,98,1.66,76,2.17,12,0.34,104,2.97,588,16.8,-,-,-,-,10,0.29,7,0.2,-,-,-,-,-,-,20,2.5,-,-,-,-,1,0.17,-,-,3,0.5,188,3.19
Kochi,18,0.41,33,1.32,6,0.24,67,2.68,129,5.16,3,0.12,1,0.04,12,0.48,6,0.24,-,-,-,-,-,-,-,-,-,-,1,0.13,1,0.13,-,-,2,0.25,146,3.32
Fukuoka,294,1.49,230,1.93,47,0.39,349,2.93,1171,9.84,31,0.26,3,0.03,81,0.68,25,0.21,-,-,2,0.02,2,0.08,5,0.19,-,-,1,0.07,3,0.2,-,-,4,0.27,368,1.87
Saga,55,1.41,40,1.74,6,0.26,45,1.96,156,6.78,5,0.22,1,0.04,13,0.57,5,0.22,3,0.13,1,0.04,-,-,-,-,-,-,-,-,4,0.67,-,-,4,0.67,102,2.62
Nagasaki,95,1.38,77,1.79,18,0.42,95,2.21,305,7.09,7,0.16,-,-,9,0.21,18,0.42,1,0.02,2,0.05,1,0.13,12,1.5,-,-,-,-,3,0.25,-,-,5,0.42,143,2.07
Kumamoto,111,1.39,85,1.7,13,0.26,68,1.36,499,9.98,11,0.22,3,0.06,16,0.32,16,0.32,2,0.04,3,0.06,-,-,9,1,-,-,-,-,4,0.27,-,-,3,0.2,233,2.91
Oita,82,1.41,83,2.31,12,0.33,112,3.11,585,16.25,5,0.14,2,0.06,20,0.56,18,0.5,1,0.03,-,-,-,-,8,1.6,-,-,-,-,2,0.18,-,-,5,0.45,164,2.83
Miyazaki,69,1.19,59,1.64,13,0.36,61,1.69,560,15.56,6,0.17,5,0.14,20,0.56,15,0.42,1,0.03,1,0.03,-,-,2,0.33,-,-,-,-,1,0.14,-,-,5,0.71,117,2.02
Kagoshima,86,0.98,118,2.36,20,0.4,112,2.24,595,11.9,10,0.2,2,0.04,18,0.36,9,0.18,-,-,2,0.04,-,-,10,1.43,-,-,-,-,1,0.08,-,-,-,-,123,1.4
Okinawa,215,3.84,22,0.69,4,0.13,59,1.84,92,2.88,34,1.06,3,0.09,26,0.81,6,0.19,-,-,-,-,-,-,62,6.89,-,-,-,-,3,0.43,-,-,-,-,79,1.41
