"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2025",,,,,,"Data collected as of April 2, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Varicella,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),,COVID-19,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,6704,115.59,380,10.86,67,1.91,576,16.46,2301,65.74,110,3.14,9,0.26,135,3.86,58,1.66,1,0.03,17,0.49,1,0.11,4,0.44,-,-,1,0.14,19,2.71,-,-,-,-,3401,58.64
Kyoto,13147,106.89,667,9.01,506,6.84,1401,18.93,5632,76.11,129,1.74,46,0.62,559,7.55,117,1.58,3,0.04,23,0.31,1,0.06,61,3.59,-,-,-,-,59,8.43,2,0.29,-,-,5927,48.19
Osaka,26573,90.38,3509,18.66,565,3.01,2804,14.91,19169,101.96,418,2.22,182,0.97,476,2.53,416,2.21,25,0.13,71,0.38,26,0.52,152,3.04,4,0.24,11,0.65,85,5,6,0.35,90,5.29,11809,40.17
Hyogo,19970,102.41,2633,20.9,477,3.79,1993,15.82,13898,110.3,240,1.9,117,0.93,463,3.67,273,2.17,10,0.08,54,0.43,30,0.88,296,8.71,3,0.21,11,0.79,180,12.86,-,-,23,1.64,9237,47.37
Nara,5568,107.08,775,24.22,91,2.84,444,13.88,3379,105.59,62,1.94,52,1.63,96,3,85,2.66,2,0.06,4,0.13,-,-,40,4.44,5,0.83,2,0.33,36,6,-,-,12,2,3364,64.69
Wakayama,6194,131.79,533,19.04,66,2.36,352,12.57,2481,88.61,95,3.39,18,0.64,72,2.57,82,2.93,-,-,9,0.32,7,2.33,12,4,2,0.18,1,0.09,42,3.82,-,-,11,1,2770,58.94
Tottori,3485,120.17,104,5.47,70,3.68,858,45.16,1318,69.37,42,2.21,14,0.74,126,6.63,35,1.84,2,0.11,1,0.05,1,0.2,8,1.6,2,0.4,6,1.2,38,7.6,-,-,2,0.4,2219,76.52
Shimane,4348,114.42,176,7.65,98,4.26,454,19.74,2422,105.3,59,2.57,23,1,186,8.09,92,4,5,0.22,2,0.09,-,-,-,-,2,0.25,-,-,48,6,-,-,1,0.13,2475,65.13
Okayama,9624,114.57,408,7.56,142,2.63,685,12.69,5101,94.46,52,0.96,34,0.63,37,0.69,123,2.28,10,0.19,43,0.8,3,0.25,92,7.67,3,0.6,1,0.2,37,7.4,-,-,5,1,5221,62.15
Hiroshima,12014,105.39,1068,14.83,336,4.67,1857,25.79,9112,126.56,101,1.4,60,0.83,104,1.44,129,1.79,7,0.1,19,0.26,7,0.39,324,18,3,0.15,4,0.2,203,10.15,-,-,57,2.85,6777,59.45
