"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18th week, 2023",,,,,,"Data collected as of May 11, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shiga,93,1.63,38,1.12,3,0.09,11,0.32,91,2.68,5,0.15,-,-,-,-,5,0.15,1,0.03,-,-,-,-,-,-,1,0.14,-,-,1,0.14,-,-,-,-
Kyoto,41,0.33,105,1.38,18,0.24,67,0.88,197,2.59,8,0.11,8,0.11,1,0.01,13,0.17,2,0.03,1,0.01,-,-,2,0.11,-,-,-,-,-,-,-,-,-,-
Osaka,155,0.53,603,3.14,63,0.33,153,0.8,748,3.9,17,0.09,33,0.17,3,0.02,35,0.18,36,0.19,6,0.03,-,-,12,0.24,2,0.13,1,0.06,-,-,-,-,-,-
Hyogo,247,1.25,196,1.54,30,0.24,54,0.43,620,4.88,9,0.07,24,0.19,-,-,30,0.24,67,0.53,3,0.02,-,-,4,0.11,2,0.14,1,0.07,2,0.14,-,-,-,-
Nara,32,0.58,69,2.03,7,0.21,4,0.12,120,3.53,-,-,7,0.21,-,-,8,0.24,7,0.21,1,0.03,1,0.1,1,0.1,-,-,-,-,-,-,-,-,-,-
Wakayama,9,0.18,151,5.03,9,0.3,20,0.67,82,2.73,2,0.07,1,0.03,-,-,10,0.33,-,-,-,-,-,-,1,0.25,-,-,-,-,1,0.09,-,-,1,0.09
Tottori,59,2.03,1,0.05,8,0.42,33,1.74,123,6.47,-,-,5,0.26,-,-,-,-,2,0.11,-,-,-,-,1,0.2,-,-,-,-,-,-,-,-,-,-
Shimane,89,2.34,6,0.26,2,0.09,5,0.22,94,4.09,3,0.13,4,0.17,-,-,10,0.43,2,0.09,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-
Okayama,145,1.73,17,0.31,10,0.19,14,0.26,246,4.56,8,0.15,18,0.33,-,-,20,0.37,5,0.09,-,-,-,-,2,0.17,-,-,2,0.4,-,-,-,-,-,-
Hiroshima,312,2.76,63,0.88,21,0.29,45,0.63,220,3.06,2,0.03,3,0.04,-,-,11,0.15,25,0.35,-,-,-,-,8,0.42,-,-,-,-,-,-,-,-,1,0.05
Yamaguchi,101,1.51,72,1.67,7,0.16,66,1.53,140,3.26,3,0.07,1,0.02,1,0.02,10,0.23,25,0.58,1,0.02,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
Tokushima,36,0.97,10,0.43,2,0.09,3,0.13,73,3.17,3,0.13,-,-,-,-,7,0.3,1,0.04,1,0.04,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-
Kagawa,22,0.47,23,0.82,13,0.46,3,0.11,153,5.46,5,0.18,1,0.04,-,-,10,0.36,16,0.57,-,-,-,-,1,0.2,-,-,-,-,-,-,-,-,-,-
Ehime,63,1.03,61,1.65,9,0.24,15,0.41,151,4.08,1,0.03,1,0.03,-,-,22,0.59,-,-,1,0.03,-,-,3,0.38,-,-,-,-,-,-,-,-,-,-
Kochi,52,1.16,7,0.26,6,0.22,5,0.19,54,2,5,0.19,4,0.15,1,0.04,7,0.26,45,1.67,-,-,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Fukuoka,322,1.63,157,1.31,48,0.4,204,1.7,432,3.6,9,0.08,39,0.33,2,0.02,40,0.33,106,0.88,6,0.05,-,-,10,0.38,-,-,-,-,-,-,-,-,-,-
Saga,63,1.62,25,1.09,13,0.57,5,0.22,31,1.35,-,-,1,0.04,-,-,5,0.22,48,2.09,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-
Nagasaki,68,0.97,59,1.34,6,0.14,62,1.41,89,2.02,2,0.05,11,0.25,-,-,15,0.34,94,2.14,1,0.02,-,-,2,0.25,-,-,-,-,1,0.08,-,-,-,-
Kumamoto,147,1.84,30,0.6,18,0.36,12,0.24,167,3.34,2,0.04,4,0.08,2,0.04,21,0.42,70,1.4,3,0.06,-,-,2,0.2,-,-,1,0.07,-,-,-,-,-,-
Oita,46,0.79,58,1.61,17,0.47,32,0.89,358,9.94,7,0.19,8,0.22,-,-,13,0.36,13,0.36,-,-,-,-,4,0.8,-,-,-,-,-,-,-,-,-,-
Miyazaki,115,1.98,60,1.67,9,0.25,21,0.58,218,6.06,3,0.08,29,0.81,-,-,17,0.47,88,2.44,4,0.11,-,-,5,0.83,-,-,-,-,-,-,-,-,-,-
Kagoshima,143,1.59,131,2.47,36,0.68,29,0.55,238,4.49,3,0.06,10,0.19,1,0.02,15,0.28,42,0.79,7,0.13,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Okinawa,39,0.72,29,0.94,6,0.19,38,1.23,108,3.48,4,0.13,98,3.16,-,-,8,0.26,11,0.35,-,-,-,-,3,0.38,-,-,-,-,1,0.14,-,-,-,-
