,Disease,DiseaseCode,Year,Month,ISOWeek,Date,PeriodType,PeriodValue,Cases,Geography,Group,DataComplete,Trend,SourceDate,Version,Source,SourceURL
68,Measles,measles,2025,1,,2025-01-01,month,202501,14,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/measles/cases/value/month
69,Meningococcal disease,meningo,2025,1,,2025-01-01,year,2025,40,CH,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/meningo/cases/value/year
70,Mpox,monkeypox,2025,1,,2025-01-01,year,2025,68,CH,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/monkeypox/cases/value/year
71,Q fever,qFever,2025,1,,2025-01-01,month,202501,10,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/qFever/cases/value/month
72,Rubella,rubella,2025,1,,2025-01-01,year,2025,0,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/rubella/cases/value/year
73,SARS-CoV-2 (Covid-19),covid19,2025,1,,2025-01-01,month,202501,1442,CHFL,,TRUE,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/covid19/cases/value/month
74,Salmonellosis,salmonellosis,2025,1,,2025-01-01,month,202501,147,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/salmonellosis/cases/value/month
75,Shigellosis,shigellosis,2025,1,,2025-01-01,month,202501,24,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/shigellosis/cases/value/month
76,Syphilis,syphilis,2025,1,,2025-01-01,month,202501,116,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/syphilis/cases/value/month
77,Tetanus,tetanus,2025,1,,2025-01-01,year,2025,0,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tetanus/cases/value/year
78,Tick-borne encephalitis (TBE),tick-borne_encephalitis,2025,1,,2025-01-01,month,202501,2,CHFL,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tick-borne_encephalitis/cases/value/month
79,Trichinellosis,trichinellosis,2025,1,,2025-01-01,year,2025,1,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/trichinellosis/cases/value/year
80,Tuberculosis,tuberculosis,2025,1,,2025-01-01,month,202501,32,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tuberculosis/cases/value/month
81,Tularaemia,tularemia,2025,1,,2025-01-01,month,202501,2,CHFL,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/tularemia/cases/value/month
82,Typhoid and paratyphoid fever,typhoidParatyphoidFever,2025,1,,2025-01-01,year,2025,24,CH,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/typhoidParatyphoidFever/cases/value/year
83,West Nile fever,westnileFever,2025,1,,2025-01-01,year,2025,1,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/westnileFever/cases/value/year
84,Yellow fever,yellowFever,2025,1,,2025-01-01,year,2025,0,CH,,,falling,2026-06-02,20260603,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/yellowFever/cases/value/year
85,Zika virus infection,zika,2025,1,,2025-01-01,year,2025,2,CH,,,,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/zika/cases/value/year
86,Campylobacteriosis,campylobacteriosis,2025,12,,2025-12-01,month,202512,679,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/campylobacteriosis/cases/value/month
87,Chikungunya,chikungunya,2025,12,,2025-12-01,month,202512,7,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chikungunya/cases/value/month
88,Chlamydia,chlamydiosis,2025,12,,2025-12-01,month,202512,927,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/chlamydiosis/cases/value/month
89,Dengue fever,dengueFever,2025,12,,2025-12-01,month,202512,10,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/dengueFever/cases/value/month
90,EHEC,ehec,2025,12,,2025-12-01,month,202512,97,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ehec/cases/value/month
91,Gonorrhoea,gonorrhea,2025,12,,2025-12-01,month,202512,588,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/gonorrhea/cases/value/month
92,Haemophilus influenzae disease,haemophilusInfluenzae,2025,12,,2025-12-01,month,202512,16,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/haemophilusInfluenzae/cases/value/month
93,Hepatitis A,hepatitis_a,2025,12,,2025-12-01,month,202512,10,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_a/cases/value/month
94,Hepatitis B,hepatitis_b,2025,12,,2025-12-01,month,202512,106,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_b/cases/value/month
95,Hepatitis C,hepatitis_c,2025,12,,2025-12-01,month,202512,72,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_c/cases/value/month
96,Hepatitis E,hepatitis_e,2025,12,,2025-12-01,month,202512,9,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hepatitis_e/cases/value/month
97,Human Immunodeficiency Virus (HIV),hiv,2025,12,,2025-12-01,month,202512,29,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/hiv/cases/value/month
98,Influenza (Seasonal flu),influenza,2025,12,,2025-12-01,month,202512,9999,CHFL,,TRUE,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/influenza/cases/value/month
99,Invasive pneumococcal disease,ipd,2025,12,,2025-12-01,month,202512,178,CHFL,,,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/ipd/cases/value/month
100,Legionellosis,legionellosis,2025,12,,2025-12-01,month,202512,34,CHFL,,,falling,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/legionellosis/cases/value/month
101,Listeriosis,listeriosis,2025,12,,2025-12-01,month,202512,10,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/listeriosis/cases/value/month
102,Lyme disease,lyme_borreliosis,2025,12,,2025-12-01,month,202512,421,CH,,TRUE,falling,2026-06-16,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/lyme_borreliosis/cases/value/month
103,Malaria,malaria,2025,12,,2025-12-01,month,202512,25,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/malaria/cases/value/month
104,Measles,measles,2025,12,,2025-12-01,month,202512,0,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/measles/cases/value/month
105,Q fever,qFever,2025,12,,2025-12-01,month,202512,3,CHFL,,,stagnant,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/qFever/cases/value/month
106,SARS-CoV-2 (Covid-19),covid19,2025,12,,2025-12-01,month,202512,2605,CHFL,,TRUE,rising,2026-06-23,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/covid19/cases/value/month
107,Salmonellosis,salmonellosis,2025,12,,2025-12-01,month,202512,119,CHFL,,TRUE,falling,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/salmonellosis/cases/value/month
108,Shigellosis,shigellosis,2025,12,,2025-12-01,month,202512,14,CHFL,,TRUE,stagnant,2026-06-09,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/shigellosis/cases/value/month
109,Syphilis,syphilis,2025,12,,2025-12-01,month,202512,104,CHFL,,TRUE,,2026-06-02,20260624,Switzerland FOPH IDD Mandatory Reporting System,https://www.idd.bag.admin.ch/api/v1/data/syphilis/cases/value/month
