"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10th week, 2023",,,,,,"Data collected as of March 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Fukui,9281,250.84,63,2.74,105,4.57,128,5.57,1286,55.91,42,1.83,106,4.61,2,0.09,46,2,10,0.43,6,0.26,-,-,2,0.67,3,0.5,2,0.33,-,-,-,-,-,-
Yamanashi,1100,26.83,59,2.46,3,0.13,13,0.54,1850,77.08,2,0.08,1,0.04,1,0.04,59,2.46,1,0.04,8,0.33,-,-,28,3.11,1,0.1,-,-,-,-,-,-,3,0.3
Nagano,6423,73.83,154,2.91,37,0.7,111,2.09,4415,83.3,32,0.6,11,0.21,2,0.04,91,1.72,17,0.32,11,0.21,3,0.3,36,3.6,-,-,1,0.08,3,0.25,-,-,-,-
Gifu,3201,36.79,52,0.98,81,1.53,59,1.11,1915,36.13,5,0.09,12,0.23,2,0.04,77,1.45,2,0.04,1,0.02,-,-,17,1.55,-,-,3,0.6,-,-,-,-,1,0.2
Shizuoka,5466,39.32,248,2.79,153,1.72,167,1.88,5858,65.82,61,0.69,15,0.17,8,0.09,170,1.91,4,0.04,39,0.44,-,-,26,1.18,6,0.6,2,0.2,2,0.2,-,-,-,-
Aichi,16146,82.8,144,0.79,177,0.97,695,3.82,10312,56.66,102,0.56,39,0.21,14,0.08,257,1.41,8,0.04,25,0.14,-,-,26,0.74,4,0.27,4,0.27,-,-,-,-,1,0.07
Mie,5398,76.03,19,0.43,104,2.36,75,1.7,2346,53.32,35,0.8,10,0.23,4,0.09,99,2.25,2,0.05,9,0.2,-,-,5,0.42,2,0.22,2,0.22,1,0.11,-,-,-,-
Shiga,6653,110.88,18,0.5,61,1.69,102,2.83,1949,54.14,37,1.03,17,0.47,2,0.06,44,1.22,3,0.08,5,0.14,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,21572,173.97,97,1.29,115,1.53,521,6.95,3790,50.53,82,1.09,76,1.01,11,0.15,113,1.51,42,0.56,9,0.12,1,0.06,11,0.61,-,-,1,0.14,2,0.29,-,-,-,-
Osaka,54206,182.51,409,2.11,230,1.19,767,3.95,11415,58.84,136,0.7,148,0.76,17,0.09,342,1.76,65,0.34,62,0.32,7,0.14,60,1.18,-,-,4,0.25,-,-,-,-,4,0.25
Hyogo,23025,115.7,234,1.81,183,1.42,337,2.61,10363,80.33,86,0.67,218,1.69,11,0.09,211,1.64,43,0.33,24,0.19,3,0.09,80,2.29,4,0.29,4,0.29,-,-,-,-,-,-
Nara,6927,125.95,75,2.21,55,1.62,88,2.59,1943,57.15,17,0.5,63,1.85,4,0.12,73,2.15,9,0.26,5,0.15,-,-,29,2.9,4,0.67,3,0.5,1,0.17,1,0.17,-,-
Wakayama,4594,93.76,63,2.1,22,0.73,81,2.7,1336,44.53,19,0.63,26,0.87,-,-,44,1.47,1,0.03,6,0.2,1,0.25,1,0.25,2,0.18,3,0.27,2,0.18,-,-,-,-
Tottori,1064,36.69,12,0.63,20,1.05,237,12.47,1310,68.95,8,0.42,9,0.47,2,0.11,51,2.68,6,0.32,1,0.05,-,-,2,0.4,1,0.2,-,-,-,-,-,-,3,0.6
Shimane,2194,57.74,8,0.35,33,1.43,42,1.83,1656,72,24,1.04,64,2.78,1,0.04,87,3.78,6,0.26,3,0.13,-,-,6,2,3,0.38,-,-,-,-,-,-,-,-
Okayama,6384,76,190,3.52,102,1.89,86,1.59,3497,64.76,34,0.63,54,1,4,0.07,104,1.93,16,0.3,17,0.31,3,0.25,26,2.17,2,0.4,5,1,-,-,-,-,3,0.6
Hiroshima,8813,77.31,127,1.79,128,1.8,242,3.41,5677,79.96,33,0.46,26,0.37,3,0.04,133,1.87,27,0.38,11,0.15,6,0.32,54,2.84,-,-,-,-,1,0.05,-,-,1,0.05
Yamaguchi,3835,59,115,2.56,46,1.02,161,3.58,3596,79.91,20,0.44,23,0.51,3,0.07,136,3.02,38,0.84,10,0.22,-,-,26,2.89,-,-,1,0.11,2,0.22,-,-,-,-
Tokushima,2395,64.73,60,2.61,19,0.83,8,0.35,1504,65.39,17,0.74,38,1.65,2,0.09,65,2.83,5,0.22,5,0.22,1,0.25,2,0.5,1,0.14,2,0.29,-,-,-,-,-,-
Kagawa,5575,118.62,83,2.96,53,1.89,17,0.61,2926,104.5,13,0.46,3,0.11,-,-,81,2.89,6,0.21,6,0.21,-,-,2,0.4,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,4946,81.08,130,3.51,34,0.92,181,4.89,4150,112.16,17,0.46,25,0.68,1,0.03,145,3.92,7,0.19,15,0.41,-,-,31,3.88,-,-,-,-,2,0.33,-,-,-,-
Kochi,3756,83.47,108,4,9,0.33,76,2.81,1704,63.11,11,0.41,60,2.22,5,0.19,60,2.22,3,0.11,1,0.04,-,-,2,0.67,1,0.13,-,-,4,0.5,-,-,6,0.75
Fukuoka,36171,182.68,540,4.5,242,2.02,1488,12.4,7370,61.42,126,1.05,277,2.31,9,0.08,406,3.38,292,2.43,31,0.26,-,-,36,1.38,6,0.4,1,0.07,-,-,-,-,1,0.07
Saga,6243,160.08,203,8.83,64,2.78,68,2.96,760,33.04,8,0.35,67,2.91,1,0.04,102,4.43,85,3.7,6,0.26,-,-,2,0.5,2,0.33,1,0.17,-,-,-,-,3,0.5
Nagasaki,9449,134.99,321,7.3,65,1.48,858,19.5,1901,43.2,42,0.95,94,2.14,5,0.11,99,2.25,41,0.93,21,0.48,10,1.25,25,3.13,1,0.08,-,-,1,0.08,-,-,-,-
Kumamoto,6900,86.25,507,10.14,104,2.08,113,2.26,3099,61.98,35,0.7,79,1.58,-,-,205,4.1,261,5.22,16,0.32,-,-,30,3.33,2,0.13,2,0.13,1,0.07,-,-,-,-
Oita,7876,135.79,13,0.36,56,1.56,99,2.75,4061,112.81,24,0.67,12,0.33,8,0.22,129,3.58,60,1.67,19,0.53,-,-,19,3.8,1,0.09,1,0.09,2,0.18,-,-,-,-
Miyazaki,9007,158.02,114,3.26,128,3.66,138,3.94,3981,113.74,30,0.86,27,0.77,2,0.06,132,3.77,105,3,19,0.54,-,-,40,6.67,1,0.14,1,0.14,-,-,-,-,-,-
Kagoshima,6564,72.13,400,7.41,201,3.72,158,2.93,4394,81.37,33,0.61,127,2.35,10,0.19,152,2.81,78,1.44,22,0.41,2,0.29,26,3.71,-,-,-,-,-,-,-,-,-,-
Okinawa,14464,262.98,68,2.13,56,1.75,274,8.56,528,16.5,32,1,487,15.22,3,0.09,57,1.78,12,0.38,11,0.34,9,1,59,6.56,5,0.71,2,0.29,1,0.14,1,0.14,-,-
