"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10th week, 2023",,,,,,"Data collected as of March 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Gifu,335,3.85,8,0.15,11,0.21,7,0.13,226,4.26,-,-,2,0.04,-,-,4,0.08,1,0.02,-,-,-,-,7,0.64,-,-,-,-,-,-,-,-,-,-
Shizuoka,829,5.96,34,0.38,16,0.18,37,0.42,503,5.65,3,0.03,2,0.02,1,0.01,16,0.18,-,-,6,0.07,-,-,3,0.14,1,0.1,-,-,-,-,-,-,-,-
Aichi,2179,11.17,24,0.13,36,0.2,50,0.27,1073,5.9,7,0.04,1,0.01,4,0.02,18,0.1,3,0.02,3,0.02,-,-,-,-,-,-,-,-,-,-,-,-,1,0.07
Mie,574,7.97,7,0.16,16,0.36,3,0.07,262,5.82,2,0.04,1,0.02,-,-,5,0.11,-,-,-,-,-,-,2,0.17,-,-,1,0.11,-,-,-,-,-,-
Shiga,951,15.85,2,0.06,3,0.08,13,0.36,165,4.58,2,0.06,-,-,-,-,2,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyoto,1566,12.63,23,0.31,5,0.07,63,0.84,415,5.53,5,0.07,1,0.01,1,0.01,14,0.19,1,0.01,1,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Osaka,2465,8.27,101,0.52,15,0.08,96,0.49,1167,5.98,6,0.03,4,0.02,4,0.02,25,0.13,4,0.02,12,0.06,-,-,5,0.1,-,-,-,-,-,-,-,-,-,-
Hyogo,1958,9.84,35,0.27,16,0.12,39,0.3,1056,8.19,4,0.03,9,0.07,-,-,15,0.12,5,0.04,-,-,-,-,4,0.11,1,0.07,-,-,-,-,-,-,-,-
Nara,469,8.53,11,0.32,5,0.15,9,0.26,245,7.21,1,0.03,3,0.09,-,-,8,0.24,1,0.03,1,0.03,-,-,4,0.4,-,-,-,-,-,-,-,-,-,-
Wakayama,335,6.84,2,0.07,3,0.1,11,0.37,126,4.2,1,0.03,-,-,-,-,3,0.1,-,-,1,0.03,-,-,1,0.25,-,-,1,0.09,-,-,-,-,-,-
Tottori,174,6,2,0.11,-,-,35,1.84,140,7.37,-,-,-,-,-,-,5,0.26,1,0.05,-,-,-,-,-,-,1,0.2,-,-,-,-,-,-,-,-
Shimane,255,6.71,1,0.04,2,0.09,6,0.26,161,7,4,0.17,8,0.35,-,-,12,0.52,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,1037,12.35,17,0.31,13,0.24,11,0.2,250,4.63,4,0.07,4,0.07,-,-,11,0.2,1,0.02,2,0.04,-,-,6,0.5,-,-,-,-,-,-,-,-,-,-
Hiroshima,1166,10.14,5,0.07,17,0.24,38,0.53,462,6.42,2,0.03,5,0.07,1,0.01,12,0.17,2,0.03,3,0.04,1,0.05,3,0.16,-,-,-,-,-,-,-,-,-,-
Yamaguchi,668,10.12,8,0.18,6,0.13,24,0.53,347,7.71,3,0.07,-,-,-,-,17,0.38,5,0.11,2,0.04,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
Tokushima,378,10.22,2,0.09,1,0.04,1,0.04,138,6,2,0.09,-,-,-,-,9,0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,662,14.09,2,0.07,11,0.39,1,0.04,184,6.57,2,0.07,-,-,-,-,12,0.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,565,9.26,9,0.24,5,0.14,28,0.76,444,12,4,0.11,-,-,-,-,20,0.54,-,-,3,0.08,-,-,4,0.5,-,-,-,-,-,-,-,-,-,-
Kochi,295,6.56,14,0.52,-,-,15,0.56,158,5.85,-,-,7,0.26,-,-,3,0.11,3,0.11,-,-,-,-,-,-,-,-,-,-,1,0.13,-,-,1,0.13
Fukuoka,2937,14.83,82,0.68,34,0.28,217,1.81,820,6.83,17,0.14,27,0.23,1,0.01,38,0.32,14,0.12,5,0.04,-,-,5,0.19,-,-,-,-,-,-,-,-,-,-
Saga,565,14.49,40,1.74,10,0.43,8,0.35,112,4.87,3,0.13,2,0.09,-,-,8,0.35,9,0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nagasaki,782,11.17,24,0.55,8,0.18,79,1.8,141,3.2,-,-,7,0.16,-,-,9,0.2,7,0.16,-,-,-,-,3,0.38,-,-,-,-,-,-,-,-,-,-
Kumamoto,707,8.84,41,0.82,31,0.62,25,0.5,311,6.22,4,0.08,2,0.04,-,-,23,0.46,52,1.04,-,-,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
Oita,939,16.19,-,-,8,0.22,9,0.25,508,14.11,2,0.06,-,-,-,-,13,0.36,7,0.19,1,0.03,-,-,1,0.2,-,-,-,-,-,-,-,-,-,-
Miyazaki,544,9.38,19,0.53,15,0.42,27,0.75,341,9.47,4,0.11,-,-,1,0.03,16,0.44,14,0.39,2,0.06,-,-,7,1.17,-,-,-,-,-,-,-,-,-,-
Kagoshima,407,4.42,68,1.26,17,0.31,36,0.67,579,10.72,2,0.04,2,0.04,2,0.04,18,0.33,7,0.13,1,0.02,-,-,5,0.71,-,-,-,-,-,-,-,-,-,-
Okinawa,620,11.27,3,0.09,8,0.25,49,1.53,73,2.28,3,0.09,81,2.53,-,-,6,0.19,1,0.03,1,0.03,2,0.22,5,0.56,2,0.29,1,0.14,1,0.14,-,-,-,-
