"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2023",,,,,,"Data collected as of April 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Tochigi,8145,107.17,51,1.06,35,0.73,245,5.1,3305,68.85,45,0.94,24,0.5,1,0.02,173,3.6,4,0.08,8,0.17,-,-,36,3,2,0.29,1,0.14,-,-,-,-,1,0.14
Gunma,5830,67.79,77,1.45,139,2.62,170,3.21,4434,83.66,79,1.49,14,0.26,13,0.25,223,4.21,11,0.21,31,0.58,-,-,50,3.57,1,0.11,-,-,-,-,-,-,-,-
Saitama,28032,110.36,392,2.45,321,2.01,722,4.51,14432,90.2,243,1.52,96,0.6,30,0.19,501,3.13,21,0.13,98,0.61,11,0.28,110,2.75,3,0.27,8,0.73,2,0.18,-,-,3,0.27
Chiba,20478,97.98,130,1,103,0.79,648,4.98,10978,84.45,153,1.18,25,0.19,12,0.09,287,2.21,16,0.12,55,0.42,1,0.03,97,2.85,1,0.11,5,0.56,-,-,-,-,-,-
Tokyo,42117,102.47,365,1.41,369,1.42,1106,4.27,22771,87.92,298,1.15,134,0.52,35,0.14,792,3.06,50,0.19,120,0.46,5,0.13,52,1.37,9,0.38,11,0.46,4,0.17,2,0.08,3,0.13
Kanagawa,43332,121.04,226,1,200,0.88,878,3.88,17395,76.97,166,0.73,99,0.44,34,0.15,606,2.68,45,0.2,109,0.48,6,0.12,282,5.64,6,0.55,12,1.09,3,0.27,-,-,1,0.09
Niigata,12087,140.55,495,9,141,2.56,715,13,3974,72.25,55,1,32,0.58,7,0.13,176,3.2,9,0.16,27,0.49,-,-,18,1.8,1,0.08,3,0.25,2,0.17,-,-,1,0.08
Toyama,10778,224.54,329,11.34,125,4.31,311,10.72,4072,140.41,36,1.24,9,0.31,3,0.1,76,2.62,14,0.48,6,0.21,-,-,8,1.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,14052,292.75,237,8.17,82,2.83,119,4.1,3862,133.17,37,1.28,78,2.69,1,0.03,99,3.41,6,0.21,7,0.24,1,0.14,36,5.14,1,0.2,1,0.2,6,1.2,-,-,1,0.2
Fukui,9949,268.89,147,6.39,135,5.87,208,9.04,1675,72.83,55,2.39,126,5.48,3,0.13,65,2.83,22,0.96,8,0.35,-,-,2,0.67,3,0.5,2,0.33,1,0.17,-,-,-,-
Yamanashi,1626,39.66,69,2.88,7,0.29,15,0.63,2159,89.96,8,0.33,5,0.21,1,0.04,75,3.13,1,0.04,10,0.42,-,-,33,3.67,1,0.1,-,-,-,-,-,-,3,0.3
Nagano,7975,91.67,198,3.74,55,1.04,139,2.62,5360,101.13,43,0.81,12,0.23,4,0.08,116,2.19,18,0.34,13,0.25,4,0.4,49,4.9,-,-,3,0.25,3,0.25,-,-,1,0.08
Gifu,4180,48.6,103,1.98,115,2.21,113,2.17,2709,52.1,17,0.33,24,0.46,2,0.04,117,2.25,4,0.08,8,0.15,-,-,27,2.45,-,-,5,1,-,-,-,-,1,0.2
Shizuoka,7089,51,361,4.06,232,2.61,253,2.84,7203,80.93,81,0.91,35,0.39,13,0.15,238,2.67,9,0.1,54,0.61,-,-,33,1.5,7,0.7,4,0.4,4,0.4,-,-,2,0.2
Aichi,21534,110.43,235,1.29,271,1.49,982,5.4,13926,76.52,136,0.75,61,0.34,17,0.09,381,2.09,18,0.1,42,0.23,1,0.03,35,1,7,0.47,5,0.33,-,-,-,-,1,0.07
Mie,7232,101.86,34,0.77,143,3.25,131,2.98,3177,72.2,57,1.3,14,0.32,4,0.09,133,3.02,4,0.09,14,0.32,-,-,5,0.42,4,0.44,5,0.56,3,0.33,-,-,-,-
Shiga,8233,139.54,46,1.31,74,2.11,152,4.34,2432,69.49,47,1.34,21,0.6,4,0.11,67,1.91,11,0.31,8,0.23,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
Kyoto,23600,190.32,330,4.4,143,1.91,738,9.84,4941,65.88,110,1.47,90,1.2,13,0.17,149,1.99,48,0.64,12,0.16,1,0.06,18,1,-,-,2,0.29,2,0.29,-,-,4,0.57
Osaka,57634,194.05,1173,6.05,393,2.03,1201,6.19,15171,78.2,184,0.95,188,0.97,25,0.13,499,2.57,95,0.49,90,0.46,8,0.16,90,1.76,-,-,5,0.31,-,-,-,-,6,0.38
Hyogo,26135,131.33,536,4.16,270,2.09,476,3.69,13302,103.12,127,0.98,252,1.95,15,0.12,295,2.29,65,0.5,29,0.22,3,0.09,111,3.17,6,0.43,6,0.43,-,-,-,-,-,-
Nara,7900,143.64,148,4.35,72,2.12,130,3.82,2711,79.74,26,0.76,68,2,4,0.12,105,3.09,14,0.41,5,0.15,-,-,41,4.1,4,0.67,3,0.5,1,0.17,1,0.17,-,-
Wakayama,5048,103.02,113,3.77,32,1.07,140,4.67,1801,60.03,26,0.87,31,1.03,-,-,75,2.5,1,0.03,7,0.23,1,0.25,2,0.5,2,0.18,4,0.36,3,0.27,-,-,-,-
Tottori,1489,51.34,13,0.68,36,1.89,343,18.05,2003,105.42,12,0.63,10,0.53,3,0.16,67,3.53,6,0.32,3,0.16,1,0.2,2,0.4,1,0.2,-,-,-,-,-,-,4,0.8
Shimane,2740,72.11,10,0.43,57,2.48,60,2.61,1999,86.91,39,1.7,68,2.96,2,0.09,113,4.91,11,0.48,3,0.13,-,-,6,2,3,0.38,1,0.13,-,-,-,-,-,-
Okayama,8499,101.18,235,4.35,125,2.31,114,2.11,4305,79.72,43,0.8,81,1.5,7,0.13,143,2.65,28,0.52,23,0.43,4,0.33,34,2.83,2,0.4,6,1.2,1,0.2,-,-,3,0.6
Hiroshima,12624,110.74,236,3.32,200,2.82,360,5.07,6785,95.56,60,0.85,29,0.41,5,0.07,191,2.69,50,0.7,15,0.21,6,0.32,83,4.37,1,0.05,-,-,2,0.1,-,-,1,0.05
Yamaguchi,5230,80.46,189,4.3,70,1.59,257,5.84,4364,99.18,31,0.7,25,0.57,5,0.11,189,4.3,64,1.45,13,0.3,-,-,37,4.63,-,-,1,0.11,3,0.33,-,-,-,-
Tokushima,2841,76.78,78,3.39,31,1.35,18,0.78,1943,84.48,20,0.87,38,1.65,3,0.13,88,3.83,5,0.22,6,0.26,2,0.5,2,0.5,1,0.14,2,0.29,-,-,-,-,-,-
Kagawa,6741,143.43,106,3.79,74,2.64,23,0.82,3524,125.86,18,0.64,5,0.18,1,0.04,111,3.96,10,0.36,11,0.39,-,-,4,0.8,-,-,1,0.2,1,0.2,-,-,-,-
Ehime,6023,100.38,180,5,62,1.72,234,6.5,5266,146.28,22,0.61,30,0.83,2,0.06,209,5.81,10,0.28,21,0.58,-,-,44,5.5,-,-,-,-,2,0.33,-,-,-,-
Kochi,4237,94.16,124,4.59,25,0.93,103,3.81,1988,73.63,17,0.63,87,3.22,7,0.26,84,3.11,42,1.56,4,0.15,-,-,2,0.67,1,0.13,-,-,7,0.88,-,-,6,0.75
Fukuoka,41577,211.05,906,7.55,386,3.22,2389,19.91,9771,81.43,165,1.38,321,2.68,11,0.09,577,4.81,478,3.98,47,0.39,-,-,52,2,7,0.5,3,0.21,1,0.07,-,-,2,0.14
Saga,7008,179.69,327,14.22,101,4.39,94,4.09,1027,44.65,12,0.52,80,3.48,2,0.09,150,6.52,163,7.09,11,0.48,-,-,4,1,3,0.5,1,0.17,-,-,-,-,3,0.5
Nagasaki,10481,149.73,503,11.43,113,2.57,1135,25.8,2361,53.66,59,1.34,124,2.82,6,0.14,145,3.3,138,3.14,26,0.59,11,1.38,31,3.88,1,0.08,2,0.17,3,0.25,-,-,-,-
Kumamoto,8331,105.46,654,13.35,141,2.88,138,2.82,3908,79.76,47,0.96,86,1.76,-,-,284,5.8,474,9.67,27,0.55,-,-,41,4.56,3,0.2,6,0.4,1,0.07,-,-,-,-
Oita,9506,163.9,37,1.03,96,2.67,159,4.42,5539,153.86,54,1.5,19,0.53,8,0.22,190,5.28,75,2.08,27,0.75,-,-,26,5.2,1,0.09,1,0.09,4,0.36,-,-,-,-
Miyazaki,9899,173.67,238,6.8,185,5.29,223,6.37,5118,146.23,55,1.57,35,1,3,0.09,200,5.71,157,4.49,26,0.74,2,0.33,67,11.17,1,0.14,1,0.14,-,-,-,-,-,-
Kagoshima,7292,80.13,749,14.13,289,5.45,234,4.42,5917,111.64,42,0.79,149,2.81,12,0.23,210,3.96,116,2.19,35,0.66,2,0.29,36,5.14,-,-,1,0.08,-,-,-,-,-,-
Okinawa,15753,286.42,98,3.06,86,2.69,439,13.72,787,24.59,43,1.34,966,30.19,5,0.16,83,2.59,22,0.69,13,0.41,10,1.11,80,8.89,8,1.14,5,0.71,1,0.14,1,0.14,-,-
