"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2023",,,,,,"Data collected as of April 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
Tochigi,212,2.79,8,0.17,3,0.06,20,0.42,94,1.96,6,0.13,1,0.02,-,-,11,0.23,-,-,2,0.04,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
Gunma,219,2.52,3,0.06,25,0.46,12,0.22,174,3.22,6,0.11,1,0.02,1,0.02,17,0.31,2,0.04,3,0.06,-,-,8,0.57,1,0.11,-,-,-,-,-,-,-,-
Saitama,707,2.72,68,0.42,35,0.21,71,0.44,580,3.56,36,0.22,11,0.07,4,0.02,53,0.33,5,0.03,8,0.05,-,-,4,0.1,-,-,-,-,-,-,-,-,-,-
Chiba,366,1.78,11,0.09,17,0.13,46,0.36,396,3.07,12,0.09,1,0.01,-,-,31,0.24,1,0.01,6,0.05,-,-,8,0.23,-,-,1,0.11,-,-,-,-,-,-
Tokyo,953,2.32,64,0.25,30,0.12,99,0.38,954,3.67,31,0.12,11,0.04,4,0.02,69,0.27,10,0.04,12,0.05,-,-,4,0.11,1,0.04,1,0.04,-,-,-,-,-,-
Kanagawa,679,1.94,25,0.11,23,0.1,73,0.33,590,2.63,33,0.15,4,0.02,3,0.01,48,0.21,7,0.03,9,0.04,1,0.02,28,0.56,-,-,2,0.2,-,-,-,-,-,-
Niigata,1195,14.06,34,0.63,4,0.07,38,0.7,216,4,3,0.06,-,-,-,-,15,0.28,2,0.04,2,0.04,-,-,3,0.3,-,-,-,-,1,0.08,-,-,-,-
Toyama,227,4.73,42,1.45,9,0.31,18,0.62,235,8.1,2,0.07,-,-,-,-,12,0.41,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ishikawa,174,3.63,14,0.48,7,0.24,8,0.28,309,10.66,-,-,7,0.24,-,-,10,0.34,1,0.03,-,-,-,-,1,0.14,-,-,-,-,2,0.4,-,-,-,-
Fukui,60,1.62,40,1.74,11,0.48,18,0.78,93,4.04,2,0.09,10,0.43,-,-,7,0.3,5,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,81,1.98,4,0.17,1,0.04,-,-,65,2.71,2,0.08,1,0.04,-,-,6,0.25,-,-,-,-,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
Nagano,135,1.55,4,0.08,11,0.21,7,0.13,197,3.72,3,0.06,-,-,1,0.02,6,0.11,-,-,1,0.02,1,0.1,5,0.5,-,-,1,0.08,-,-,-,-,1,0.08
Gifu,158,1.82,23,0.43,7,0.13,18,0.34,172,3.25,4,0.08,2,0.04,-,-,10,0.19,-,-,1,0.02,-,-,2,0.18,-,-,-,-,-,-,-,-,-,-
Shizuoka,183,1.33,32,0.36,27,0.31,27,0.31,262,2.98,2,0.02,7,0.08,1,0.01,13,0.15,2,0.02,6,0.07,-,-,2,0.09,1,0.1,-,-,-,-,-,-,-,-
Aichi,807,4.14,30,0.16,25,0.14,76,0.42,769,4.23,6,0.03,7,0.04,1,0.01,26,0.14,1,0.01,3,0.02,-,-,1,0.03,-,-,1,0.07,-,-,-,-,-,-
Mie,276,3.83,2,0.04,10,0.22,15,0.33,178,3.96,6,0.13,-,-,-,-,10,0.22,1,0.02,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shiga,141,2.43,8,0.23,6,0.17,12,0.34,82,2.34,3,0.09,2,0.06,1,0.03,6,0.17,1,0.03,2,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyoto,185,1.48,66,0.87,9,0.12,50,0.66,195,2.57,10,0.13,3,0.04,-,-,11,0.14,4,0.05,-,-,-,-,1,0.06,-,-,-,-,-,-,-,-,-,-
Osaka,342,1.16,231,1.19,55,0.28,123,0.63,865,4.46,13,0.07,6,0.03,3,0.02,43,0.22,4,0.02,6,0.03,-,-,7,0.14,-,-,1,0.06,-,-,-,-,1,0.06
Hyogo,353,1.79,94,0.73,14,0.11,36,0.28,635,4.92,20,0.16,12,0.09,-,-,21,0.16,11,0.09,1,0.01,-,-,11,0.31,1,0.07,-,-,-,-,-,-,-,-
Nara,83,1.51,23,0.68,4,0.12,15,0.44,174,5.12,1,0.03,2,0.06,-,-,8,0.24,1,0.03,-,-,-,-,7,0.7,-,-,-,-,-,-,-,-,-,-
Wakayama,36,0.73,20,0.67,2,0.07,8,0.27,120,4,3,0.1,2,0.07,-,-,7,0.23,-,-,1,0.03,-,-,1,0.25,-,-,1,0.09,-,-,-,-,-,-
Tottori,42,1.45,-,-,1,0.05,40,2.11,148,7.79,-,-,1,0.05,-,-,5,0.26,-,-,1,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,108,2.84,1,0.04,3,0.13,4,0.17,72,3.13,4,0.17,-,-,-,-,5,0.22,1,0.04,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-
Okayama,270,3.21,12,0.22,7,0.13,5,0.09,218,4.04,2,0.04,12,0.22,1,0.02,12,0.22,4,0.07,1,0.02,1,0.08,2,0.17,-,-,-,-,-,-,-,-,-,-
Hiroshima,626,5.49,31,0.43,9,0.13,24,0.33,225,3.13,10,0.14,3,0.04,1,0.01,11,0.15,6,0.08,-,-,-,-,8,0.42,-,-,-,-,-,-,-,-,-,-
Yamaguchi,85,1.55,24,0.67,6,0.17,16,0.44,101,2.81,3,0.08,-,-,-,-,18,0.5,3,0.08,-,-,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
Tokushima,48,1.3,6,0.26,5,0.22,2,0.09,74,3.22,2,0.09,-,-,1,0.04,4,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,90,1.91,10,0.36,4,0.14,2,0.07,163,5.82,2,0.07,1,0.04,-,-,10,0.36,3,0.11,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ehime,166,2.72,9,0.24,4,0.11,9,0.24,210,5.68,-,-,2,0.05,-,-,10,0.27,1,0.03,-,-,-,-,8,1,-,-,-,-,-,-,-,-,-,-
Kochi,75,1.67,4,0.15,1,0.04,3,0.11,51,1.89,-,-,7,0.26,2,0.07,3,0.11,15,0.56,1,0.04,-,-,-,-,-,-,-,-,3,0.38,-,-,-,-
Fukuoka,600,3.06,106,0.88,36,0.3,244,2.03,518,4.32,13,0.11,11,0.09,2,0.02,41,0.34,40,0.33,3,0.03,-,-,7,0.27,-,-,-,-,-,-,-,-,-,-
Saga,111,2.85,37,1.61,10,0.43,2,0.09,67,2.91,2,0.09,1,0.04,-,-,11,0.48,18,0.78,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nagasaki,169,2.41,55,1.25,5,0.11,46,1.05,104,2.36,5,0.11,16,0.36,-,-,15,0.34,46,1.05,-,-,1,0.13,3,0.38,-,-,1,0.08,-,-,-,-,-,-
Kumamoto,154,1.97,15,0.31,12,0.25,7,0.15,182,3.79,2,0.04,2,0.04,-,-,24,0.5,70,1.46,5,0.1,-,-,5,0.56,-,-,1,0.07,-,-,-,-,-,-
Oita,205,3.53,8,0.22,10,0.28,17,0.47,343,9.53,6,0.17,1,0.03,-,-,12,0.33,4,0.11,3,0.08,-,-,2,0.4,-,-,-,-,-,-,-,-,-,-
Miyazaki,56,0.97,45,1.25,9,0.25,25,0.69,294,8.17,7,0.19,1,0.03,-,-,17,0.47,16,0.44,3,0.08,-,-,7,1.17,-,-,-,-,-,-,-,-,-,-
Kagoshima,104,1.16,127,2.4,23,0.43,12,0.23,317,5.98,4,0.08,6,0.11,-,-,12,0.23,22,0.42,2,0.04,-,-,6,0.86,-,-,1,0.08,-,-,-,-,-,-
Okinawa,133,2.38,6,0.18,4,0.12,40,1.21,77,2.33,2,0.06,133,4.03,-,-,7,0.21,5,0.15,-,-,-,-,8,0.89,1,0.14,1,0.14,-,-,-,-,-,-
