Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2026-01-01,2026/01/01,2026 January,Poliomyelitis,脊髓灰质炎,572.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D013,Poliomyelitis,脊髓灰质炎
2026-01-01,2026/01/01,2026 January,Poliomyelitis,脊髓灰质炎,0.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D013,Poliomyelitis,脊髓灰质炎
2026-01-01,2026/01/01,2026 January,Novel Influenza,人感染新亚型流感,3.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D016,Novel Influenza,人感染新亚型流感
2026-01-01,2026/01/01,2026 January,Measles,麻疹,138.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D017,Measles,麻疹
2026-01-01,2026/01/01,2026 January,Hemorrhagic Fever,流行性出血热,336.0,6.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D018,Hemorrhagic Fever,流行性出血热
2026-01-01,2026/01/01,2026 January,Rabies,狂犬病,31.0,33.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D019,Rabies,狂犬病
2026-01-01,2026/01/01,2026 January,Japanese Encephalitis,流行性乙型脑炎,0.0,1.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D020,Japanese Encephalitis,流行性乙型脑炎
2026-01-01,2026/01/01,2026 January,Dengue,登革热,93.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D021,Dengue,登革热
2026-01-01,2026/01/01,2026 January,SFTS,发热伴血小板减少综合征,28.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D057,SFTS,发热伴血小板减少综合征
2026-01-01,2026/01/01,2026 January,Anthrax,炭疽,12.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D023,Anthrax,炭疽
2026-01-01,2026/01/01,2026 January,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D024,Dysentery,细菌性和阿米巴性痢疾
2026-01-01,2026/01/01,2026 January,Tuberculosis,肺结核,,164.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D025,Tuberculosis,肺结核
2026-01-01,2026/01/01,2026 January,Typhoid and Paratyphoid fever,伤寒和副伤寒,252.0,0.0,-10,-10,全国,China,100000,10.46234/ccdcw2026.053,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2026.053,China CDC Weekly,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
