報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2026年05週(01月26日～02月01日),2026年02月04日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
香川県,1095,47.61,361,15.7,183,7.96,189,8.22,164,7.13,198,8.61
愛媛県,3948,116.12,443,17.04,661,17.86,719,19.43,817,22.08,1308,35.35
高知県,4000,105.26,646,17,771,20.29,694,18.26,854,22.47,1035,27.24
福岡県,12800,104.92,2475,20.29,2057,16.72,2251,18.45,2291,18.78,3726,30.54
佐賀県,2304,100.17,235,10.68,374,15.58,458,19.08,484,20.17,753,31.38
長崎県,5566,111.32,869,17.73,846,16.59,945,18.53,1168,22.9,1738,34.08
熊本県,6823,96.1,1001,14.3,1047,14.54,1191,16.54,1292,17.94,2292,31.83
大分県,7838,135.14,998,17.21,877,15.12,1243,21.43,1676,28.9,3044,52.48
宮崎県,4611,170.78,929,38.71,877,31.32,861,30.75,822,29.36,1122,40.07
鹿児島県,9090,159.47,1322,23.19,1340,23.51,1595,27.98,2006,35.19,2827,49.6
沖縄県,4341,96.47,1043,23.18,815,18.11,890,19.78,721,16.02,872,19.38
,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,6891,3.08,674,0.34,1211,0.52,1430,0.62,1805,0.78,1771,0.77
北海道,655,6.75,73,0.89,117,1.16,130,1.27,162,1.59,173,1.7
青森県,72,2.18,14,0.44,5,0.15,22,0.65,18,0.53,13,0.38
岩手県,99,3.67,1,0.04,7,0.26,11,0.41,38,1.41,42,1.56
宮城県,90,2.9,6,0.19,12,0.39,17,0.55,27,0.87,28,0.9
秋田県,45,3.75,5,0.42,10,0.77,12,0.92,10,0.77,8,0.62
山形県,147,6.13,7,0.35,13,0.5,47,1.81,53,2.04,27,1.04
福島県,137,4.89,8,0.29,15,0.54,22,0.79,46,1.64,46,1.64
茨城県,80,2.29,15,0.52,13,0.35,14,0.38,22,0.59,16,0.43
栃木県,80,3.2,6,0.33,18,0.67,13,0.48,23,0.85,20,0.74
群馬県,105,4.57,14,0.93,11,0.44,23,0.92,27,1.08,30,1.2
埼玉県,232,2.27,19,0.28,40,0.36,48,0.43,54,0.49,71,0.64
千葉県,115,1.07,9,0.1,25,0.23,22,0.2,24,0.22,35,0.32
東京都,310,1.26,33,0.18,70,0.27,67,0.25,72,0.27,68,0.26
神奈川県,190,1.46,22,0.25,36,0.26,35,0.25,45,0.32,52,0.37
新潟県,53,1.77,6,0.2,7,0.23,9,0.3,18,0.6,13,0.43
富山県,45,1.61,5,0.21,5,0.17,15,0.52,12,0.41,8,0.28
石川県,93,3.32,8,0.29,18,0.64,22,0.79,31,1.11,14,0.5
福井県,87,3.48,8,0.32,18,0.72,17,0.68,28,1.12,16,0.64
山梨県,40,1.9,4,0.19,8,0.38,4,0.19,13,0.62,11,0.52
長野県,116,4.3,15,0.65,29,1.04,30,1.07,23,0.82,19,0.68
岐阜県,69,2.65,28,1.08,6,0.22,11,0.41,13,0.48,11,0.41
静岡県,105,1.18,8,0.09,24,0.27,24,0.27,29,0.33,20,0.22
愛知県,275,2.72,26,0.26,58,0.57,68,0.67,59,0.58,64,0.63
三重県,176,4.4,13,0.46,34,0.79,43,1,46,1.07,40,0.93
滋賀県,118,3.69,16,0.67,21,0.6,18,0.51,30,0.86,33,0.94
京都府,117,3.08,9,0.25,19,0.49,13,0.33,38,0.97,38,0.97
大阪府,940,5.08,114,0.62,203,1.1,171,0.92,215,1.16,237,1.28
兵庫県,431,4.31,37,0.44,84,0.8,91,0.87,93,0.89,126,1.2
奈良県,122,6.1,4,0.44,26,1.13,29,1.26,26,1.08,37,1.54
和歌山県,149,5.73,14,0.54,36,1.33,36,1.33,31,1.15,32,1.19
鳥取県,58,3.05,1,0.05,8,0.42,10,0.53,15,0.79,24,1.26
島根県,91,8.27,6,0.55,6,0.55,19,1.73,37,3.36,23,2.09
岡山県,124,4.43,4,0.14,22,0.79,29,1.04,42,1.5,27,0.96
広島県,129,2.48,13,0.33,21,0.38,25,0.45,28,0.5,42,0.75
山口県,192,4.8,12,0.3,31,0.78,31,0.78,58,1.45,60,1.5
徳島県,68,3.24,6,0.29,9,0.43,19,0.9,18,0.86,16,0.76
香川県,61,4.69,12,0.92,13,1,14,1.08,14,1.08,8,0.62
愛媛県,77,4.28,4,0.31,16,0.8,13,0.65,20,1,24,1.2
高知県,36,1.8,3,0.15,3,0.15,8,0.4,10,0.5,12,0.6
福岡県,221,3.16,15,0.21,31,0.44,37,0.53,74,1.06,64,0.91
佐賀県,27,2.45,1,0.1,2,0.17,9,0.75,6,0.5,9,0.75
長崎県,48,1.6,3,0.1,1,0.03,20,0.65,14,0.45,10,0.32
熊本県,205,4.27,10,0.21,20,0.42,45,0.94,74,1.54,56,1.17
大分県,72,2,10,0.28,10,0.28,17,0.47,13,0.36,22,0.61
宮崎県,23,1.64,3,0.25,2,0.13,2,0.13,13,0.87,3,0.2
鹿児島県,150,4.84,23,0.74,20,0.65,45,1.45,41,1.32,21,0.68
沖縄県,16,0.64,1,0.04,8,0.32,3,0.12,2,0.08,2,0.08
,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2819,1.26,255,0.13,651,0.28,504,0.22,740,0.32,669,0.29
北海道,123,1.27,19,0.23,27,0.27,22,0.22,30,0.29,25,0.25
青森県,24,0.73,3,0.09,4,0.12,2,0.06,10,0.29,5,0.15
岩手県,14,0.52,1,0.04,6,0.22,2,0.07,4,0.15,1,0.04
宮城県,25,0.81,1,0.03,2,0.06,8,0.26,11,0.35,3,0.1
秋田県,10,0.83,1,0.08,3,0.23,1,0.08,4,0.31,1,0.08
山形県,68,2.83,11,0.55,18,0.69,16,0.62,19,0.73,4,0.15
福島県,25,0.89,4,0.14,5,0.18,7,0.25,5,0.18,4,0.14
茨城県,60,1.71,8,0.28,13,0.35,11,0.3,22,0.59,6,0.16
栃木県,27,1.08,5,0.28,6,0.22,2,0.07,10,0.37,4,0.15
群馬県,42,1.83,7,0.47,13,0.52,7,0.28,9,0.36,6,0.24
埼玉県,100,0.98,7,0.1,37,0.33,13,0.12,26,0.23,17,0.15
千葉県,43,0.4,3,0.03,10,0.09,9,0.08,11,0.1,10,0.09
東京都,170,0.69,13,0.07,35,0.13,26,0.1,41,0.16,55,0.21
神奈川県,58,0.45,5,0.06,8,0.06,11,0.08,20,0.14,14,0.1
新潟県,18,0.6,3,0.1,7,0.23,2,0.07,3,0.1,3,0.1
富山県,53,1.89,4,0.17,15,0.52,8,0.28,13,0.45,13,0.45
石川県,44,1.57,7,0.25,7,0.25,8,0.29,9,0.32,13,0.46
福井県,37,1.48,5,0.2,7,0.28,7,0.28,12,0.48,6,0.24
山梨県,6,0.29,4,0.19,1,0.05,0,0,0,0,1,0.05
長野県,14,0.52,0,0,3,0.11,3,0.11,4,0.14,4,0.14
岐阜県,15,0.58,2,0.08,3,0.11,2,0.07,5,0.19,3,0.11
静岡県,56,0.63,6,0.07,15,0.17,8,0.09,15,0.17,12,0.13
愛知県,57,0.56,8,0.08,20,0.2,11,0.11,12,0.12,6,0.06
三重県,46,1.15,1,0.04,10,0.23,14,0.33,10,0.23,11,0.26
滋賀県,22,0.69,3,0.13,6,0.17,0,0,5,0.14,8,0.23
京都府,128,3.37,6,0.17,16,0.41,18,0.45,38,0.97,50,1.28
大阪府,250,1.35,13,0.07,59,0.32,53,0.29,59,0.32,66,0.36
兵庫県,163,1.63,13,0.15,30,0.29,29,0.28,44,0.42,47,0.45
奈良県,41,2.05,1,0.11,7,0.3,5,0.22,6,0.25,22,0.92
和歌山県,35,1.35,3,0.12,9,0.33,9,0.33,8,0.3,6,0.22
鳥取県,24,1.26,6,0.32,5,0.26,4,0.21,4,0.21,5,0.26
島根県,54,4.91,4,0.36,12,1.09,13,1.18,15,1.36,10,0.91
岡山県,13,0.46,1,0.04,2,0.07,4,0.14,3,0.11,3,0.11
広島県,86,1.65,2,0.05,25,0.45,15,0.27,24,0.43,20,0.36
山口県,34,0.85,2,0.05,14,0.35,8,0.2,4,0.1,6,0.15
徳島県,15,0.71,0,0,6,0.29,4,0.19,2,0.1,3,0.14
香川県,13,1,3,0.23,2,0.15,1,0.08,6,0.46,1,0.08
愛媛県,34,1.89,3,0.23,9,0.45,10,0.5,7,0.35,5,0.25
高知県,7,0.35,0,0,3,0.15,2,0.1,0,0,2,0.1
福岡県,197,2.81,7,0.1,51,0.72,39,0.56,52,0.74,48,0.69
佐賀県,26,2.36,1,0.1,8,0.67,2,0.17,12,1,3,0.25
長崎県,125,4.17,8,0.27,18,0.58,19,0.61,48,1.55,32,1.03
熊本県,56,1.17,9,0.19,15,0.31,13,0.27,11,0.23,8,0.17
大分県,96,2.67,14,0.39,17,0.47,13,0.36,24,0.67,28,0.78
宮崎県,112,8,17,1.42,19,1.27,23,1.53,27,1.8,26,1.73
鹿児島県,115,3.71,9,0.29,26,0.84,16,0.52,28,0.9,36,1.16
沖縄県,38,1.52,2,0.08,17,0.68,4,0.16,8,0.32,7,0.28
,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,24535,10.97,1604,0.82,4685,2.03,5116,2.22,6623,2.87,6507,2.82
北海道,1963,20.24,151,1.84,358,3.54,352,3.45,525,5.15,577,5.66
青森県,209,6.33,25,0.78,38,1.12,32,0.94,59,1.74,55,1.62
岩手県,361,13.37,24,0.89,57,2.11,62,2.3,103,3.81,115,4.26
宮城県,377,12.16,18,0.58,64,2.06,69,2.23,112,3.61,114,3.68
秋田県,91,7.58,9,0.75,18,1.38,20,1.54,31,2.38,13,1
山形県,481,20.04,25,1.25,91,3.5,105,4.04,135,5.19,125,4.81
福島県,254,9.07,34,1.21,54,1.93,46,1.64,60,2.14,60,2.14
茨城県,763,21.8,57,1.97,217,5.86,147,3.97,173,4.68,169,4.57
栃木県,363,14.52,17,0.94,67,2.48,64,2.37,107,3.96,108,4
群馬県,210,9.13,13,0.87,38,1.52,48,1.92,58,2.32,53,2.12
埼玉県,1422,13.94,113,1.66,238,2.14,306,2.76,405,3.65,360,3.24
千葉県,1592,14.88,69,0.73,306,2.78,360,3.24,404,3.64,453,4.08
東京都,2100,8.5,140,0.76,423,1.6,440,1.67,567,2.16,530,2.02
神奈川県,1421,10.93,59,0.67,262,1.86,296,2.11,404,2.87,400,2.82
新潟県,559,18.63,32,1.07,88,2.93,120,4,159,5.3,160,5.33
富山県,458,16.36,23,0.96,83,2.86,80,2.76,125,4.31,147,5.07
石川県,279,9.96,23,0.82,46,1.64,63,2.25,76,2.71,71,2.54
福井県,305,12.2,27,1.08,57,2.28,61,2.44,82,3.28,78,3.12
山梨県,56,2.67,0,0,10,0.48,14,0.67,18,0.86,14,0.67
長野県,270,10,25,1.09,48,1.71,62,2.21,80,2.86,55,1.96
岐阜県,144,5.54,14,0.54,16,0.59,35,1.3,43,1.59,36,1.33
静岡県,560,6.29,32,0.36,117,1.31,124,1.39,140,1.57,147,1.65
愛知県,567,5.61,25,0.25,119,1.18,123,1.22,153,1.51,147,1.46
三重県,274,6.85,19,0.68,52,1.21,53,1.23,86,2,64,1.49
滋賀県,287,8.97,15,0.63,61,1.74,54,1.54,83,2.37,74,2.11
京都府,552,14.53,18,0.5,104,2.67,119,2.98,171,4.38,140,3.59
大阪府,1264,6.83,69,0.37,258,1.39,263,1.42,347,1.88,327,1.77
兵庫県,996,9.96,44,0.52,200,1.9,228,2.17,250,2.38,274,2.61
奈良県,163,8.15,3,0.33,29,1.26,41,1.78,48,2,42,1.75
和歌山県,122,4.69,2,0.08,31,1.15,34,1.26,31,1.15,24,0.89
鳥取県,285,15,15,0.79,53,2.79,56,2.95,77,4.05,84,4.42
島根県,147,13.36,10,0.91,44,4,35,3.18,28,2.55,30,2.73
岡山県,177,6.32,13,0.46,37,1.32,42,1.5,33,1.18,52,1.86
広島県,494,9.5,25,0.64,93,1.66,120,2.14,139,2.48,117,2.09
山口県,639,15.98,54,1.35,155,3.88,122,3.05,156,3.9,152,3.8
徳島県,77,3.67,5,0.24,11,0.52,18,0.86,16,0.76,27,1.29
香川県,83,6.38,14,1.08,8,0.62,36,2.77,10,0.77,15,1.15
愛媛県,487,27.06,10,0.77,82,4.1,112,5.6,143,7.15,140,7
高知県,132,6.6,12,0.6,20,1,28,1.4,36,1.8,36,1.8
福岡県,1502,21.46,129,1.84,266,3.75,285,4.07,414,5.91,408,5.83
佐賀県,165,15,11,1.1,31,2.58,38,3.17,41,3.42,44,3.67
長崎県,298,9.93,17,0.57,61,1.97,46,1.48,67,2.16,107,3.45
熊本県,396,8.25,34,0.71,79,1.65,86,1.79,98,2.04,99,2.06
大分県,443,12.31,44,1.22,68,1.89,100,2.78,139,3.86,92,2.56
宮崎県,170,12.14,14,1.17,29,1.93,39,2.6,38,2.53,50,3.33
鹿児島県,390,12.58,39,1.26,66,2.13,93,3,118,3.81,74,2.39
沖縄県,187,7.48,33,1.32,32,1.28,39,1.56,35,1.4,48,1.92
,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,73943,33.05,3718,1.9,13302,5.77,15413,6.68,19753,8.56,21757,9.42
北海道,2002,20.64,123,1.5,367,3.63,395,3.87,548,5.37,569,5.58
青森県,617,18.7,33,1.03,109,3.21,128,3.76,172,5.06,175,5.15
岩手県,890,32.96,56,2.07,177,6.56,186,6.89,248,9.19,223,8.26
宮城県,737,23.77,42,1.35,171,5.52,142,4.58,165,5.32,217,7
秋田県,307,25.58,13,1.08,51,3.92,47,3.62,86,6.62,110,8.46
山形県,717,29.88,14,0.7,98,3.77,117,4.5,216,8.31,272,10.46
福島県,733,26.18,68,2.43,148,5.29,147,5.25,183,6.54,187,6.68
茨城県,1595,45.57,147,5.07,267,7.22,339,9.16,395,10.68,447,12.08
栃木県,809,32.36,35,1.94,156,5.78,171,6.33,230,8.52,217,8.04
群馬県,1576,68.52,69,4.6,306,12.24,349,13.96,424,16.96,428,17.12
埼玉県,4735,46.42,183,2.69,804,7.24,1009,9.09,1279,11.52,1460,13.15
千葉県,3949,36.91,128,1.36,815,7.41,848,7.64,1035,9.32,1123,10.12
東京都,12596,51,556,3.01,2108,7.98,2578,9.8,3432,13.05,3922,14.91
神奈川県,5863,45.1,138,1.57,1089,7.72,1249,8.92,1617,11.47,1770,12.46
新潟県,340,11.33,19,0.63,73,2.43,74,2.47,81,2.7,93,3.1
富山県,953,34.04,54,2.25,145,5,167,5.76,276,9.52,311,10.72
石川県,1232,44,60,2.14,223,7.96,283,10.11,320,11.43,346,12.36
福井県,745,29.8,71,2.84,156,6.24,171,6.84,185,7.4,162,6.48
山梨県,478,22.76,9,0.43,89,4.24,120,5.71,130,6.19,130,6.19
長野県,1092,40.44,95,4.13,187,6.68,202,7.21,282,10.07,326,11.64
岐阜県,1273,48.96,61,2.35,231,8.56,249,9.22,384,14.22,348,12.89
静岡県,1960,22.02,134,1.51,399,4.48,414,4.65,477,5.36,536,6.02
愛知県,2613,25.87,67,0.66,521,5.16,580,5.74,657,6.5,788,7.8
三重県,1219,30.48,78,2.79,277,6.44,253,5.88,304,7.07,307,7.14
滋賀県,840,26.25,33,1.38,155,4.43,188,5.37,211,6.03,253,7.23
京都府,1225,32.24,42,1.17,196,5.03,296,7.4,339,8.69,352,9.03
大阪府,4396,23.76,202,1.09,832,4.5,943,5.1,1161,6.28,1258,6.8
兵庫県,2565,25.65,75,0.89,434,4.13,550,5.24,716,6.82,790,7.52
奈良県,617,30.85,7,0.78,93,4.04,130,5.65,185,7.71,202,8.42
和歌山県,544,20.92,33,1.27,88,3.26,116,4.3,150,5.56,157,5.81
鳥取県,363,19.11,30,1.58,65,3.42,78,4.11,89,4.68,101,5.32
島根県,314,28.55,17,1.55,34,3.09,54,4.91,104,9.45,105,9.55
岡山県,815,29.11,46,1.64,154,5.5,161,5.75,197,7.04,257,9.18
広島県,1419,27.29,44,1.13,265,4.73,280,5,369,6.59,461,8.23
山口県,978,24.45,48,1.2,171,4.28,190,4.75,252,6.3,317,7.93
徳島県,389,18.52,27,1.29,53,2.52,89,4.24,100,4.76,120,5.71
香川県,341,26.23,35,2.69,47,3.62,65,5,100,7.69,94,7.23
愛媛県,668,37.11,42,3.23,125,6.25,149,7.45,190,9.5,162,8.1
高知県,256,12.8,24,1.2,49,2.45,66,3.3,54,2.7,63,3.15
福岡県,2816,40.23,302,4.31,510,7.18,528,7.54,692,9.89,784,11.2
佐賀県,361,32.82,17,1.7,55,4.58,64,5.33,116,9.67,109,9.08
長崎県,771,25.7,32,1.07,105,3.39,147,4.74,236,7.61,251,8.1
熊本県,1326,27.63,75,1.56,195,4.06,301,6.27,357,7.44,398,8.29
大分県,1786,49.61,133,3.69,281,7.81,384,10.67,467,12.97,521,14.47
宮崎県,682,48.71,38,3.17,160,10.67,141,9.4,164,10.93,179,11.93
鹿児島県,927,29.9,63,2.03,178,5.74,178,5.74,251,8.1,257,8.29
沖縄県,513,20.52,100,4,90,3.6,97,3.88,127,5.08,99,3.96
,,,,,,,,,,,,
水痘,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4192,1.87,494,0.25,1311,0.57,715,0.31,960,0.42,712,0.31
北海道,291,3,38,0.46,89,0.88,52,0.51,63,0.62,49,0.48
青森県,52,1.58,3,0.09,25,0.74,6,0.18,10,0.29,8,0.24
岩手県,115,4.26,12,0.44,62,2.3,12,0.44,18,0.67,11,0.41
宮城県,48,1.55,5,0.16,22,0.71,6,0.19,12,0.39,3,0.1
秋田県,49,4.08,8,0.67,21,1.62,5,0.38,10,0.77,5,0.38
山形県,68,2.83,8,0.4,14,0.54,12,0.46,13,0.5,21,0.81
福島県,82,2.93,11,0.39,22,0.79,14,0.5,18,0.64,17,0.61
茨城県,79,2.26,21,0.72,24,0.65,9,0.24,15,0.41,10,0.27
栃木県,52,2.08,4,0.22,19,0.7,10,0.37,8,0.3,11,0.41
群馬県,52,2.26,4,0.27,12,0.48,10,0.4,18,0.72,8,0.32
埼玉県,241,2.36,41,0.6,65,0.59,46,0.41,48,0.43,41,0.37
千葉県,159,1.49,9,0.1,41,0.37,30,0.27,37,0.33,42,0.38
東京都,393,1.59,31,0.17,125,0.47,72,0.27,96,0.37,69,0.26
神奈川県,240,1.85,19,0.22,77,0.55,48,0.34,57,0.4,39,0.27
新潟県,61,2.03,4,0.13,17,0.57,12,0.4,14,0.47,14,0.47
富山県,52,1.86,2,0.08,27,0.93,4,0.14,8,0.28,11,0.38
石川県,64,2.29,4,0.14,15,0.54,7,0.25,20,0.71,18,0.64
福井県,81,3.24,3,0.12,18,0.72,12,0.48,38,1.52,10,0.4
山梨県,3,0.14,0,0,0,0,0,0,1,0.05,2,0.1
長野県,47,1.74,8,0.35,13,0.46,9,0.32,13,0.46,4,0.14
岐阜県,13,0.5,3,0.12,1,0.04,1,0.04,3,0.11,5,0.19
静岡県,84,0.94,14,0.16,24,0.27,16,0.18,19,0.21,11,0.12
愛知県,84,0.83,15,0.15,21,0.21,22,0.22,17,0.17,9,0.09
三重県,39,0.98,6,0.21,11,0.26,10,0.23,6,0.14,6,0.14
滋賀県,89,2.78,8,0.33,30,0.86,15,0.43,22,0.63,14,0.4
京都府,112,2.95,11,0.31,35,0.9,23,0.58,30,0.77,13,0.33
大阪府,327,1.77,27,0.15,110,0.59,46,0.25,87,0.47,57,0.31
兵庫県,189,1.89,9,0.11,67,0.64,30,0.29,53,0.5,30,0.29
奈良県,27,1.35,0,0,11,0.48,6,0.26,6,0.25,4,0.17
和歌山県,18,0.69,1,0.04,3,0.11,4,0.15,2,0.07,8,0.3
鳥取県,19,1,3,0.16,7,0.37,6,0.32,1,0.05,2,0.11
島根県,47,4.27,5,0.45,15,1.36,9,0.82,13,1.18,5,0.45
岡山県,34,1.21,1,0.04,11,0.39,7,0.25,12,0.43,3,0.11
広島県,70,1.35,4,0.1,30,0.54,11,0.2,11,0.2,14,0.25
山口県,34,0.85,0,0,8,0.2,11,0.28,7,0.18,8,0.2
徳島県,16,0.76,1,0.05,6,0.29,1,0.05,7,0.33,1,0.05
香川県,11,0.85,2,0.15,2,0.15,2,0.15,2,0.15,3,0.23
愛媛県,33,1.83,4,0.31,15,0.75,1,0.05,6,0.3,7,0.35
高知県,16,0.8,0,0,6,0.3,1,0.05,4,0.2,5,0.25
福岡県,197,2.81,41,0.59,58,0.82,37,0.53,29,0.41,32,0.46
佐賀県,15,1.36,2,0.2,6,0.5,1,0.08,4,0.33,2,0.17
長崎県,53,1.77,14,0.47,20,0.65,3,0.1,10,0.32,6,0.19
熊本県,113,2.35,13,0.27,26,0.54,23,0.48,28,0.58,23,0.48
大分県,107,2.97,30,0.83,22,0.61,28,0.78,13,0.36,14,0.39
宮崎県,33,2.36,5,0.42,11,0.73,4,0.27,7,0.47,6,0.4
鹿児島県,80,2.58,15,0.48,25,0.81,14,0.45,19,0.61,7,0.23
沖縄県,103,4.12,25,1,22,0.88,7,0.28,25,1,24,0.96
,,,,,,,,,,,,
手足口病,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,538,0.24,68,0.03,82,0.04,100,0.04,149,0.06,139,0.06
北海道,22,0.23,4,0.05,4,0.04,1,0.01,9,0.09,4,0.04
青森県,4,0.12,0,0,0,0,0,0,0,0,4,0.12
岩手県,2,0.07,0,0,0,0,0,0,2,0.07,0,0
宮城県,3,0.1,0,0,0,0,1,0.03,1,0.03,1,0.03
秋田県,1,0.08,0,0,0,0,1,0.08,0,0,0,0
山形県,6,0.25,0,0,0,0,3,0.12,2,0.08,1,0.04
福島県,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,7,0.2,6,0.21,0,0,1,0.03,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,38,0.37,4,0.06,6,0.05,9,0.08,8,0.07,11,0.1
千葉県,8,0.07,1,0.01,1,0.01,4,0.04,0,0,2,0.02
東京都,33,0.13,3,0.02,13,0.05,7,0.03,5,0.02,5,0.02
神奈川県,12,0.09,1,0.01,2,0.01,2,0.01,2,0.01,5,0.04
新潟県,1,0.03,0,0,0,0,0,0,1,0.03,0,0
富山県,2,0.07,0,0,2,0.07,0,0,0,0,0,0
石川県,4,0.14,0,0,2,0.07,0,0,0,0,2,0.07
福井県,85,3.4,2,0.08,6,0.24,19,0.76,21,0.84,37,1.48
山梨県,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.04,0,0,0,0,0,0,1,0.04,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,11,0.12,1,0.01,1,0.01,1,0.01,4,0.04,4,0.04
愛知県,4,0.04,1,0.01,0,0,1,0.01,2,0.02,0,0
三重県,1,0.03,0,0,0,0,0,0,0,0,1,0.02
滋賀県,5,0.16,0,0,2,0.06,3,0.09,0,0,0,0
京都府,2,0.05,1,0.03,1,0.03,0,0,0,0,0,0
大阪府,33,0.18,3,0.02,5,0.03,9,0.05,10,0.05,6,0.03
兵庫県,13,0.13,1,0.01,3,0.03,4,0.04,1,0.01,4,0.04
奈良県,2,0.1,0,0,1,0.04,0,0,1,0.04,0,0
